Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
সেট প্রক্রিয়া,80,"A = {1, 2}, B = {2, 3}, C = {1, 3} হলে (A ∩ B) Δ C = ?","{1, 3}",{2},"{1, 2, 3}",∅,A,"A ∩ B = {2}, তাই (A ∩ B) Δ C = {2} Δ {1, 3} = {1, 3}।",9
সেট প্রক্রিয়ার প্রতিজ্ঞা,99,A ∩ B = B ∩ A কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু A ≠ B হলে,A,A ∩ B = B ∩ A কারণ ছেদ সংমিলন বিনিময়ী।,3
সেটের ধারণা,1,সেট কাকে বলে?,একটি গাণিতিক ধারণা,একটি সুনির্দিষ্ট উপাদানের সমষ্টি,একটি অসীম সংখ্যা,একটি সমীকরণ,B,সেট হলো সুনির্দিষ্ট ও সুনির্দেশিত উপাদানের সমষ্টি।,1
সেটের ধারণা,10,"A = {1, 2}, B = {2, 3} হলে A ∪ B = ?","{1, 2, 3}",{2},"{1, 3}",∅,A,"A ∪ B তে A ও B এর সব উপাদান থাকে, তাই {1, 2, 3}।",3
সেট প্রক্রিয়ার প্রতিজ্ঞা,100,A ∪ (B ∪ C) = (A ∪ B) ∪ C কি সত্য?,হ্যাঁ,না,শুধু A = B = C হলে,শুধু A ≠ B ≠ C হলে,A,"ইউনিয়ন সংমিলন সংযোজী (associative), তাই প্রস্তাবনা সত্য।",4
সেট প্রক্রিয়ার প্রতিজ্ঞা,101,A ∩ (B ∩ C) = (A ∩ B) ∩ C কি সত্য?,হ্যাঁ,না,শুধু A = B = C হলে,শুধু A ≠ B ≠ C হলে,A,"ছেদ সংমিলন সংযোজী, তাই প্রস্তাবনা সত্য।",4
সেট প্রক্রিয়ার প্রতিজ্ঞা,102,A ∩ (B ∪ C) = (A ∩ B) ∪ (A ∩ C) কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু B = C হলে,A,এটি ছেদের উপর ইউনিয়নের বিতরণী (distributive) নিয়ম।,4
সেট প্রক্রিয়ার প্রতিজ্ঞা,103,A ∪ (B ∩ C) = (A ∪ B) ∩ (A ∪ C) কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু B = C হলে,A,এটি ইউনিয়নের উপর ছেদের বিতরণী নিয়ম।,4
সেট প্রক্রিয়ার প্রতিজ্ঞা,104,A ⊆ B হলে A ∪ B = B কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু A ≠ B হলে,A,"A ⊆ B হলে A এর সব উপাদান B এ আছে, তাই A ∪ B = B।",5
সেট প্রক্রিয়ার প্রতিজ্ঞা,105,A ⊆ B হলে A ∩ B = A কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু A ≠ B হলে,A,"A ⊆ B হলে A এর সব উপাদান B এ আছে, তাই A ∩ B = A।",5
সেট প্রক্রিয়ার প্রতিজ্ঞা,106,A ⊆ B এবং B ⊆ C হলে A ⊆ C কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু B = C হলে,A,"উপসেট সম্পর্ক সংক্রামক (transitive), তাই প্রস্তাবনা সত্য।",5
সেট প্রক্রিয়ার প্রতিজ্ঞা,107,"A = {1, 2}, B = {1, 2, 3} হলে A ⊆ B কি সত্য?",হ্যাঁ,না,শুধু A = B হলে,শুধু A ≠ B হলে,A,"A এর সব উপাদান B এ আছে, তাই A ⊆ B সত্য।",5
সেট প্রক্রিয়ার প্রতিজ্ঞা,108,A ⊆ B হলে A − B = ∅ কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু A ≠ B হলে,A,"A ⊆ B হলে A এর সব উপাদান B এ থাকে, তাই A − B = ∅।",6
সেট প্রক্রিয়ার প্রতিজ্ঞা,109,(A ∪ B)' = A' ∩ B' কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু A ≠ B হলে,A,এটি ডি মরগানের প্রথম নিয়ম।,6
সেটের ধারণা,11,"A = {1, 2}, B = {2, 3} হলে A ∩ B = ?","{1, 2, 3}",{2},"{1, 3}",∅,B,"A ∩ B তে শুধু সাধারণ উপাদান থাকে, তাই {2}।",3
সেট প্রক্রিয়ার প্রতিজ্ঞা,110,(A ∩ B)' = A' ∪ B' কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু A ≠ B হলে,A,এটি ডি মরগানের দ্বিতীয় নিয়ম।,6
সেট প্রক্রিয়ার প্রতিজ্ঞা,111,A ⊆ B হলে B' ⊆ A' কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু A ≠ B হলে,A,"A ⊆ B হলে পরিপূরকের বিপরীত সম্পর্ক থাকে, তাই B' ⊆ A'।",6
সেট প্রক্রিয়ার প্রতিজ্ঞা,112,A Δ B = (A − B) ∪ (B − A) কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু A ≠ B হলে,A,A Δ B সংজ্ঞা অনুসারে (A − B) ∪ (B − A)।,7
সেট প্রক্রিয়ার প্রতিজ্ঞা,113,A Δ B = B Δ A কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু A ≠ B হলে,A,"সিমেট্রিক ডিফারেন্স বিনিময়ী, তাই প্রস্তাবনা সত্য।",7
সেট প্রক্রিয়ার প্রতিজ্ঞা,114,A Δ ∅ = A কি সত্য?,হ্যাঁ,না,শুধু A = ∅ হলে,শুধু A ≠ ∅ হলে,A,A Δ ∅ = (A − ∅) ∪ (∅ − A) = A ∪ ∅ = A।,7
সেট প্রক্রিয়ার প্রতিজ্ঞা,115,A Δ A = ∅ কি সত্য?,হ্যাঁ,না,শুধু A = ∅ হলে,শুধু A ≠ ∅ হলে,A,A Δ A = (A − A) ∪ (A − A) = ∅ ∪ ∅ = ∅।,7
সেট প্রক্রিয়ার প্রতিজ্ঞা,116,A ⊆ B হলে (A ∪ C) ⊆ (B ∪ C) কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু B = C হলে,A,A ⊆ B হলে ইউনিয়নের সাথে C যোগ করলেও সম্পর্ক বজায় থাকে।,8
সেট প্রক্রিয়ার প্রতিজ্ঞা,117,A ⊆ B হলে (A ∩ C) ⊆ (B ∩ C) কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু B = C হলে,A,A ⊆ B হলে ছেদের সাথে C যোগ করলেও সম্পর্ক বজায় থাকে।,8
সেট প্রক্রিয়ার প্রতিজ্ঞা,118,A ∪ (A ∩ B) = A কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু A ≠ B হলে,A,"A ∪ (A ∩ B) = A কারণ A ∩ B ⊆ A, তাই ইউনিয়ন A দেয়।",8
সেট প্রক্রিয়ার প্রতিজ্ঞা,119,A ∩ (A ∪ B) = A কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু A ≠ B হলে,A,"A ∩ (A ∪ B) = A কারণ A ∪ B ⊇ A, তাই ছেদ A দেয়।",8
সেটের ধারণা,12,A এর পরিপূরক সেট কী?,A এর সব উপাদান,ইউনিভার্সাল সেটে A এর বাইরের উপাদান,A ∩ B,A ∪ B,B,A এর পরিপূরক সেটে ইউনিভার্সাল সেটের A এর বাইরের উপাদান থাকে।,3
সেট প্রক্রিয়ার প্রতিজ্ঞা,120,A ⊆ B এবং C ⊆ D হলে (A ∪ C) ⊆ (B ∪ D) কি সত্য?,হ্যাঁ,না,শুধু A = C হলে,শুধু B = D হলে,A,উপসেট সম্পর্ক ইউনিয়নের ক্ষেত্রে বজায় থাকে।,9
সেট প্রক্রিয়ার প্রতিজ্ঞা,121,A ⊆ B এবং C ⊆ D হলে (A ∩ C) ⊆ (B ∩ D) কি সত্য?,হ্যাঁ,না,শুধু A = C হলে,শুধু B = D হলে,A,উপসেট সম্পর্ক ছেদের ক্ষেত্রে বজায় থাকে।,9
সেট প্রক্রিয়ার প্রতিজ্ঞা,122,(A ∪ B) ∩ (A ∪ B') = A কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু A ≠ B হলে,A,(A ∪ B) ∩ (A ∪ B') = A কারণ A উভয় সেটে সাধারণ।,9
সেট প্রক্রিয়ার প্রতিজ্ঞা,123,(A ∩ B) ∪ (A ∩ B') = A কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু A ≠ B হলে,A,(A ∩ B) ∪ (A ∩ B') = A কারণ A এর সব উপাদান পাওয়া যায়।,9
সেট প্রক্রিয়ার প্রতিজ্ঞা,124,A ⊆ B হলে (A Δ C) ⊆ (B Δ C) কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু B = C হলে,A,A ⊆ B হলে সিমেট্রিক ডিফারেন্সের সাথে C যোগ করলেও সম্পর্ক বজায় থাকে।,10
সেট প্রক্রিয়ার প্রতিজ্ঞা,125,(A Δ B) Δ C = A Δ (B Δ C) কি সত্য?,হ্যাঁ,না,শুধু A = B = C হলে,শুধু A ≠ B ≠ C হলে,A,"সিমেট্রিক ডিফারেন্স সংযোজী, তাই প্রস্তাবনা সত্য।",10
সেট প্রক্রিয়ার প্রতিজ্ঞা,126,A ⊆ B হলে (B − A) ∩ A = ∅ কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু A ≠ B হলে,A,"B − A তে A এর কোনো উপাদান থাকে না, তাই ছেদ ∅।",10
সেট প্রক্রিয়ার প্রতিজ্ঞা,127,(A ∪ B) − (A ∩ B) = (A − B) ∪ (B − A) কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু A ≠ B হলে,A,"এটি A Δ B এর সংজ্ঞা, তাই প্রস্তাবনা সত্য।",10
সেট প্রক্রিয়ার প্রতিজ্ঞা,128,A ⊆ B হলে A ∪ (B ∩ C) = B ∩ (A ∪ C) কি সত্য?,হ্যাঁ,না,শুধু A = B হলে,শুধু B = C হলে,A,A ⊆ B হলে বিতরণী নিয়মের এই রূপ সত্য।,10
সেট প্রক্রিয়ার প্রতিজ্ঞা,129,(A ∩ B) ∪ (B ∩ C) ∪ (C ∩ A) ⊆ (A ∪ B ∪ C) কি সত্য?,হ্যাঁ,না,শুধু A = B = C হলে,শুধু A ≠ B ≠ C হলে,A,"বাম পাশের সব উপাদান ডান পাশে থাকে, তাই প্রস্তাবনা সত্য।",10
সেটের ধারণা,13,"{1, 2, 3} এর একটি উপসেট কোনটি?","{1, 2, 4}","{1, 2}","{4, 5}",∅,B,"উপসেটে মূল সেটের কিছু বা সব উপাদান থাকে, তাই {1, 2}।",3
সসীম সেট ও অসীম সেট,130,সসীম সেট কাকে বলে?,সীমিত সংখ্যক উপাদানের সেট,অসীম সংখ্যক উপাদানের সেট,কোনো উপাদান নেই,শুধু একটি উপাদান,A,সসীম সেটে নির্দিষ্ট ও সীমিত সংখ্যক উপাদান থাকে।,1
সসীম সেট ও অসীম সেট,131,অসীম সেট কাকে বলে?,সীমিত সংখ্যক উপাদানের সেট,অসংখ্য বা অসীম উপাদানের সেট,শূন্য সেট,একটি উপাদানের সেট,B,অসীম সেটে উপাদানের সংখ্যা অসংখ্য বা অসীম।,1
সসীম সেট ও অসীম সেট,132,"{1, 2, 3} কোন ধরনের সেট?",সসীম সেট,অসীম সেট,শূন্য সেট,ইউনিভার্সাল সেট,A,"এতে 3টি উপাদান আছে, তাই এটি সসীম সেট।",1
সসীম সেট ও অসীম সেট,133,"প্রাকৃতিক সংখ্যার সেট N = {1, 2, 3, ...} কোন ধরনের সেট?",সসীম সেট,অসীম সেট,শূন্য সেট,একক সেট,B,"প্রাকৃতিক সংখ্যা অসংখ্য, তাই এটি অসীম সেট।",1
সসীম সেট ও অসীম সেট,134,শূন্য সেট ∅ কোন ধরনের সেট?,সসীম সেট,অসীম সেট,কোনোটিই নয়,ইউনিভার্সাল সেট,A,"শূন্য সেটে কোনো উপাদান নেই, তাই এটি সসীম সেট।",2
সসীম সেট ও অসীম সেট,135,"{a, b, c, d} এর কার্ডিনাল সংখ্যা কত?",3,4,0,অসীম,B,"কার্ডিনাল সংখ্যা হলো উপাদানের সংখ্যা, এখানে 4।",2
সসীম সেট ও অসীম সেট,136,"{1, 3, 5} কোন ধরনের সেট?",সসীম সেট,অসীম সেট,শূন্য সেট,একক সেট,A,"এতে 3টি উপাদান আছে, তাই সসীম সেট।",2
সসীম সেট ও অসীম সেট,137,"পূর্ণসংখ্যার সেট Z = {..., -2, -1, 0, 1, 2, ...} কোন ধরনের সেট?",সসীম সেট,অসীম সেট,শূন্য সেট,একক সেট,B,"পূর্ণসংখ্যা অসংখ্য, তাই অসীম সেট।",2
সসীম সেট ও অসীম সেট,138,সসীম সেটের উপসেট সংখ্যা কীভাবে নির্ণয় করা হয়?,2^n (n = উপাদান সংখ্যা),n!,n^2,অসীম,A,n উপাদানের সসীম সেটের উপসেট সংখ্যা 2^n।,3
সসীম সেট ও অসীম সেট,139,"{2, 4, 6, 8} এর উপসেট কয়টি?",4,8,16,0,B,"4টি উপাদান, তাই উপসেট সংখ্যা 2^4 = 8।",3
সেটের ধারণা,14,"A = {1, 2, 3} হলে A এর পাওয়ার সেটে উপসেট সংখ্যা কত?",4,6,8,2,C,"n উপাদানের সেটের পাওয়ার সেটে 2^n উপসেট, এখানে 2^3 = 8।",4
সসীম সেট ও অসীম সেট,140,বাংলা বর্ণমালার অক্ষরের সেট কোন ধরনের সেট?,সসীম সেট,অসীম সেট,শূন্য সেট,ইউনিভার্সাল সেট,A,"বাংলা বর্ণমালায় নির্দিষ্ট সংখ্যক অক্ষর আছে, তাই সসীম।",3
সসীম সেট ও অসীম সেট,141,{x | x হলো 1 থেকে 10 পর্যন্ত সংখ্যা} কোন ধরনের সেট?,সসীম সেট,অসীম সেট,শূন্য সেট,একক সেট,A,"1 থেকে 10 পর্যন্ত 10টি সংখ্যা, তাই সসীম সেট।",3
সসীম সেট ও অসীম সেট,142,মৌলিক সংখ্যার সেট কোন ধরনের সেট?,সসীম সেট,অসীম সেট,শূন্য সেট,একক সেট,B,"মৌলিক সংখ্যা অসংখ্য, তাই অসীম সেট।",4
