Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty Level
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,1,"(3, 4) এবং (7, 10) বিন্দুদ্বয়ের মধ্যবর্তী দূরত্ব কত?",6,8,10,12,B,দূরত্ব সূত্র: √[(x₂-x₁)² + (y₂-y₁)²] = √[(7-3)² + (10-4)²] = √(16 + 36) = √52 ≈ 8,3
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,2,"(2, 5) এবং (8, -3) বিন্দুদ্বয়ের মধ্যবিন্দুর স্থানাঙ্ক কী?","(5, 1)","(4, 1)","(5, 2)","(4, 2)",A,"মধ্যবিন্দু সূত্র: [(x₁+x₂)/2, (y₁+y₂)/2] = [(2+8)/2, (5-3)/2] = (5, 1)",2
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,3,y = 2x + 3 রেখার ঢাল কত?,1,2,3,4,B,রেখার সমীকরণ y = mx + c হলে ঢাল m = 2,1
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,4,"(0, 0) এবং (4, 3) বিন্দু দিয়ে গঠিত রেখাংশের দৈর্ঘ্য কত?",4,5,6,7,B,দূরত্ব সূত্র: √[(4-0)² + (3-0)²] = √(16 + 9) = √25 = 5,2
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,5,"(1, 2) দিয়ে গমনকারী এবং ঢাল 3 হলে রেখার সমীকরণ কী?",y = 3x - 1,y = 3x + 1,y = 2x + 1,y = 3x + 2,A,ঢাল-বিন্দু সূত্র: y - y₁ = m(x - x₁) → y - 2 = 3(x - 1) → y = 3x - 1,4
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,6,"দুটি বিন্দু (-2, 3) এবং (4, -1) দিয়ে গঠিত রেখার ঢাল কত?",-2/3,2/3,-1/2,1/2,A,ঢাল m = (y₂ - y₁)/(x₂ - x₁) = (-1 - 3)/(4 - (-2)) = -4/6 = -2/3,3
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,7,"ত্রিভুজের তিনটি শীর্ষবিন্দু (0, 0), (3, 0), (0, 4) হলে এর ক্ষেত্রফল কত?",6,8,10,12,A,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা = (1/2) × 3 × 4 = 6,3
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,8,"(5, 7) এবং (-3, 2) বিন্দুদ্বয়ের মধ্যবর্তী দূরত্ব কত?",√89,√79,√69,√59,A,দূরত্ব সূত্র: √[(-3-5)² + (2-7)²] = √(64 + 25) = √89,4
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,9,y-অক্ষের সমান্তরাল রেখার ঢাল কী?,0,1,অসংজ্ঞায়িত,2,C,y-অক্ষের সমান্তরাল রেখার ঢাল অসংজ্ঞায়িত,2
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,10,"(2, -1) এবং (-4, 5) বিন্দুদ্বয়ের মধ্যবিন্দু কী?","(-1, 2)","(1, 2)","(-1, 3)","(0, 2)",A,"মধ্যবিন্দু: [(2-4)/2, (-1+5)/2] = (-1, 2)",2
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,11,"(3, 2) এবং (7, 2) দিয়ে গঠিত রেখাংশের দৈর্ঘ্য কত?",2,3,4,5,C,দূরত্ব সূত্র: √[(7-3)² + (2-2)²] = √16 = 4,2
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,12,রেখার সমীকরণ 2x - 3y + 6 = 0 হলে এর ঢাল কত?,2/3,3/2,-2/3,2,A,"সমীকরণকে y = mx + c আকারে রূপান্তর: 3y = 2x + 6 → y = (2/3)x + 2, ঢাল = 2/3",3
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,13,"(-1, 4) এবং (3, -2) বিন্দুদ্বয়ের মধ্যবর্তী দূরত্ব কত?",√50,√52,√48,√46,B,দূরত্ব সূত্র: √[(3-(-1))² + (-2-4)²] = √(16 + 36) = √52,4
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,14,"(0, 0), (4, 0), (4, 3) শীর্ষবিন্দুবিশিষ্ট ত্রিভুজের ক্ষেত্রফল কত?",6,8,10,12,A,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা = (1/2) × 4 × 3 = 6,3
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,15,x-অক্ষের সমান্তরাল রেখার ঢাল কী?,0,1,অসংজ্ঞায়িত,2,A,x-অক্ষের সমান্তরাল রেখার ঢাল 0,2
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,16,"(1, 3) দিয়ে গমনকারী এবং ঢাল -2 হলে রেখার সমীকরণ কী?",y = -2x + 5,y = -2x + 3,y = -2x + 1,y = -2x + 7,A,ঢাল-বিন্দু সূত্র: y - 3 = -2(x - 1) → y = -2x + 5,4
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,17,"(2, 5) এবং (-2, -3) বিন্দুদ্বয়ের মধ্যবর্তী দূরত্ব কত?",√80,√68,√72,√76,A,দূরত্ব সূত্র: √[(-2-2)² + (-3-5)²] = √(16 + 64) = √80,4
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,18,"(0, 0), (5, 0), (0, 5) শীর্ষবিন্দুবিশিষ্ট ত্রিভুজের ক্ষেত্রফল কত?",12.5,15,10,20,A,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা = (1/2) × 5 × 5 = 12.5,3
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,19,"(4, -2) এবং (-2, 4) বিন্দুদ্বয়ের মধ্যবিন্দু কী?","(1, 1)","(2, 1)","(1, 2)","(2, 2)",A,"মধ্যবিন্দু: [(4-2)/2, (-2+4)/2] = (1, 1)",2
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,20,3x + 4y - 12 = 0 রেখার ঢাল কত?,-3/4,3/4,-4/3,4/3,A,"সমীকরণকে y = mx + c আকারে রূপান্তর: 4y = -3x + 12 → y = (-3/4)x + 3, ঢাল = -3/4",3
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,21,"(0, 0) থেকে (3, 4) বিন্দুর দূরত্ব কত?",3,4,5,6,C,দূরত্ব সূত্র: √[(3-0)² + (4-0)²] = √(9 + 16) = √25 = 5,2
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,22,"(-3, 2) এবং (5, -4) বিন্দুদ্বয়ের মধ্যবর্তী দূরত্ব কত?",√100,√80,√90,√70,A,দূরত্ব সূত্র: √[(5-(-3))² + (-4-2)²] = √(64 + 36) = √100 = 10,4
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,23,"(2, 1) এবং (6, 4) দিয়ে গঠিত রেখার ঢাল কত?",3/4,4/3,1/2,2/3,A,ঢাল m = (4-1)/(6-2) = 3/4,3
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,24,"(0, 0), (6, 0), (0, 8) শীর্ষবিন্দুবিশিষ্ট ত্রিভুজের ক্ষেত্রফল কত?",24,20,18,16,A,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা = (1/2) × 6 × 8 = 24,3
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,25,"(3, -2) দিয়ে গমনকারী এবং ঢাল 1 হলে রেখার সমীকরণ কী?",y = x - 5,y = x - 2,y = x + 1,y = x - 3,D,ঢাল-বিন্দু সূত্র: y - (-2) = 1(x - 3) → y = x - 3,4
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,26,"(1, 4) এবং (-3, -2) বিন্দুদ্বয়ের মধ্যবর্তী দূরত্ব কত?",√50,√52,√48,√46,A,দূরত্ব সূত্র: √[(-3-1)² + (-2-4)²] = √(16 + 36) = √52,4
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,27,"(2, 3) এবং (2, -1) দিয়ে গঠিত রেখাংশের দৈর্ঘ্য কত?",2,3,4,5,C,দূরত্ব সূত্র: √[(2-2)² + (-1-3)²] = √16 = 4,2
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,28,y = -x + 5 রেখার ঢাল কত?,1,-1,0,2,B,রেখার সমীকরণ y = mx + c হলে ঢাল m = -1,1
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,29,"(0, 0), (3, 0), (3, 4) শীর্ষবিন্দুবিশিষ্ট ত্রিভুজের ক্ষেত্রফল কত?",6,8,10,12,A,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা = (1/2) × 3 × 4 = 6,3
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,30,"(-2, 5) এবং (4, -1) বিন্দুদ্বয়ের মধ্যবিন্দু কী?","(1, 2)","(2, 2)","(1, 3)","(2, 3)",A,"মধ্যবিন্দু: [(-2+4)/2, (5-1)/2] = (1, 2)",2
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,31,"(5, 2) এবং (-1, 6) বিন্দুদ্বয়ের মধ্যবর্তী দূরত্ব কত?",√50,√52,√48,√46,A,দূরত্ব সূত্র: √[(-1-5)² + (6-2)²] = √(36 + 16) = √52,4
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,32,"(1, -2) দিয়ে গমনকারী এবং ঢাল -3 হলে রেখার সমীকরণ কী?",y = -3x + 1,y = -3x - 1,y = -3x + 3,y = -3x - 3,A,ঢাল-বিন্দু সূত্র: y - (-2) = -3(x - 1) → y = -3x + 1,4
আয়তক্ষেত্রাকার কার্তেসীয় স্থানাঙ্ক,33,"(0, 0), (8, 0), (0, 6) শীর্ষবিন্দুবিশিষ্ট ত্রিভুজের ক্ষেত্রফল কত?",24,20,18,16,A,ক্ষেত্রফল = (1/2) × ভূমি × উচ্চতা = (1/2) × 8 × 6 = 24,3
