Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
Kinds of Nouns,1,Which of the following is a proper noun?,city,Dhaka,street,park,B,A proper noun names a specific place. Dhaka is a specific city.,1
Kinds of Nouns,2,Identify the common noun in the sentence: Salma reads a book.,Salma,book,reads,a,B,A common noun refers to a general class. Book is a general term.,2
Kinds of Nouns,3,What type of noun is 'team' in the sentence: The team won the match?,Proper,Common,Collective,Abstract,C,A collective noun names a group. Team refers to a group of players.,3
Kinds of Nouns,4,Fill in the blank: The ___ of the river is breathtaking.,beauty (abstract),water (material),Ganges (proper),fish (common),A,An abstract noun names a quality. Beauty is a quality of the river.,4
Kinds of Nouns,5,Which noun is a material noun?,happiness,silver,family,London,B,A material noun names a substance. Silver is a material.,5
Kinds of Nouns,6,"In the sentence: Shakespeare wrote many plays, what type of noun is 'Shakespeare'?",Common,Proper,Collective,Material,B,A proper noun names a specific person. Shakespeare is a specific individual.,6
Kinds of Nouns,7,Which noun in the sentence Honesty is the best policy is an abstract noun?,policy,best,honesty,is,C,An abstract noun names a quality. Honesty is a quality.,7
Kinds of Nouns,8,Choose the collective noun: A ___ of wolves howled at night.,pack,courage,gold,Paris,A,A collective noun names a group. Pack refers to a group of wolves.,8
Kinds of Nouns,9,Which sentence contains a material noun?,The crowd cheered loudly.,The jeweller used copper.,The city is bustling.,The idea was brilliant.,B,A material noun names a substance. Copper is a material used by the jeweller.,9
Kinds of Nouns,10,"In the sentence: The Maldives is beautiful, what type of noun is 'Maldives'?",Common,Proper,Abstract,Material,B,A proper noun names a specific place. Maldives is a specific country.,10
Kinds of Nouns,11,Identify the common noun: The teacher gave homework.,teacher,homework,gave,the,B,A common noun refers to a general class. Homework is a general term.,2
Kinds of Nouns,12,Which is a collective noun?,river,army,stone,bravery,B,A collective noun names a group. Army refers to a group of soldiers.,3
Kinds of Nouns,13,Fill in the blank: The ___ of the storm caused damage.,force (abstract),rain (material),Atlantic (proper),ship (common),A,An abstract noun names a concept. Force is a concept of the storm.,4
Kinds of Nouns,14,Which noun is a material noun in: She bought oil for cooking?,she,oil,cooking,for,B,A material noun names a substance. Oil is a material.,5
Kinds of Nouns,15,What type of noun is 'committee' in: The committee met today?,Proper,Common,Collective,Abstract,C,A collective noun names a group. Committee refers to a group of people.,6
Kinds of Nouns,16,Which sentence uses a proper noun?,The dog barked.,The Nile flows north.,The tree grew tall.,The book was heavy.,B,A proper noun names a specific place. Nile is a specific river.,7
Kinds of Nouns,17,Choose the abstract noun: His ___ inspired everyone.,strength,table,city,team,A,An abstract noun names a quality. Strength is a quality.,8
Kinds of Nouns,18,"In the sentence: The oxygen in the air is vital, what type of noun is 'oxygen'?",Common,Material,Abstract,Collective,B,A material noun names a substance. Oxygen is a gaseous material.,9
Kinds of Nouns,19,Which is a collective noun in: A ___ of ants marched in a line?,swarm,kindness,iron,Asia,A,A collective noun names a group. Swarm refers to a group of ants.,10
Kinds of Nouns,20,What type of noun is 'freedom' in: Freedom is precious?,Proper,Common,Abstract,Material,C,An abstract noun names a concept. Freedom is a concept.,3
Kinds of Nouns,21,Identify the proper noun: The festival is held in Tokyo.,festival,Tokyo,held,in,B,A proper noun names a specific place. Tokyo is a specific city.,4
Kinds of Nouns,22,Which noun is a material noun?,love,wood,family,school,B,A material noun names a substance. Wood is a material.,5
Kinds of Nouns,23,Fill in the blank: A ___ of students gathered in the hall.,group (collective),joy (abstract),paper (material),London (proper),A,A collective noun names a group. Group refers to a group of students.,6
Kinds of Nouns,24,Which sentence contains an abstract noun?,The chair is wooden.,The river flows fast.,Her patience was admirable.,The team won.,C,An abstract noun names a quality. Patience is a quality.,7
Kinds of Nouns,25,What type of noun is 'United Nations' in: The United Nations met today?,Proper,Common,Collective,Abstract,A,A proper noun names a specific organization. United Nations is a specific entity.,8
Number,26,What is the plural form of 'child'?,childs,children,childes,childrens,B,Child forms its plural as children.,1
