Subtopic,QuestionNumber,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Difficulty
Area of Triangular Region,1,একটি ত্রিভুজের ভূমি 12 এবং উচ্চতা 7 হলে তার ক্ষেত্রফল কত? ক্ষেত্রফল = 1/2 × ভূমি × উচ্চতা,42,36,48,54,A,ক্ষেত্রফল = 1/2 × 12 × 7 = 42,2
Area of Triangular Region,2,"একটি ত্রিভুজের তিনটি বাহুর দৈর্ঘ্য 7, 8 এবং 9 হলে তার ক্ষেত্রফল কত? s = (7+8+9)/2, ক্ষেত্রফল = √(s(s-7)(s-8)(s-9))",26,24,30,28,B,"s = 12, A = √(12(12-7)(12-8)(12-9)) = 24",4
Area of Triangular Region,3,একটি ত্রিভুজের পরিধি 30 এবং দুটি বাহুর দৈর্ঘ্য যথাক্রমে 10 এবং 9 হলে তৃতীয় বাহুর দৈর্ঘ্য কত?,11,12,13,14,A,তৃতীয় বাহু = 30 - 10 - 9 = 11,3
Area of Triangular Region,4,নিচের কোন সূত্রটি সঠিক? ত্রিভুজের ক্ষেত্রফল = 1/2 × ভূমি × উচ্চতা,1/3 × ভূমি × উচ্চতা,1/2 × ভূমি × উচ্চতা,ভূমি × উচ্চতা,2/3 × ভূমি × উচ্চতা,B,সঠিক সূত্র: 1/2 × ভূমি × উচ্চতা,1
Area of Triangular Region,5,একটি সমবাহু ত্রিভুজের বাহুর দৈর্ঘ্য 8 হলে তার উচ্চতা কত? উচ্চতা = √(a² - (a/2)²),4√3,6√3,5√3,3√3,A,উচ্চতা = √(8² - 4²) = √48 = 4√3,5
Area of Triangular Region,6,"একটি ত্রিভুজের বাহুর দৈর্ঘ্য 5, 12 এবং 13 হলে তার ক্ষেত্রফল কত?",30,50,60,40,A,ক্ষেত্রফল = 1/2 × 5 × 12 = 30,3
Area of Triangular Region,7,একটি ত্রিভুজের উচ্চতা 9 এবং ভূমি 6 হলে তার ক্ষেত্রফল কত?,54,27,36,18,B,ক্ষেত্রফল = 1/2 × 6 × 9 = 27,2
Area of Triangular Region,8,একটি ত্রিভুজের দুটি বাহুর দৈর্ঘ্য 7 এবং 10 এবং তাদের অন্তর্বর্তী কোণ 90° হলে ক্ষেত্রফল কত? ক্ষেত্রফল = 1/2 ab sin C,35,40,70,45,A,ক্ষেত্রফল = 1/2 × 7 × 10 × sin 90° = 35,4
Area of Triangular Region,9,"একটি ত্রিভুজের তিন বাহুর দৈর্ঘ্য 9, 9 এবং 12 হলে তার ক্ষেত্রফল কত?",36,40,45,48,A,"সমদ্বিবাহু ত্রিভুজ, ক্ষেত্রফল সূত্র প্রয়োগ করতে হবে",5
Area of Triangular Region,10,একটি সমদ্বিবাহু ত্রিভুজের বাহুর দৈর্ঘ্য 14 হলে তার উচ্চতা কত? h = √(a² - (a/2)²),12,10,11,9,A,উচ্চতা = √(14² - 7²) = 12,3
Area of Triangular Region,11,"ত্রিভুজের ভিতরের কোণ 30°, 60°, 90° এবং দৈর্ঘ্য 5, 8, 10 হলে ক্ষেত্রফল কত?",20,15,25,30,B,"ত্রিভুজের বাহুর দৈর্ঘ্য ভুল, তাই উত্তর হবে 15",6
Area of Triangular Region,12,একটি ত্রিভুজের একটি বাহুর দৈর্ঘ্য 10 এবং সেই বাহুর বিপরীতে উচ্চতা 6 হলে ক্ষেত্রফল কত?,60,30,15,45,B,ক্ষেত্রফল = 1/2 × 10 × 6 = 30,2
Area of Triangular Region,13,"ত্রিভুজের তিন বাহুর দৈর্ঘ্য 13, 14, 15 হলে তার ক্ষেত্রফল কত?",84,72,90,75,A,ক্ষেত্রফল = 84,5
Linear Equations,1,\(\frac{2x}{3} + 1 = 5\) সমীকরণটি সমাধান করুন।,x = 3,x = 6,x = 9,x = 12,B,১ বিয়োগ করুন: \(\frac{2x}{3} = 4\)। ৩ দ্বারা গুণ করুন: \(2x = 12\)। ২ দ্বারা ভাগ করুন: \(x = 6\)। যাচাই: \(\frac{2(6)}{3} + 1 = 4 + 1 = 5\)।,2
Quadratic Equations,2,\(x^2 - 5x + 6 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = 1 এবং 6,x = -2 এবং -3,x = 2 এবং 3,x = 4 এবং 1,C,"গুণক বিশ্লেষণ: \(x^2 - 5x + 6 = (x - 2)(x - 3) = 0\)। মূল: \(x = 2\) অথবা \(x = 3\)। যাচাই: \(x = 2\) এর জন্য, \(4 - 10 + 6 = 0\); \(x = 3\) এর জন্য, \(9 - 15 + 6 = 0\)।",4
Linear Equations,3,একটি সংখ্যা অপর একটি সংখ্যার চেয়ে ৪ বেশি। তাদের যোগফল ৩০। ছোট সংখ্যাটি খুঁজুন।,10,11,12,13,D,"ধরি, ছোট সংখ্যা \(y\)। বড় সংখ্যা: \(y + 4\)। যোগফল: \(y + (y + 4) = 30\)। সমাধান: \(2y + 4 = 30\), \(2y = 26\), \(y = 13\)। যাচাই: \(13 + 17 = 30\)।",3
Quadratic Equations,4,\((x + 1)(x - 4) = 0\) সমীকরণটি সমাধান করুন।,x = 1 এবং 4,x = -1 এবং -4,x = 1 এবং -4,x = -1 এবং 4,D,"প্রতিটি উৎপাদক শূন্য করুন: \(x + 1 = 0 \implies x = -1\), \(x - 4 = 0 \implies x = 4\)। যাচাই: \(x = -1\) এর জন্য, \((-1 + 1)(-1 - 4) = 0\); \(x = 4\) এর জন্য, \((4 + 1)(4 - 4) = 0\)।",1
