Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
Basics of Changing Speech,1,"Fill in the blank: Direct: 'I have seen the movie,' he said. Indirect: He said that he _____ (see) the movie.",do,had seen,does,have,B,Use correct tense and form in narration.,4
Basics of Changing Speech,2,"Direct speech: She said, 'I am hungry.' What is the indirect speech?",She said she will be hungry.,She said she has been hungry.,She said she was hungry.,She said that she is hungry.,C,Change present tense to past tense in indirect speech.,8
Basics of Changing Speech,3,"Fill in the blank: Direct: 'We are playing,' they said. Indirect: They said they _____ (play).",will,done,were playing,doing,C,Use correct tense and form in narration.,5
Basics of Changing Speech,4,"Direct speech: She said, 'I am hungry.' What is the indirect speech?",She said she was hungry.,She said she has been hungry.,She said that she is hungry.,She said she will be hungry.,A,Change present tense to past tense in indirect speech.,4
Basics of Changing Speech,5,"Find the error and choose the correct sentence:
Direct: 'Do your homework,' he said. Indirect: He said me to do my homework.",Cannot say,"Direct: 'Do your homework,' he said. Indirect: He said me to do my homework.",No error,He told me to do my homework.,D,Correct narration tense and pronoun changes needed.,8
Basics of Changing Speech,6,"Fill in the blank: Direct: 'We are playing,' they said. Indirect: They said they _____ (play).",doing,were playing,has,did,B,Use correct tense and form in narration.,6
Basics of Changing Speech,7,"Fill in the blank: Convert to indirect speech: She said, 'I will help you.' -> She said that she _____ (help) me.",did,does,would help,done,C,Use correct tense and form in narration.,7
Basics of Changing Speech,8,"Find the error and choose the correct sentence:
Direct: 'I will come,' he said. Indirect: He said he will come.",He said he would come.,No error,"Direct: 'I will come,' he said. Indirect: He said he will come.",Cannot say,A,Correct narration tense and pronoun changes needed.,3
Basics of Changing Speech,9,"Find the error and choose the correct sentence:
Direct: He said, 'I can swim.' Indirect: He said he can swim.",He said he could swim.,"Direct: He said, 'I can swim.' Indirect: He said he can swim.",No error,Cannot say,A,Correct narration tense and pronoun changes needed.,6
Basics of Changing Speech,10,"Fill in the blank: Direct: 'I have seen the movie,' he said. Indirect: He said that he _____ (see) the movie.",did,have,had seen,do,C,Use correct tense and form in narration.,7
Basics of Changing Speech,11,"Find the error and choose the correct sentence:
Direct: She said, 'I am going.' Indirect: She said that she is going.","Direct: She said, 'I am going.' Indirect: She said that she is going.",She said that she was going.,No error,Cannot say,B,Correct narration tense and pronoun changes needed.,8
Basics of Changing Speech,12,"Find the error and choose the correct sentence:
Direct: 'Do your homework,' he said. Indirect: He said me to do my homework.",No error,Cannot say,"Direct: 'Do your homework,' he said. Indirect: He said me to do my homework.",He told me to do my homework.,D,Correct narration tense and pronoun changes needed.,2
Basics of Changing Speech,13,"Find the error and choose the correct sentence:
Direct: He said, 'I can swim.' Indirect: He said he can swim.",No error,He said he could swim.,Cannot say,"Direct: He said, 'I can swim.' Indirect: He said he can swim.",B,Correct narration tense and pronoun changes needed.,10
Basics of Changing Speech,14,Fill in the blank: Indirect speech: She said that she _____ (not/like) ice cream.,have,has,done,did not like,D,Use correct tense and form in narration.,5
Basics of Changing Speech,15,"Direct: 'I will come,' he said. Indirect?",He said he is coming.,He said he comes.,He said he will come.,He said he would come.,D,Future 'will' changes to 'would' in indirect speech.,4
Basics of Changing Speech,16,"Fill in the blank: Convert to indirect speech: He said, 'I _____ (go) to school.'",doing,went,have,do,B,Use correct tense and form in narration.,6
