Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
Present Simple and Continuous Passive ,1,The room ___ every morning.,is cleaned,is being cleaned,cleans,cleaned,A,"The sentence indicates a regular action, so Present Simple Passive 'is cleaned' is correct.",1
Present Simple and Continuous Passive ,2,The walls ___ right now.,are being painted,are painted,paints,is painting,A,"'Right now' indicates an ongoing action, so Present Continuous Passive 'are being painted' is correct.",1
Present Simple and Continuous Passive ,3,The letter ___ every week.,is being written,writes,is written,writing,C,"The sentence indicates a regular action, so Present Simple Passive 'is written' is correct.",1
Present Simple and Continuous Passive ,4,Dinner ___ at the moment.,is served,is being served,serves,serving,B,"'At the moment' indicates an ongoing action, so Present Continuous Passive 'is being served' is correct.",1
Present Simple and Continuous Passive ,5,The car ___ right now.,is being fixed,is fixed,fixes,fixing,A,"'Right now' indicates an ongoing action, so Present Continuous Passive 'is being fixed' is correct.",1
Present Simple and Continuous Passive ,6,The cake ___ every Sunday.,is made,makes,is making,is being made,A,"The sentence indicates a regular action, so Present Simple Passive 'is made' is correct.",1
Present Simple and Continuous Passive ,7,The students ___ every day.,are being taught,teaches,are taught,teaching,C,"The sentence indicates a regular action, so Present Simple Passive 'are taught' is correct.",1
Present Simple and Continuous Passive ,8,The house ___ every evening.,is cleaned,is being cleaned,cleaned,cleans,A,"The sentence indicates a regular action, so Present Simple Passive 'is cleaned' is correct.",2
Present Simple and Continuous Passive ,9,The houses ___ right now.,are being built,builds,are built,building,A,"'Right now' indicates an ongoing action, so Present Continuous Passive 'are being built' is correct.",2
Present Simple and Continuous Passive ,10,The meal ___ every night.,is being prepared,is prepared,prepares,preparing,B,"The sentence indicates a regular action, so Present Simple Passive 'is prepared' is correct.",2
Present Simple and Continuous Passive ,11,The book ___ every month.,is being read,reads,is read,reading,C,"The sentence indicates a regular action, so Present Simple Passive 'is read' is correct.",2
Present Simple and Continuous Passive ,12,The rooms ___ every year.,are painted,are being painted,paint,painting,A,"The sentence indicates a regular action, so Present Simple Passive 'are painted' is correct.",2
Present Simple and Continuous Passive ,13,The floor ___ every day.,is being cleaned,is cleaned,cleans,cleaning,B,"The sentence indicates a regular action, so Present Simple Passive 'is cleaned' is correct.",2
Present Simple and Continuous Passive ,14,The report ___ right now.,is being written,is written,writes,writing,A,"'Right now' indicates an ongoing action, so Present Continuous Passive 'is being written' is correct.",2
Present Simple and Continuous Passive ,15,Choose the correct form: The dress ___ every season.,is designed,is being designed,designs,designing,A,"The sentence indicates a regular action, so Present Simple Passive 'is designed' is correct.",3
Present Simple and Continuous Passive ,16,Choose the correct form: The products ___ every month.,are being tested,are tested,test,testing,B,"The sentence indicates a regular action, so Present Simple Passive 'are tested' is correct.",3
Present Simple and Continuous Passive ,17,Choose the correct form: The hall ___ right now.,is being decorated,is decorated,decorates,decorating,A,"'Right now' indicates an ongoing action, so Present Continuous Passive 'is being decorated' is correct.",3
Present Simple and Continuous Passive ,18,Choose the correct form: Lunch ___ every day at noon.,is served,is being served,serves,serving,A,"The sentence indicates a regular action, so Present Simple Passive 'is served' is correct.",3
Present Simple and Continuous Passive ,19,Choose the correct form: The toys ___ right now.,are being made,are made,make,making,A,"'Right now' indicates an ongoing action, so Present Continuous Passive 'are being made' is correct.",3
Present Simple and Continuous Passive ,20,Choose the correct form: The office ___ every evening.,is cleaned,is being cleaned,cleans,cleaning,A,"The sentence indicates a regular action, so Present Simple Passive 'is cleaned' is correct.",3
Present Simple and Continuous Passive ,21,Choose the correct form: The machine ___ every month.,is being fixed,is fixed,fixes,fixing,B,"The sentence indicates a regular action, so Present Simple Passive 'is fixed' is correct.",3
Present Simple and Continuous Passive ,22,Fill in the blank: The story ___ right now.,is being read,is read,reads,reading,A,"'Right now' indicates an ongoing action, so Present Continuous Passive 'is being read' is correct.",4
Present Simple and Continuous Passive ,23,Fill in the blank: The lessons ___ at the moment.,are taught,are being taught,teach,teaching,B,"'At the moment' indicates an ongoing action, so Present Continuous Passive 'are being taught' is correct.",4
Present Simple and Continuous Passive ,24,Fill in the blank: The food ___ every morning.,is prepared,is being prepared,prepares,preparing,A,"The sentence indicates a regular action, so Present Simple Passive 'is prepared' is correct.",4
Present Simple and Continuous Passive ,25,Fill in the blank: The fence ___ every year.,is being painted,is painted,paints,painting,B,"The sentence indicates a regular action, so Present Simple Passive 'is painted' is correct.",4
Present Simple and Continuous Passive ,26,Fill in the blank: The windows ___ right now.,are being cleaned,are cleaned,clean,cleaning,A,"'Right now' indicates an ongoing action, so Present Continuous Passive 'are being cleaned' is correct.",4
Present Simple and Continuous Passive ,27,Fill in the blank: The email ___ every week.,is written,is being written,writes,writing,A,"The sentence indicates a regular action, so Present Simple Passive 'is written' is correct.",4
Present Simple and Continuous Passive ,28,Fill in the blank: The website ___ every quarter.,is being designed,is designed,designs,designing,B,"The sentence indicates a regular action, so Present Simple Passive 'is designed' is correct.",4
Present Simple and Continuous Passive ,29,The devices ___ right now.,are being tested,are tested,test,testing,A,"'Right now' indicates an ongoing action, so Present Continuous Passive 'are being tested' is correct.",5
Present Simple and Continuous Passive ,30,Breakfast ___ at the moment.,is served,is being served,serves,serving,B,"'At the moment' indicates an ongoing action, so Present Continuous Passive 'is being served' is correct.",5
Present Simple and Continuous Passive ,31,The park ___ right now.,is being cleaned,is cleaned,cleans,cleaning,A,"'Right now' indicates an ongoing action, so Present Continuous Passive 'is being cleaned' is correct.",5
Present Simple and Continuous Passive ,32,The bread ___ every morning.,is made,is being made,makes,making,A,"The sentence indicates a regular action, so Present Simple Passive 'is made' is correct.",5
Present Simple and Continuous Passive ,33,The walls ___ right now.,are painted,are being painted,paint,painting,B,"'Right now' indicates an ongoing action, so Present Continuous Passive 'are being painted' is correct.",5
Present Simple and Continuous Passive ,34,The book ___ right now.,is being written,is written,writes,writing,A,"'Right now' indicates an ongoing action, so Present Continuous Passive 'is being written' is correct.",5
Present Simple and Continuous Passive ,35,The classroom ___ every day.,is cleaned,is being cleaned,cleans,cleaning,A,"The sentence indicates a regular action, so Present Simple Passive 'is cleaned' is correct.",5
Present Simple and Continuous Passive ,36,Correct the error: The room is cleaned every day.,The room cleaned every day.,The room is cleaning every day.,The room are cleaned every day.,The room is cleaned every day.,D,"The original sentence is correct, using Present Simple Passive 'is cleaned' for a regular action.",6
Present Simple and Continuous Passive ,37,Correct the error: The house is being painted right now.,The house painted right now.,The house is painting right now.,The house are being painted right now.,The house is being painted right now.,D,"The original sentence is correct, using Present Continuous Passive 'is being painted' for an ongoing action.",6
Present Simple and Continuous Passive ,38,Correct the error: The car is being fixed every month.,The car fixed every month.,The car is fixed every month.,The car fixes every month.,The car is fixed every month.,C,"The original sentence uses Continuous Passive, which doesn't fit a regular action; the correct form is Present Simple Passive 'is fixed.'",6
Present Simple and Continuous Passive ,39,Correct the error: The letter is being written right now.,The letter written right now.,The letter is writing right now.,The letter are being written right now.,The letter is being written right now.,D,"The original sentence is correct, using Present Continuous Passive 'is being written' for an ongoing action.",6
