Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty,,
সংখ্যার শ্রেণীবিভাগ,1,প্রাকৃতিক সংখ্যার উদাহরণ কোনটি?,-3,0,5,1/2,C,5 একটি প্রাকৃতিক সংখ্যা কারণ এটি ধনাত্মক পূর্ণ সংখ্যা।,1,,
সংখ্যার শ্রেণীবিভাগ,2,নিচের কোনটি পূর্ণসংখ্যা?,3.5,-2,1/3,√4,B,-2 একটি পূর্ণসংখ্যা কারণ এটি পূর্ণ সংখ্যা ও ঋণাত্মক পূর্ণ সংখ্যা অন্তর্ভুক্ত।,1,,
সংখ্যার শ্রেণীবিভাগ,3,নিচের কোনটি অমূলদ সংখ্যা?,1/2,π,4,-1,B,π একটি অমূলদ সংখ্যা কারণ এটি ভগ্নাংশ আকারে প্রকাশ করা যায় না।,2,,
সংখ্যার শ্রেণীবিভাগ,4,মূলদ সংখ্যা কোনটি?,√16,√5,π,-3.2,A,"√16 = 4, যা একটি মূলদ সংখ্যা কারণ এটি সম্পূর্ণ সংখ্যা।",2,,
সংখ্যার শ্রেণীবিভাগ,5,নিচের কোনটি বাস্তব সংখ্যা নয়?,-7,0.25,√2,i,D,"i একটি কাল্পনিক সংখ্যা, বাস্তব সংখ্যা নয়।",2,,
সংখ্যার শ্রেণীবিভাগ,6,নিচের কোন সংখ্যাটি প্রাকৃতিক সংখ্যা নয়?,10,0,7,15,B,"0 প্রাকৃতিক সংখ্যা নয়, এটি পূর্ণসংখ্যার অংশ।",2,,
সংখ্যার শ্রেণীবিভাগ,7,-5 কোন ধরনের সংখ্যা?,প্রাকৃতিক,পূর্ণসংখ্যা,মূলদ,অমূলদ,B,-5 একটি পূর্ণসংখ্যা কারণ এটি ঋণাত্মক পূর্ণ সংখ্যা।,3,,
সংখ্যার শ্রেণীবিভাগ,8,নিচের কোনটি ভগ্নাংশের রূপে লেখা যায় না?,√3,0.75,1/4,-2/5,A,"√3 একটি অমূলদ সংখ্যা, যা ভগ্নাংশ আকারে প্রকাশ করা যায় না।",3,,
সংখ্যার শ্রেণীবিভাগ,9,0 কোন শ্রেণীর সংখ্যা?,প্রাকৃতিক,পূর্ণসংখ্যা,মূলদ,অমূলদ,B,"0 একটি পূর্ণসংখ্যা, তবে প্রাকৃতিক সংখ্যা নয়।",3,,
সংখ্যার শ্রেণীবিভাগ,10,নিচের কোন সংখ্যা বাস্তব সংখ্যা?,5 + 2i,-√2,i,√-1,B,-√2 বাস্তব সংখ্যা কারণ এটি একটি বাস্তব সংখ্যার রূপ।,3,,
সংখ্যার শ্রেণীবিভাগ,11,√49 কোন শ্রেণীর সংখ্যা?,প্রাকৃতিক,অমূলদ,মূলদ,পূর্ণসংখ্যা,C,"√49=7, যা একটি মূলদ সংখ্যা।",4,,
সংখ্যার শ্রেণীবিভাগ,12,π এর মান সাধারণত কোন শ্রেণীতে পড়ে?,পূর্ণসংখ্যা,প্রাকৃতিক সংখ্যা,অমূলদ সংখ্যা,মূলদ সংখ্যা,C,π একটি অমূলদ সংখ্যা কারণ এটি অসীম দশমিক।,4,,
সংখ্যার শ্রেণীবিভাগ,13,-3/4 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক সংখ্যা,A,-3/4 একটি মূলদ সংখ্যা কারণ এটি ভগ্নাংশ আকারে প্রকাশ করা যায়।,4,,
সংখ্যার শ্রেণীবিভাগ,14,নিচের কোনটি অমূলদ সংখ্যা?,√25,√2,1/2,3,B,"√2 একটি অমূলদ সংখ্যা, কারণ এটি ভগ্নাংশ আকারে লেখা যায় না।",4,,
সংখ্যার শ্রেণীবিভাগ,15,0.3333... কোন ধরনের সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক সংখ্যা,A,0.3333... একটি মূলদ সংখ্যা কারণ এটি ভগ্নাংশ 1/3 এর দশমিক রূপ।,4,,
সংখ্যার শ্রেণীবিভাগ,16,-1 কোন শ্রেণীর সংখ্যা?,পূর্ণসংখ্যা,প্রাকৃতিক,মূলদ,অমূলদ,A,-1 একটি পূর্ণসংখ্যা কারণ এটি ঋণাত্মক পূর্ণ সংখ্যা।,5,,
সংখ্যার শ্রেণীবিভাগ,17,√8 কোন শ্রেণীর সংখ্যা?,মূলদ,অমূলদ,পূর্ণসংখ্যা,প্রাকৃতিক,B,"√8 = 2√2, যা একটি অমূলদ সংখ্যা।",5,,
সংখ্যার শ্রেণীবিভাগ,18,নিচের কোন সংখ্যা বাস্তব সংখ্যা নয়?,-5,√9,2 + 3i,0,C,"2+3i একটি কাল্পনিক সংখ্যা, বাস্তব সংখ্যা নয়।",5,,
