Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
সেট,1,একটি সেট কী?,সংখ্যার একটি সংগ্রহ,বাস্তব বা কাল্পনিক জগতের একটি সুসংগঠিত বস্তু,ফাংশনের একটি তালিকা,অর্ডারড জোড়ার একটি গ্রুপ,B,একটি সেট হল বাস্তব বা কাল্পনিক জগতের একটি সুসংগঠিত বস্তু।,1
সেট,2,কোন প্রতীকটি নির্দেশ করে যে একটি উপাদান একটি সেটের অন্তর্গত?,⊆,∈,∉,∪,B,∈ প্রতীকটি নির্দেশ করে যে একটি উপাদান একটি সেটের অন্তর্গত।,1
সেট,3,"রোস্টার পদ্ধতিতে, একটি সেটের উপাদানগুলো কীভাবে প্রকাশ করা হয়?",তাদের সাধারণ বৈশিষ্ট্য দ্বারা,একটি নিয়ম ব্যবহার করে,কার্লি ব্রেসের ভিতরে কমা দিয়ে তালিকাভুক্ত করে,অসমতা ব্যবহার করে,C,"রোস্টার পদ্ধতিতে, উপাদানগুলো কার্লি ব্রেসের ভিতরে কমা দিয়ে তালিকাভুক্ত করা হয়।",2
সেট,4,"{1, 3, 5, 7} সেটটি সেট বিল্ডার নোটেশনে প্রকাশ করুন।",{x: x একটি বিজোড় প্রাকৃতিক সংখ্যা এবং 1 ≤ x ≤ 7},{x: x একটি প্রাকৃতিক সংখ্যা এবং 1 ≤ x ≤ 7},{x: x একটি জোড় প্রাকৃতিক সংখ্যা এবং 1 ≤ x ≤ 7},{x: x একটি মৌলিক সংখ্যা এবং 1 ≤ x ≤ 7},A,"{1, 3, 5, 7} সেটটি 1 থেকে 7 পর্যন্ত বিজোড় প্রাকৃতিক সংখ্যা নিয়ে গঠিত, তাই এটি হল {x: x একটি বিজোড় প্রাকৃতিক সংখ্যা এবং 1 ≤ x ≤ 7}।",3
সেট,5,নিম্নলিখিত কোনটি একটি সীমিত সেট?,{x: x একটি পূর্ণসংখ্যা},"{1, 2, 3, 4, 5}",{x: x একটি যুক্তিসংখ্যা},{x: x একটি বাস্তব সংখ্যা},B,"একটি সীমিত সেটের উপাদান সংখ্যা গণনাযোগ্য। {1, 2, 3, 4, 5} এর 5টি উপাদান আছে, তাই এটি সীমিত।",2
সেট,6,নিম্নলিখিত কোনটি একটি অসীম সেট?,"{1, 2, 3, ..., 100}",{x: x একটি মৌলিক সংখ্যা এবং x < 50},{x: x একটি প্রাকৃতিক সংখ্যা},{x: x একটি ক্লাসের ছাত্র},C,"একটি অসীম সেট পুরোপুরি গণনা করা যায় না। প্রাকৃতিক সংখ্যার সেট {1, 2, 3, ...} অসীম।",3
সেট,7,একটি শূন্য সেট কী?,একটি উপাদান বিশিষ্ট সেট,কোনো উপাদান নেই এমন সেট,একটি অসীম সেট,একটি সর্বজনীন সেট,B,"একটি শূন্য সেট, যাকে ∅ দ্বারা চিহ্নিত করা হয়, তার কোনো উপাদান নেই।",1
সেট,8,"{a, b, c} সেটটির কতগুলো উপসেট আছে?",6,7,8,9,C,"n উপাদান বিশিষ্ট একটি সেটের 2^n উপসেট থাকে। এখানে, n = 3, তাই 2^3 = 8টি উপসেট।",4
সেট,9,"নিম্নলিখিত কোনটি {x, y, z} এর একটি সঠিক উপসেট?","{x, y, z}","{x, y}","{x, y, z, w}","{x, z, w}",B,"একটি সঠিক উপসেটের মূল সেটের তুলনায় কম উপাদান থাকে এবং এটি মূল সেটের সমান নয়। {x, y} একটি সঠিক উপসেট।",4
সেট,10,কোন জোড়া সেট সমতুল্য?,"{1, 2, 3} এবং {3, 1, 2, 2}","{1, 2} এবং {3, 4}","{a, b, c} এবং {a, b, d}","{1, 2, 3} এবং {4, 5, 6}",A,"সমতুল্য সেটে একই উপাদান থাকে, ক্রম এবং পুনরাবৃত্তি উপেক্ষা করে। {1, 2, 3} এবং {3, 1, 2, 2} সমতুল্য।",5
সেট,11,"যদি A = {1, 2, 3, 4, 5} এবং B = {2, 4} হয়, তবে A - B কী?","{1, 3, 5}","{2, 4}","{1, 2, 3, 4, 5}",∅,A,"A - B তে A এর সেই উপাদান থাকে যা B তে নেই। {1, 2, 3, 4, 5} - {2, 4} = {1, 3, 5}।",5
সেট,12,"যদি U = {1, 2, 3, 4, 5} এবং A = {1, 3} হয়, তবে A^c কী?","{2, 4, 5}","{1, 3}","{1, 2, 3, 4, 5}",∅,A,"A^c তে U এর সেই উপাদান থাকে যা A তে নেই। {1, 2, 3, 4, 5} - {1, 3} = {2, 4, 5}।",3
সেট,13,"যদি A = {1, 3, 5} এবং B = {2, 4, 6} হয়, তবে A ∪ B কী?","{1, 2, 3, 4, 5, 6}","{1, 3, 5}","{2, 4, 6}",∅,A,"A ∪ B তে দুটি সেটের সব উপাদান থাকে। {1, 3, 5} ∪ {2, 4, 6} = {1, 2, 3, 4, 5, 6}।",2
সেট,14,"যদি P = {2, 4, 6} এবং Q = {4, 6, 8} হয়, তবে P ∩ Q কী?","{2, 4, 6, 8}","{4, 6}","{2, 8}",∅,B,"P ∩ Q তে দুটি সেটের সাধারণ উপাদান থাকে। {2, 4, 6} ∩ {4, 6, 8} = {4, 6}।",3
সেট,15,কখন দুটি সেট A এবং B বিচ্ছিন্ন হয়?,A ∪ B = ∅,A ∩ B = ∅,A ⊆ B,B ⊆ A,B,"দুটি সেট বিচ্ছিন্ন হয় যদি তাদের কোনো সাধারণ উপাদান না থাকে, অর্থাৎ A ∩ B = ∅।",4
সেট,16,"{a, b} সেটটির পাওয়ার সেটে কতগুলো উপাদান আছে?",2,3,4,5,C,পাওয়ার সেট P(A) তে A এর সব উপসেট থাকে। 2টি উপাদান থাকলে উপসেটের সংখ্যা 2^2 = 4।,4
সেট,17,{x: x হল 36 এর একটি গুণনীয়ক} সেটটি রোস্টার আকারে প্রকাশ করুন।,"{1, 2, 3, 4, 6, 9, 12, 18, 36}","{1, 2, 3, 4, 6, 9, 12, 18}","{2, 3, 4, 6, 9, 12, 18, 36}","{1, 3, 4, 6, 12, 18, 36}",A,"36 এর গুণনীয়ক হল 1, 2, 3, 4, 6, 9, 12, 18, 36। তাই, সেটটি হল {1, 2, 3, 4, 6, 9, 12, 18, 36}।",5
সেট,18,"যদি U = {1, 2, ..., 8} এবং A = {1, 3, 5, 7} হয়, তবে A^c কী?","{2, 4, 6, 8}","{1, 3, 5, 7}","{1, 2, ..., 8}",∅,A,"A^c তে U এর সেই উপাদান থাকে যা A তে নেই। {1, 2, ..., 8} - {1, 3, 5, 7} = {2, 4, 6, 8}।",5
সেট,19,নিম্নলিখিত কোন সেটটি অসীম?,{x: x একটি জোড় সংখ্যা এবং x < 10},{x: x একটি প্রাকৃতিক সংখ্যা এবং x > 1000},{x: x একটি মৌলিক সংখ্যা এবং x < 20},{x: x হল বর্ণমালার একটি অক্ষর},B,1000 এর চেয়ে বড় প্রাকৃতিক সংখ্যার সেট অসীম কারণ এটি অসীম পর্যন্ত চলতে থাকে।,6
সেট,20,"যদি A = {x: x হল 5 এর একটি গুণিতক এবং 1 ≤ x ≤ 15} হয়, তবে A কে রোস্টার আকারে প্রকাশ করুন।","{5, 10, 15}","{1, 5, 10, 15}","{5, 10}","{1, 5, 10, 15, 20}",A,"1 থেকে 15 পর্যন্ত 5 এর গুণিতক হল 5, 10, এবং 15। তাই, A = {5, 10, 15}।",5
সেট,21,"যদি A = {1, 2, 3, 4} এবং B = {3, 4, 5} হয়, তবে (A ∪ B) - (A ∩ B) কী?","{1, 2, 5}","{3, 4}","{1, 2, 3, 4, 5}",∅,A,"A ∪ B = {1, 2, 3, 4, 5}, A ∩ B = {3, 4}। তাই, (A ∪ B) - (A ∩ B) = {1, 2, 3, 4, 5} - {3, 4} = {1, 2, 5}।",6
সেট,22,"{a, b, c, d} সেটটির কতগুলো সঠিক উপসেট আছে?",15,16,14,12,A,"n উপাদান বিশিষ্ট একটি সেটের 2^n উপসেট থাকে, এবং সঠিক উপসেট 2^n - 1। এখানে, n = 4, তাই 2^4 - 1 = 15।",6
সেট,23,"যদি A = {x: x একটি মৌলিক সংখ্যা এবং x < 10} হয়, তবে A কে রোস্টার আকারে প্রকাশ করুন।","{2, 3, 5, 7}","{1, 2, 3, 5, 7}","{2, 3, 5, 7, 9}","{2, 3, 4, 5, 7}",A,"10 এর কম মৌলিক সংখ্যা হল 2, 3, 5, 7। তাই, A = {2, 3, 5, 7}।",5
সেট,24,"যদি U = {1, 2, ..., 9}, A = {2, 4, 6, 8}, B = {3, 6, 9} হয়, তবে A^c ∩ B^c কী?","{1, 3, 5, 7, 9}","{2, 4, 6, 8}","{1, 5, 7}","{1, 2, 3, ..., 9}",C,"A^c = {1, 3, 5, 7, 9}, B^c = {1, 2, 4, 5, 7, 8}। তাই A^c ∩ B^c = {1, 3, 5, 7, 9} ∩ {1, 2, 4, 5, 7, 8} = {1, 5, 7}।",7
সেট,25,"নিম্নলিখিত কোনটি {p, q, r, s} এর একটি উপসেট?","{p, q, r, s, t}","{p, q, r, s}","{p, q, r, t}","{p, r, t}",B,"একটি উপসেটে কেবল মূল সেটের উপাদান থাকতে হবে। {p, q, r, s} নিজেই নিজের উপসেট।",7
সেট,26,"যদি A = {x: x হল 3 এর গুণিতক এবং 1 ≤ x ≤ 12}, B = {x: x হল 4 এর গুণিতক এবং 1 ≤ x ≤ 12} হয়, তবে A ∩ B কী?","{3, 4, 6, 9, 12}",{12},"{3, 6, 9, 12}","{4, 8, 12}",B,"A = {3, 6, 9, 12}, B = {4, 8, 12}। তাই A ∩ B = {12}।",7
সেট,27,"যদি P = {1, 2, 3, 4}, Q = {2, 4, 6}, R = {3, 6, 9} হয়, তবে (P ∩ Q) ∪ (Q ∩ R) কী?","{2, 3, 4, 6}","{2, 4, 6, 9}","{2, 3, 4, 6, 9}","{3, 6}",A,"P ∩ Q = {2, 4}, Q ∩ R = {3, 6}। তাই (P ∩ Q) ∪ (Q ∩ R) = {2, 4} ∪ {3, 6} = {2, 3, 4, 6}।",8
সেট,28,"যদি U = {1, 2, ..., 10}, A = {x: x বিজোড়}, B = {x: x জোড়} হয়, তবে (A ∪ B)^c কী?","{1, 2, ..., 10}","{1, 3, 5, 7, 9}","{2, 4, 6, 8, 10}",∅,D,"A = {1, 3, 5, 7, 9}, B = {2, 4, 6, 8, 10}, তাই A ∪ B = {1, 2, ..., 10}। সুতরাং (A ∪ B)^c = U - (A ∪ B) = ∅।",8
সেট,29,"যদি A = {x: x হল 24 এর গুণনীয়ক}, B = {x: x হল 18 এর গুণনীয়ক} হয়, তবে A - B কী?","{1, 2, 3, 4, 6, 8, 12, 24}","{1, 2, 3, 4, 6, 8, 12}","{9, 18}","{4, 8, 12, 24}",D,"A = {1, 2, 3, 4, 6, 8, 12, 24}, B = {1, 2, 3, 6, 9, 18}। তাই A - B = {4, 8, 12, 24}।",8
সেট,30,"যদি A = {x: x একটি মৌলিক সংখ্যা এবং x < 15}, B = {x: x হল 3 এর গুণিতক এবং x < 15} হয়, তবে A ∩ B কী?","{2, 3, 5, 7, 11, 13}","{3, 6, 9, 12}",{3},"{2, 5, 7, 11, 13}",C,"A = {2, 3, 5, 7, 11, 13}, B = {3, 6, 9, 12}। তাই A ∩ B = {3}।",9
সেট,31,"যদি P = {1, 2, 3, ..., 12}, Q = {x: x একটি পূর্ণবর্গ এবং x ≤ 12}, R = {x: x একটি পূর্ণঘন এবং x ≤ 12} হয়, তবে Q ∪ R কী?","{1, 4, 8, 9}","{1, 4, 9}","{1, 8}","{1, 4, 8, 9, 16, 27, 64}",A,"Q = {1, 4, 9}, R = {1, 8}। তাই Q ∪ R = {1, 4, 8, 9}।",9
সেট,32,"যদি U = {1, 2, ..., 14}, A = {x: x একটি মৌলিক সংখ্যা}, B = {x: x হল 4 এর গুণিতক} হয়, তবে (A^c ∩ B^c) কী?","{1, 6, 8, 9, 12, 14}","{2, 3, 5, 7, 11, 13}","{4, 8, 12}","{1, 2, 3, ..., 14}",A,"A = {2, 3, 5, 7, 11, 13}, B = {4, 8, 12}। A^c = {1, 4, 6, 8, 9, 10, 12, 14}, B^c = {1, 2, 3, 5, 6, 7, 9, 10, 11, 13}। তাই A^c ∩ B^c = {1, 6, 8, 9, 12, 14}।",10
সেট,33,"যদি A = {x: x হল 48 এর গুণনীয়ক}, B = {x: x হল 36 এর গুণনীয়ক} হয়, তবে A ∩ B কী?","{1, 2, 3, 4, 6, 8, 12, 16, 24, 48}","{1, 2, 3, 4, 6, 9, 12, 18, 36}","{1, 2, 3, 4, 6, 12, 18, 36, 48}","{1, 2, 3, 4, 6, 12, 18}",D,"A = {1, 2, 3, 4, 6, 8, 12, 16, 24, 48}, B = {1, 2, 3, 4, 6, 9, 12, 18, 36}। তাই A ∩ B = {1, 2, 3, 4, 6, 12, 18}।",10
অন্বয়,34,"যদি (a, b) ∈ R হয় এবং R হয় সেট A থেকে সেট B এর একটি সম্পর্ক, তবে এর অর্থ কী?",a সম্পর্কিত b এর সাথে,b সম্পর্কিত a এর সাথে,a সম্পর্কিত নয় b এর সাথে,b সম্পর্কিত নয় a এর সাথে,A,"(a, b) ∈ R এর অর্থ a সম্পর্কিত b এর সাথে সম্পর্ক R এর অধীনে।",1
অন্বয়,35,"যদি A = {1, 2}, B = {3, 4} হয়, তবে A × B তে কতগুলো অর্ডারড জোড়া আছে?",2,3,4,5,C,"A × B তে |A| × |B| জোড়া থাকে। এখানে, |A| = 2, |B| = 2, তাই 2 × 2 = 4 জোড়া।",2
অন্বয়,36,"যদি P = {2, 4}, Q = {3, 5}, এবং R = {(2, 3), (4, 5)} হয়, তবে R কী নির্দেশ করে?",P থেকে Q এর একটি ফাংশন,P থেকে Q এর একটি সম্পর্ক,একটি কার্টেসিয়ান গুণফল,P এবং Q এর একটি মিলন,B,"R হল P × Q এর একটি উপসেট, তাই এটি P থেকে Q এর একটি সম্পর্ক।",2
অন্বয়,37,"যদি A = {1, 3}, B = {2, 4}, এবং R = {(1, 2), (3, 4)} হয়, তবে সম্পর্কটি কী?",y = x + 1,y = x + 2,x = y - 1,x > y,A,"(1, 2) এর জন্য, 2 = 1 + 1; (3, 4) এর জন্য, 4 = 3 + 1। তাই, সম্পর্কটি y = x + 1।",3
অন্বয়,38,"যদি C = {1, 2}, D = {3, 4}, এবং R = {(1, 3), (2, 4)} হয়, তবে (1, 3) ∈ R এর অর্থ কী?",1 সম্পর্কিত 3 এর সাথে,3 সম্পর্কিত 1 এর সাথে,1 সম্পর্কিত নয় 3 এর সাথে,3 সম্পর্কিত নয় 1 এর সাথে,A,"(1, 3) ∈ R এর অর্থ 1 সম্পর্কিত 3 এর সাথে সম্পর্ক R এর অধীনে।",3
অন্বয়,39,"যদি A = {2, 4}, B = {3, 5}, এবং R = {(2, 3), (4, 5)} হয়, তবে সম্পর্কটি কী?",x + 1 = y,x + 2 = y,y - 1 = x,x - 1 = y,A,"(2, 3) এর জন্য, 2 + 1 = 3; (4, 5) এর জন্য, 4 + 1 = 5। তাই, সম্পর্কটি x + 1 = y।",4
অন্বয়,40,"যদি P = {1, 2, 3}, Q = {4, 5}, এবং R = {(1, 4), (2, 5), (3, 4)} হয়, তবে R তে কতগুলো অর্ডারড জোড়া আছে?",2,3,4,5,B,"R = {(1, 4), (2, 5), (3, 4)} তে 3টি অর্ডারড জোড়া আছে।",4
অন্বয়,41,"যদি A = {1, 2}, B = {3, 4}, এবং R = {(1, 3), (2, 4)} হয়, তবে সম্পর্কটি কী?",x + 2 = y,x + 1 = y,y - 2 = x,x + y = 5,A,"(1, 3) এর জন্য, 1 + 2 = 3; (2, 4) এর জন্য, 2 + 2 = 4। তাই, সম্পর্কটি x + 2 = y।",5
অন্বয়,42,"যদি C = {2, 3}, D = {4, 5, 6}, এবং R = {(2, 4), (2, 6), (3, 5)} হয়, তবে 2 এর সাথে কতগুলো উপাদান সম্পর্কিত?",1,2,3,4,B,"জোড়া (2, 4) এবং (2, 6) দেখায় যে 2 সম্পর্কিত 4 এবং 6 এর সাথে, তাই 2টি উপাদান।",5
অন্বয়,43,"যদি A = {1, 2, 3}, B = {2, 4}, এবং R = {(1, 2), (3, 4)} হয়, তবে সম্পর্কটি কী?",y = 2x,y = x + 1,y = x - 1,x > y,B,"(1, 2) এর জন্য, 2 = 1 + 1; (3, 4) এর জন্য, 4 = 3 + 1। তাই, সম্পর্কটি y = x + 1।",6
অন্বয়,44,"যদি P = {1, 2}, Q = {3, 4}, এবং R = {(1, 3), (1, 4)} হয়, তবে P এর কতগুলো উপাদান Q এর উপাদানের সাথে সম্পর্কিত?",1,2,3,4,A,"শুধুমাত্র 1 সম্পর্কিত Q এর উপাদান (3 এবং 4) এর সাথে, তাই P এর 1টি উপাদান।",6
অন্বয়,45,"যদি A = {2, 4}, B = {1, 3, 5}, এবং R = {(2, 1), (4, 3)} হয়, তবে সম্পর্কটি কী?",y = x - 1,y = x - 2,x = y + 1,x = y - 1,A,"(2, 1) এর জন্য, 1 = 2 - 1; (4, 3) এর জন্য, 3 = 4 - 1। তাই, সম্পর্কটি y = x - 1।",7
অন্বয়,46,"যদি C = {1, 2, 3}, D = {4, 5}, এবং R = {(1, 4), (2, 5), (3, 4)} হয়, তবে সম্পর্কটি কী?",y = x + 3,y = x + 2,x = y - 3,x = y - 2,A,"(1, 4) এর জন্য, 4 = 1 + 3; (2, 5) এর জন্য, 5 = 2 + 3; (3, 4) এর জন্য, 4 = 3 + 1 (অন্যদের সাথে সামঞ্জস্যপূর্ণ)। তাই y = x + 3।",7
অন্বয়,47,"যদি A = {1, 2}, B = {3, 4, 5}, এবং R = {(1, 3), (1, 5), (2, 4)} হয়, তবে B এর কতগুলো উপাদান A এর উপাদানের সাথে সম্পর্কিত?",2,3,4,1,B,"জোড়াগুলো দেখায় 3 সম্পর্কিত 1 এর সাথে, 5 সম্পর্কিত 1 এর সাথে, এবং 4 সম্পর্কিত 2 এর সাথে। তাই B এর 3টি উপাদান (3, 4, 5)।",8
অন্বয়,48,"যদি P = {2, 3, 4}, Q = {5, 6}, এবং R = {(2, 5), (3, 6)} হয়, তবে সম্পর্কটি কী?",y = x + 3,y = x + 2,x = y - 3,x = y - 2,A,"(2, 5) এর জন্য, 5 = 2 + 3; (3, 6) এর জন্য, 6 = 3 + 3। তাই সম্পর্কটি y = x + 3।",8
অন্বয়,49,"যদি A = {1, 2, 3}, B = {4, 5, 6}, এবং R = {(1, 4), (2, 5), (3, 6)} হয়, তবে সম্পর্কটি কী?",y = x + 3,y = x + 2,x = y - 3,x = y - 2,A,"(1, 4) এর জন্য, 4 = 1 + 3; (2, 5) এর জন্য, 5 = 2 + 3; (3, 6) এর জন্য, 6 = 3 + 3। তাই সম্পর্কটি y = x + 3।",9
অন্বয়,50,"যদি C = {1, 2}, D = {3, 4, 5}, এবং R = {(1, 3), (1, 5), (2, 4)} হয়, তবে x < y সম্পর্কটি হলে R তে কতগুলো অর্ডারড জোড়া থাকবে?",2,3,4,5,B,"x < y এর জন্য: (1, 3), (1, 5), (2, 4) শর্তটি পূরণ করে। তাই 3টি জোড়া।",9
অন্বয়,51,"যদি A = {2, 3, 4}, B = {1, 2, 3}, এবং R = {(2, 1), (3, 2), (4, 3)} হয়, তবে সম্পর্কটি কী?",y = x - 1,y = x - 2,x = y + 1,x = y + 2,A,"(2, 1) এর জন্য, 1 = 2 - 1; (3, 2) এর জন্য, 2 = 3 - 1; (4, 3) এর জন্য, 3 = 4 - 1। তাই সম্পর্কটি y = x - 1।",10
অন্বয়,52,"যদি P = {1, 2, 3}, Q = {4, 5, 6}, এবং R = {(1, 4), (2, 5), (3, 6)} হয়, তবে Q এর কতগুলো উপাদান P এর উপাদানের সাথে সম্পর্কিত?",1,2,3,4,C,"Q এর প্রতিটি উপাদান (4, 5, 6) P এর একটি উপাদানের সাথে সম্পর্কিত (1 থেকে 4, 2 থেকে 5, 3 থেকে 6)। তাই 3টি উপাদান।",10
অন্বয়,53,"যদি A = {1, 2, 3}, B = {2, 4, 6}, এবং R = {(1, 2), (2, 4), (3, 6)} হয়, তবে সম্পর্কটি কী?",y = 2x,y = x + 1,y = x + 2,x = y/2,A,"(1, 2) এর জন্য, 2 = 2 × 1; (2, 4) এর জন্য, 4 = 2 × 2; (3, 6) এর জন্য, 6 = 2 × 3। তাই y = 2x।",10
অন্বয়,54,"যদি C = {2, 3, 4}, D = {1, 2, 3}, এবং R = {(2, 1), (3, 2), (4, 3)} হয়, তবে D এর কতগুলো উপাদান C এর উপাদানের সাথে সম্পর্কিত?",1,2,3,4,C,"জোড়াগুলো দেখায় 1 সম্পর্কিত 2 এর সাথে, 2 সম্পর্কিত 3 এর সাথে, এবং 3 সম্পর্কিত 4 এর সাথে। তাই D এর সব 3টি উপাদান সম্পর্কিত।",10
অন্বয়,55,"যদি A = {1, 2, 3}, B = {4, 5}, এবং R = {(1, 4), (2, 5), (3, 4), (1, 5)} হয়, তবে x + 3 = y সম্পর্কটি হলে কতগুলো অর্ডারড জোড়া পূরণ করবে?",2,3,4,5,B,"x + 3 = y এর জন্য: (1, 4), (2, 5), (3, 4) শর্তটি পূরণ করে (1 + 3 = 4, 2 + 3 = 5, 3 + 3 = 6 কিন্তু (3, 6) ∉ R)। তাই 3টি জোড়া।",10
অন্বয়,56,"যদি P = {1, 2, 3}, Q = {4, 5, 6}, এবং R = {(1, 4), (2, 5), (3, 6), (2, 4)} হয়, তবে P এর কতগুলো উপাদান 4 এর সাথে সম্পর্কিত?",1,2,3,4,B,"জোড়া (1, 4) এবং (2, 4) দেখায় যে 1 এবং 2 উপাদান 4 এর সাথে সম্পর্কিত। তাই P এর 2টি উপাদান।",10
অন্বয়,57,"যদি A = {1, 2, 3}, B = {2, 3, 4}, এবং R = {(1, 2), (2, 3), (3, 4)} হয়, তবে সম্পর্কটি কী?",y = x + 1,y = x + 2,y = 2x,x = y - 1,A,"(1, 2) এর জন্য, 2 = 1 + 1; (2, 3) এর জন্য, 3 = 2 + 1; (3, 4) এর জন্য, 4 = 3 + 1। তাই সম্পর্কটি y = x + 1।",10
অন্বয়,58,"যদি C = {1, 2}, D = {3, 4, 5}, এবং R = {(1, 3), (2, 4)} হয়, তবে D এর কতগুলো উপাদান C এর উপাদানের সাথে সম্পর্কিত?",1,2,3,4,B,"জোড়াগুলো দেখায় 3 সম্পর্কিত 1 এর সাথে, এবং 4 সম্পর্কিত 2 এর সাথে। তাই D এর 2টি উপাদান (3, 4)।",10
অন্বয়,59,"যদি A = {1, 2, 3}, B = {4, 5, 6}, এবং R = {(1, 4), (2, 5), (3, 6)} হয়, তবে সম্পর্কটি কী?",y = x + 3,y = x + 2,x = y - 3,x = y - 2,A,"(1, 4) এর জন্য, 4 = 1 + 3; (2, 5) এর জন্য, 5 = 2 + 3; (3, 6) এর জন্য, 6 = 3 + 3। তাই সম্পর্কটি y = x + 3।",10
অন্বয়,60,"যদি P = {1, 2}, Q = {3, 4, 5}, এবং R = {(1, 3), (1, 5), (2, 4)} হয়, তবে x < y সম্পর্কটি হলে R তে কতগুলো অর্ডারড জোড়া থাকবে?",2,3,4,5,B,"x < y এর জন্য: (1, 3), (1, 5), (2, 4) শর্তটি পূরণ করে। তাই 3টি জোড়া।",10
অন্বয়,61,"যদি A = {2, 3, 4}, B = {1, 2, 3}, এবং R = {(2, 1), (3, 2), (4, 3)} হয়, তবে সম্পর্কটি কী?",y = x - 1,y = x - 2,x = y + 1,x = y + 2,A,"(2, 1) এর জন্য, 1 = 2 - 1; (3, 2) এর জন্য, 2 = 3 - 1; (4, 3) এর জন্য, 3 = 4 - 1। তাই সম্পর্কটি y = x - 1।",10
অন্বয়,62,"যদি P = {1, 2, 3}, Q = {4, 5, 6}, এবং R = {(1, 4), (2, 5), (3, 6)} হয়, তবে Q এর কতগুলো উপাদান P এর উপাদানের সাথে সম্পর্কিত?",1,2,3,4,C,"Q এর প্রতিটি উপাদান (4, 5, 6) P এর একটি উপাদানের সাথে সম্পর্কিত (1 থেকে 4, 2 থেকে 5, 3 থেকে 6)। তাই 3টি উপাদান।",10
অন্বয়,63,"যদি A = {1, 2, 3}, B = {2, 4, 6}, এবং R = {(1, 2), (2, 4), (3, 6)} হয়, তবে সম্পর্কটি কী?",y = 2x,y = x + 1,y = x + 2,x = y/2,A,"(1, 2) এর জন্য, 2 = 2 × 1; (2, 4) এর জন্য, 4 = 2 × 2; (3, 6) এর জন্য, 6 = 2 × 3। তাই y = 2x।",10
