Subtopic ,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
জ্যামিতি ও ত্রিকোণমিতিতে কোণ,1,১৫০° কোণটি কোন চতুর্থাংশে অবস্থিত?,প্রথম,দ্বিতীয়,তৃতীয়,চতুর্থ,B,১৫০° = ৯০° + ৬০°; ঘড়ির কাটার বিপরীত দিকে ঘুরলে দ্বিতীয় চতুর্থাংশে পড়ে।,1
জ্যামিতি ও ত্রিকোণমিতিতে কোণ,2,৪৫০° কোণটি কোন চতুর্থাংশে অবস্থিত?,প্রথম,দ্বিতীয়,তৃতীয়,চতুর্থ,A,৪৫০° = ৩৬০° + ৯০°; পূর্ণ ঘূর্ণনের পর প্রথম চতুর্থাংশে পড়ে।,2
জ্যামিতি ও ত্রিকোণমিতিতে কোণ,3,-২৭০° কোণটি কোন চতুর্থাংশে অবস্থিত?,প্রথম,দ্বিতীয়,তৃতীয়,চতুর্থ,C,-২৭০° ঘড়ির কাটার দিকে ঘুরলে তৃতীয় চতুর্থাংশে পড়ে।,3
জ্যামিতি ও ত্রিকোণমিতিতে কোণ,4,৭৫° ৩০' কোণটি রেডিয়ানে কত?,(5π/12) rad,(4π/9) rad,(7π/18) rad,(3π/8) rad,A,75.5° = 75.5 × π/180 = 5π/12 rad।,4
জ্যামিতি ও ত্রিকোণমিতিতে কোণ,5,১ রেডিয়ান কত ডিগ্রিতে সমান?,57° 17' 45'',60° 15' 30'',55° 20' 10'',58° 10' 50'',A,1 rad = 180/π ≈ 57.29578° ≈ 57° 17' 45''।,5
জ্যামিতি ও ত্রিকোণমিতিতে কোণ,6,৬০° ৪৫' কোণটি রেডিয়ানে কত?,(121π/360) rad,(61π/180) rad,(31π/90) rad,(2π/3) rad,B,60.75° = 60.75 × π/180 = 61π/180 rad।,6
জ্যামিতি ও ত্রিকোণমিতিতে কোণ,7,-৫৪০° কোণটি কোন চতুর্থাংশে অবস্থিত?,প্রথম,দ্বিতীয়,তৃতীয়,চতুর্থ,A,-৫৪০° = -২ × ৩৬০°; ঘড়ির কাটার দিকে পূর্ণ ঘূর্ণনের পর প্রথম চতুর্থাংশ।,7
জ্যামিতি ও ত্রিকোণমিতিতে কোণ,8,একটি বৃত্তের ব্যাসার্ধ ৭ সে.মি.; ১১ সে.মি. চাপ কেন্দ্রে কত রেডিয়ান কোণ উৎপন্ন করে?,11/7 rad,7/11 rad,π/7 rad,11π/7 rad,A,s = rθ; θ = s/r = 11/7 rad।,8
জ্যামিতি ও ত্রিকোণমিতিতে কোণ,9,পৃথিবীর ব্যাসার্ধ ৬৪৪০ কি.মি.; ৫° চাপ কেন্দ্রে কত কি.মি. দূরত্ব উৎপন্ন করে?,561.2 কি.মি.,224.8 কি.মি.,112.4 কি.মি.,448.6 কি.মি.,B,s = rθ = 6440 × 5 × π/180 ≈ 224.8 কি.মি.।,9
জ্যামিতি ও ত্রিকোণমিতিতে কোণ,10,একটি চাকার ব্যাসার্ধ ০.৪২ মি.; ১০০০ বিপ্লবে কত দূরত্ব অতিক্রম করে?,২৬৪০ মি.,১৩২০ মি.,৫২৮০ মি.,৮৮০ মি.,A,পরিধি = 2π × 0.42; 1000 × 2π × 0.42 ≈ 2640 মি.।,10
জ্যামিতি ও ত্রিকোণমিতিতে কোণ,11,৩১৫° কোণটি কোন চতুর্থাংশে অবস্থিত?,প্রথম,দ্বিতীয়,তৃতীয়,চতুর্থ,D,৩১৫° = ৩৬০° - ৪৫°; ঘড়ির কাটার বিপরীত দিকে চতুর্থ চতুর্থাংশে।,1
জ্যামিতি ও ত্রিকোণমিতিতে কোণ,12,-১৮০° কোণটি কোন চতুর্থাংশে অবস্থিত?,প্রথম,দ্বিতীয়,তৃতীয়,চতুর্থ,B,-১৮০° ঘড়ির কাটার দিকে দ্বিতীয় চতুর্থাংশে পড়ে।,2
জ্যামিতি ও ত্রিকোণমিতিতে কোণ,13,৪৫° ১৫' কোণটি রেডিয়ানে কত?,(181π/720) rad,(91π/360) rad,(45π/180) rad,(15π/60) rad,B,45.25° = 45.25 × π/180 = 91π/360 rad।,3
ত্রিকোণমিতিক অনুপাত,14,যদি sin θ = 3/5 হয় তবে cos θ কত?,4/5,3/5,√5/3,4/3,A,sin²θ + cos²θ = 1; cos θ = √(1 - 9/25) = 4/5।,1
ত্রিকোণমিতিক অনুপাত,15,যদি tan θ = 1 হয় তবে sin θ কত?,1/√2,1/2,√2,1/3,A,tan θ = sin θ/cos θ = 1; sin θ = cos θ; sin²θ = 1/2।,2
ত্রিকোণমিতিক অনুপাত,16,যদি cosec θ = 2 হয় তবে cot θ কত?,√3,1/√3,1,√2,C,cosec²θ = 1 + cot²θ; cot²θ = 4 - 1 = 3; cot θ = 1।,3
ত্রিকোণমিতিক অনুপাত,17,যদি sec θ = 5/3 হয় তবে sin θ কত?,3/5,4/5,3/4,4/3,B,sec θ = 1/cos θ; cos θ = 3/5; sin θ = √(1 - 9/25) = 4/5।,4
ত্রিকোণমিতিক অনুপাত,18,যদি cos θ = 1/2 এবং sin θ ধনাত্মক হয় তবে tan θ কত?,√3,1/√3,1,√2,A,cos θ = 1/2; sin θ = √3/2; tan θ = sin θ/cos θ = √3।,5
ত্রিকোণমিতিক অনুপাত,19,যদি tan θ = 3/4 এবং cos θ ঋণাত্মক হয় তবে sin θ কত?,-3/5,3/5,-4/5,4/5,A,tan θ = 3/4; r = √(3² + 4²) = 5; sin θ = -3/5 (তৃতীয় চতুর্থাংশ)।,6
ত্রিকোণমিতিক অনুপাত,20,sin²θ + cos²θ এর মান কত?,0,1,√2,2,B,sin²θ + cos²θ = 1; এটি ত্রিকোণমিতিক পরিচয়।,7
ত্রিকোণমিতিক অনুপাত,21,যদি cosec θ = 13/5 হয় তবে tan θ কত?,5/12,12/5,5/13,12/13,A,cosec θ = 13/5; sin θ = 5/13; cos θ = 12/13; tan θ = 5/12।,8
