Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
অসমতার ধারণা,1,যদি a > b এবং c > 0 হয় তবে নিচের কোনটি সত্য?,ac > bc,ac < bc,a/c > b/c,কোনটিই নয়,A,c > 0 হলে গুণে অসমতার দিক অপরিবর্তিত; ac > bc।,1
অসমতার ধারণা,2,যদি a < b হয় তবে কোনটি সঠিক?,b < a,a > b,b > a,কোনটিই নয়,C,অসমতার নিয়মে; a < b হলে b > a।,1
অসমতার ধারণা,3,যদি a > b এবং c < 0 হয় তবে কোনটি সত্য?,a/c > b/c,a/c < b/c,ac > bc,কোনটিই নয়,B,c < 0 হলে ভাগে অসমতার দিক উল্টে যায়।,2
অসমতার ধারণা,4,যদি a ≥ b হয় তবে কোনটি সঠিক?,a < b,a = b,a > b,উভয় b এবং c,D,a ≥ b মানে a = b বা a > b।,2
অসমতার ধারণা,5,যদি a < b < c হয় তবে কোনটি সত্য?,c < a,a < c,b > c,কোনটিই নয়,B,ট্রানজিটিভ নিয়মে; a < b এবং b < c হলে a < c।,3
অসমতার ধারণা,6,যদি a > b এবং d > 0 হয় তবে কোনটি সত্য?,a/d < b/d,ad < bd,a/d > b/d,কোনটিই নয়,C,d > 0 হলে ভাগে অসমতার দিক অপরিবর্তিত।,3
অসমতার ধারণা,7,যদি a < b এবং c < 0 হয় তবে কোনটি সঠিক?,ac > bc,ac < bc,a/c < b/c,কোনটিই নয়,A,c < 0 হলে গুণে অসমতার দিক উল্টে যায়।,4
অসমতার ধারণা,8,যদি a ≤ b এবং b ≤ a হয় তবে কোনটি সত্য?,a = b,a > b,a < b,কোনটিই নয়,A,a ≤ b এবং b ≤ a হলে a = b।,4
অসমতার ধারণা,9,যদি a > b > c হয় তবে কোনটি সত্য?,a < c,a > c,c > b,কোনটিই নয়,B,ট্রানজিটিভ নিয়মে; a > b এবং b > c হলে a > c।,5
অসমতার ধারণা,10,যদি a < b এবং c < d < 0 হয় তবে কোনটি সত্য?,a/c > b/c,a/c < b/c,ac < bc,কোনটিই নয়,A,c < 0 হলে ভাগে অসমতার দিক উল্টে যায়।,5
এক চলকবিশিষ্ট রৈখিক অসমতার সমাধান,11,x + 4 < 8 সমাধান করুন।,x < 4,x > 4,x ≤ 4,x ≥ 4,A,x < 4; সমাধান সঠিক।,1
এক চলকবিশিষ্ট রৈখিক অসমতার সমাধান,12,3x > 9 সমাধান করুন।,x > 3,x < 3,x ≥ 3,x ≤ 3,A,3x > 9; x > 3।,1
এক চলকবিশিষ্ট রৈখিক অসমতার সমাধান,13,2x - 6 ≤ 0 সমাধান করুন।,x ≤ 3,x ≥ 3,x < 3,x > 3,A,2x ≤ 6; x ≤ 3।,2
এক চলকবিশিষ্ট রৈখিক অসমতার সমাধান,14,-x + 2 > 1 সমাধান করুন।,x < 1,x > 1,x ≤ 1,x ≥ 1,A,-x > -1; x < 1।,2
এক চলকবিশিষ্ট রৈখিক অসমতার সমাধান,15,5x + 10 < 20 সমাধান করুন।,x < 2,x > 2,x ≤ 2,x ≥ 2,A,5x < 10; x < 2।,3
এক চলকবিশিষ্ট রৈখিক অসমতার সমাধান,16,3(x - 1) ≥ 6 সমাধান করুন।,x ≥ 3,x ≤ 3,x > 3,x < 3,A,3x - 3 ≥ 6; x ≥ 3।,3
এক চলকবিশিষ্ট রৈখিক অসমতার সমাধান,17,x/4 + 1 < 3 সমাধান করুন।,x < 8,x > 8,x ≤ 8,x ≥ 8,A,x/4 < 2; x < 8।,4
এক চলকবিশিষ্ট রৈখিক অসমতার সমাধান,18,-2x + 4 ≤ 0 সমাধান করুন।,x ≥ 2,x ≤ 2,x > 2,x < 2,A,-2x ≤ -4; x ≥ 2।,4
এক চলকবিশিষ্ট রৈখিক অসমতার সমাধান,19,4x - 3 > x + 6 সমাধান করুন।,x > 3,x < 3,x ≥ 3,x ≤ 3,A,3x > 9; x > 3।,5
এক চলকবিশিষ্ট রৈখিক অসমতার সমাধান,20,2(x + 2) < x + 5 সমাধান করুন।,x < 1,x > 1,x ≤ 1,x ≥ 1,A,2x + 4 < x + 5; x < 1।,5
অসমতার ব্যবহার,21,একটি পরীক্ষায় x নম্বর পাওয়া গেছে; 0 ≤ x ≤ 100। নিচের কোনটি সঠিক?,x < 0,x > 100,0 < x < 100,0 ≤ x ≤ 100,D,নম্বর 0 থেকে 100 এর মধ্যে।,1
অসমতার ব্যবহার,22,x টি পেন্সিল ৬ টাকায় কেনা; মোট খরচ ≤ ৩০। x এর মান কী?,x ≤ 5,x ≥ 5,x < 5,x > 5,A,6x ≤ 30; x ≤ 5।,1
অসমতার ব্যবহার,23,একটি গাড়ির বেগ x কিমি/ঘণ্টা; x ≤ ৫০। নিচের কোনটি সঠিক?,x > 50,x < 50,x ≥ 50,x ≤ 50,D,বেগ ৫০ কিমি/ঘণ্টার বেশি নয়।,2
অসমতার ব্যবহার,24,x কেজি চাল ৫০ টাকা/কেজি; মোট খরচ < ২৫০। x এর মান কী?,x < 5,x > 5,x ≤ 5,x ≥ 5,A,50x < 250; x < 5।,2
অসমতার ব্যবহার,25,একটি ছাত্র x ঘণ্টা পড়ে; 1 < x < 4। নিচের কোনটি সঠিক?,x ≤ 1,x ≥ 4,1 ≤ x ≤ 4,1 < x < 4,D,পড়ার সময় ১ থেকে ৪ ঘণ্টার মধ্যে।,3
অসমতার ব্যবহার,26,একটি বইয়ের দাম x টাকা; ৬০ ≤ x ≤ ১২০। নিচের কোনটি সঠিক?,x < 60,x > 120,60 < x < 120,60 ≤ x ≤ 120,D,দাম ৬০ থেকে ১২০ টাকার মধ্যে।,3
অসমতার ব্যবহার,27,একটি বাস x কিমি চলে; ১৫০ < x < ৩০০। নিচের কোনটি সঠিক?,x ≤ 150,x ≥ 300,150 ≤ x ≤ 300,150 < x < 300,D,দূরত্ব ১৫০ থেকে ৩০০ কিমির মধ্যে।,4
অসমতার ব্যবহার,28,x টি টিকিট ২৫ টাকা; মোট খরচ ≤ ১৫০। x এর মান কী?,x ≤ 6,x ≥ 6,x < 6,x > 6,A,25x ≤ 150; x ≤ 6।,4
অসমতার ব্যবহার,29,একটি ছাত্র x নম্বর পেয়েছে; ৫০ ≤ x < ৯০। নিচের কোনটি সঠিক?,x < 50,x ≥ 90,50 < x < 90,50 ≤ x < 90,D,নম্বর ৫০ থেকে ৯০ এর মধ্যে।,5
