Subtopic,Question number ,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty Level
"ভূ-রেখা, উর্ধ্বরেখা এবং উলম্ব তল",1,ভূ-রেখা কী?,সমান্তরাল রেখা,অনুভূমিক রেখা,উল্লম্ব রেখা,তির্যক রেখা,B,ভূ-রেখা হলো অনুভূমিক রেখা যা ভূমির সমান্তরাল হয়।,1
"ভূ-রেখা, উর্ধ্বরেখা এবং উলম্ব তল",2,উর্ধ্বরেখা কী?,ভূমির সমান্তরাল রেখা,অনুভূমিক রেখা,উল্লম্ব রেখা,বক্র রেখা,C,উর্ধ্বরেখা হলো উল্লম্ব রেখা যা ভূমির সাথে লম্বভাবে অবস্থিত।,1
"ভূ-রেখা, উর্ধ্বরেখা এবং উলম্ব তল",3,উলম্ব তল কী?,সমতল যা ভূমির সমান্তরাল,সমতল যা ভূমির সাথে লম্ব,সমতল যা তির্যকভাবে অবস্থিত,সমতল যা বক্র,B,উলম্ব তল হলো সমতল যা ভূমির সাথে লম্বভাবে অবস্থিত।,2
"ভূ-রেখা, উর্ধ্বরেখা এবং উলম্ব তল",4,কোনটি ভূ-রেখার উদাহরণ?,দরজার কাঠামো,সিঁড়ির ধাপ,অফিসের টেবিলের পৃষ্ঠ,দেয়ালের প্রান্ত,C,অফিসের টেবিলের পৃষ্ঠ ভূ-রেখার উদাহরণ কারণ এটি অনুভূমিক।,1
"ভূ-রেখা, উর্ধ্বরেখা এবং উলম্ব তল",5,কোনটি উর্ধ্বরেখার উদাহরণ?,বইয়ের পাতা,ল্যাম্পপোস্ট,ফুটবল মাঠ,ছাদের প্রান্ত,B,ল্যাম্পপোস্ট উর্ধ্বরেখার উদাহরণ কারণ এটি উল্লম্ব।,1
"ভূ-রেখা, উর্ধ্বরেখা এবং উলম্ব তল",6,উলম্ব তলের উদাহরণ কোনটি?,মেঝে,দেয়াল,টেবিলের পৃষ্ঠ,ছাদের ঢাল,B,দেয়াল উলম্ব তলের উদাহরণ কারণ এটি ভূমির সাথে লম্ব।,2
"ভূ-রেখা, উর্ধ্বরেখা এবং উলম্ব তল",7,ভূ-রেখা এবং উর্ধ্বরেখার মধ্যে কোণ কত?,০ ডিগ্রি,৯০ ডিগ্রি,১৮০ ডিগ্রি,৪৫ ডিগ্রি,B,ভূ-রেখা এবং উর্ধ্বরেখার মধ্যে কোণ ৯০ ডিগ্রি।,2
"ভূ-রেখা, উর্ধ্বরেখা এবং উলম্ব তল",8,উলম্ব তল এবং ভূ-রেখার মধ্যে সম্পর্ক কী?,সমান্তরাল,লম্ব,তির্যক,অনিশ্চিত,B,উলম্ব তল এবং ভূ-রেখা পরস্পর লম্ব।,2
"ভূ-রেখা, উর্ধ্বরেখা এবং উলম্ব তল",9,দুটি উলম্ব তলের মধ্যে কোণ কত হতে পারে?,০ ডিগ্রি,৯০ ডিগ্রি,১৮০ ডিগ্রি,যেকোনো কোণ,D,দুটি উলম্ব তলের মধ্যে কোণ যেকোনো হতে পারে।,3
"ভূ-রেখা, উর্ধ্বরেখা এবং উলম্ব তল",10,কোনটি অনুভূমিক রেখার বৈশিষ্ট্য?,ভূমির সাথে লম্ব,ভূমির সমান্তরাল,তির্যকভাবে অবস্থিত,বক্র,B,অনুভূমিক রেখা ভূমির সমান্তরাল হয়।,1
"ভূ-রেখা, উর্ধ্বরেখা এবং উলম্ব তল",11,কোনটি উল্লম্ব রেখার বৈশিষ্ট্য?,ভূমির সমান্তরাল,ভূমির সাথে লম্ব,তির্যকভাবে অবস্থিত,বক্র,B,উল্লম্ব রেখা ভূমির সাথে লম্ব হয়।,1
