Subtopic,QuestionNumber,Question, OptionA,  OptionB, Option C,  Option D,CorrectAnswer,Explanation,Difficulty
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,1,একটি ত্রিভুজের ভূমি ৮ সেমি এবং উচ্চতা ৬ সেমি। ত্রিভুজটির ক্ষেত্রফল কত বর্গ সেমি?,24,28,32,48, A,ত্রিভুজের ক্ষেত্রফল = ½ × ভূমি × উচ্চতা = ½ × ৮ × ৬ = ৪ × ৬ = ২৪ বর্গ সেমি।   A সঠিক।,1
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,2,একটি ত্রিভুজের ভূমি ১০ সেমি এবং ক্ষেত্রফল ৩০ বর্গ সেমি। ত্রিভুজটির উচ্চতা কত সেমি?,3,6,9,12, B,"ক্ষেত্রফল = ½ × ভূমি × উচ্চতা। তাই, ৩০ = ½ × ১০ × উচ্চতা ⇒ ৩০ = ৫ × উচ্চতা ⇒ উচ্চতা = ৩০/৫ = ৬ সেমি।   B সঠিক।",1
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,3,একটি ত্রিভুজের উচ্চতা ৫ সেমি এবং ক্ষেত্রফল ২০ বর্গ সেমি। ত্রিভুজটির ভূমি কত সেমি?,4,8,10,12, B,"ক্ষেত্রফল = ½ × ভূমি × উচ্চতা। তাই, ২০ = ½ × ভূমি × ৫ ⇒ ২০ = ২.৫ × ভূমি ⇒ ভূমি = ২০/২.৫ = ৮ সেমি।   B সঠিক।",1
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,4,একটি ত্রিভুজের ভূমি ১২ সেমি এবং উচ্চতা ৭ সেমি। ত্রিভুজটির ক্ষেত্রফল কত বর্গ সেমি?,42,48,84,96, A,ক্ষেত্রফল = ½ × ভূমি × উচ্চতা = ½ × ১২ × ৭ = ৬ × ৭ = ৪২ বর্গ সেমি।   A সঠিক।,2
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,5,একটি সমবাহু ত্রিভুজের বাহুর দৈর্ঘ্য ৬ সেমি। ত্রিভুজটির ক্ষেত্রফল কত বর্গ সেমি?,9√3,12√3,15√3,18√3, A,সমবাহু ত্রিভুজের ক্ষেত্রফল = (√3/4) × বাহু² = (√3/4) × ৬² = (√3/4) × ৩৬ = ৯√৩ বর্গ সেমি।   A সঠিক।,2
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,6,একটি ত্রিভুজের ক্ষেত্রফল ৪৫ বর্গ সেমি এবং ভূমি ১৫ সেমি। উচ্চতা কত সেমি?,3,6,9,12, B,"ক্ষেত্রফল = ½ × ভূমি × উচ্চতা। তাই, ৪৫ = ½ × ১৫ × উচ্চতা ⇒ ৪৫ = ৭.৫ × উচ্চতা ⇒ উচ্চতা = ৪৫/৭.৫ = ৬ সেমি।   B সঠিক।",2
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,7,একটি ত্রিভুজের ভূমি ১০ সেমি এবং উচ্চতা ৮ সেমি। ক্ষেত্রফল বর্গ মিটারে কত?,0.004,0.008,0.012,0.016, A,ক্ষেত্রফল = ½ × ১০ × ৮ = ৪০ বর্গ সেমি = ৪০/১০০০০ বর্গ মিটার = ০.০০৪ বর্গ মিটার।   A সঠিক।,3
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,8,একটি ত্রিভুজের দুটি বাহু ৫ সেমি ও ১২ সেমি এবং তাদের মধ্যবর্তী কোণ ৯০°। ক্ষেত্রফল কত বর্গ সেমি?,30,36,48,60, A,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ = ½ × ৫ × ১২ = ৩০ বর্গ সেমি।   A সঠিক।,3
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,9,একটি সমবাহু ত্রিভুজের ক্ষেত্রফল ১৬√৩ বর্গ সেমি। বাহুর দৈর্ঘ্য কত সেমি?,6,8,10,12, B,"ক্ষেত্রফল = (√3/4) × বাহু²। তাই, ১৬√৩ = (√3/4) × বাহু² ⇒ বাহু² = ১৬√৩ × ৪/√৩ = ৬৪ ⇒ বাহু = √৬৪ = ৮ সেমি।   B সঠিক।",3
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,10,"একটি ত্রিভুজের তিনটি বাহু ৩ সেমি, ৪ সেমি, এবং ৫ সেমি। ক্ষেত্রফল কত বর্গ সেমি?",6,8,10,12, A,"হেরনের সূত্র: s = (3+4+5)/2 = ৬। ক্ষেত্রফল = √[৬(৬-৩)(৬-৪)(৬-৫)] = √[৬×৩×২×১] = √৩৬ = ৬ বর্গ সেমি। যাচাই: সমকোণী ত্রিভুজ (৩²+৪²=৫²), ক্ষেত্রফল = ½ × ৩ × ৪ = ৬।   A সঠিক।",4
ত্রিভুজক্ষেত্রের ক্ষেত্রফল,11,একটি ত্রিভুজের দুটি বাহু ৬ সেমি ও ৮ সেমি এবং তাদের মধ্যবর্তী কোণ ৬০°। ক্ষেত্রফল কত বর্গ সেমি?,12√3,18√3,24√3,30√3, A,ক্ষেত্রফল = ½ × বাহু₁ × বাহু₂ × sin(কোণ) = ½ × ৬ × ৮ × sin(৬০°) = ½ × ৬ × ৮ × (√3/2) = ২৪ × √৩/২ = ১২√৩ বর্গ সেমি।   A সঠিক।,4
