Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
সূচকীয় সমীকরণ,9,2^(x+1) = 8 এর সমাধান কী?,x = 3,x = 2,x = 4,x = 1,B,8 = 2³; তাই x + 1 = 3; x = 2। যাচাই: 2^(2+1) = 8।,1
সূচকীয় সমীকরণ,10,3^x = 27 এর সমাধান কী?,x = 3,x = 2,x = 4,x = 5,A,27 = 3³; তাই x = 3। যাচাই: 3³ = 27।,1
সূচকীয় সমীকরণ,11,4^x = 16 এর সমাধান কী?,x = 1,x = 2,x = 3,x = 4,B,16 = 4²; তাই x = 2। যাচাই: 4² = 16।,1
সূচকীয় সমীকরণ,12,5^x = 25 এর সমাধান কী?,x = 2,x = 3,x = 1,x = 4,A,25 = 5²; তাই x = 2। যাচাই: 5² = 25।,1
সূচকীয় সমীকরণ,24,2^(x+2) = 16 এর সমাধান কী?,x = 4,x = 3,x = 2,x = 1,C,16 = 2⁴; তাই x + 2 = 4; x = 2।,2
সূচকীয় সমীকরণ,25,3^(x-1) = 9 এর সমাধান কী?,x = 3,x = 2,x = 4,x = 1,A,9 = 3²; তাই x - 1 = 2; x = 3।,2
সূচকীয় সমীকরণ,26,5^(x+1) = 125 এর সমাধান কী?,x = 3,x = 2,x = 1,x = 4,B,125 = 5³; তাই x + 1 = 3; x = 2।,2
সূচকীয় সমীকরণ,27,4^(x-1) = 64 এর সমাধান কী?,x = 2,x = 3,x = 4,x = 5,C,64 = 4³; তাই x - 1 = 3; x = 4।,2
সূচকীয় সমীকরণ,39,2^(2x-1) = 8 এর সমাধান কী?,x = 4,x = 3,x = 5,x = 2,A,8 = 2³; x - 1 = 3; x = 4।,3
সূচকীয় সমীকরণ,40,3^(x+2) = 81 এর সমাধান কী?,x = 4,x = 3,x = 2,x = 5,C,81 = 3⁴; x + 2 = 4; x = 2।,3
সূচকীয় সমীকরণ,41,5^(2x) = 25^x এর সমাধান কী?,x = 1,x = 2,x = 0,x = 3,C,25 = 5²; 2x = x; x = 0।,3
সূচকীয় সমীকরণ,42,4^(x+1) = 16^x এর সমাধান কী?,x = 2,x = 1,x = 3,x = 4,B,16 = 4²; x + 1 = 2x; x = 1।,3
সূচকীয় সমীকরণ,54,2^(3x-1) = 16 এর সমাধান কী?,x = 5/3,x = 4/3,x = 2,x = 1,A,16 = 2⁴; 3x - 1 = 4; x = 5/3।,4
সূচকীয় সমীকরণ,55,3^(2x-2) = 27 এর সমাধান কী?,x = 5/2,x = 3/2,x = 2,x = 3,A,27 = 3³; 2x - 2 = 3; x = 5/2।,4
সূচকীয় সমীকরণ,56,5^(x+3) = 125^x এর সমাধান কী?,x = 3/2,x = 2,x = 1,x = 4,A,125 = 5³; x + 3 = 3x; x = 3/2।,4
সূচকীয় সমীকরণ,57,4^(2x-1) = 64^x এর সমাধান কী?,x = 1,x = 2,x = -1 ,x = 4,C,64 = 4³; 2x - 1 = 3x; x = - 1।,4
সূচকীয় সমীকরণ,69,3^(x-1) = 9^x এর সমাধান কী?,x = 1,x = 2,x = 3,x = -1,D,9 = 3²; x - 1 = 2x; x = -1।,5
সূচকীয় সমীকরণ,70,2^(x+3) = 8^(x-1) এর সমাধান কী?,x = 3,x = 4,x = 5,x = 6,A,8 = 2³; x + 3 = 3(x-1); x = 3।,5
সূচকীয় সমীকরণ,71,5^(x-2) = 25^(x-3) এর সমাধান কী?,x = 4,x = 3,x = 2,x = 5,A,25 = 5²; x - 2 = 2(x-3); x = 4।,5
সূচকীয় সমীকরণ,72,4^(x+2) = 16^(x+1) এর সমাধান কী?,x = 2,x = 3,x = 4,x = 0 ,D,16 = 4²; x + 2 = 2(x+1); x = 0।,5
সূচকীয় সমীকরণ,84,3^(x-4) = 27^(x-1) এর সমাধান কী?,x = 2,x = 3/2,x = -1/2,x = 5/2,C,27 = 3³; x - 4 = 3(x-1); x =-1/2।,6
সূচকীয় সমীকরণ,85,2^(x+5) = 4^(x+2) এর সমাধান কী?,x = 1,x = 2,x = 3,x = 4,A,4 = 2²; x + 5 = 2(x+2); x = 1।,6
সূচকীয় সমীকরণ,86,5^(2x-1) = 125^(x-1) এর সমাধান কী?,x = 2,x = 3,x = 4,x = 5,A,125 = 5³; 2x - 1 = 3(x-1); x = 2।,6
সূচকীয় সমীকরণ,87,4^(x+3) = 16^(x+2) এর সমাধান কী?,x = 1,x = 2,x = 3,x = -1,A,16 = 4²; x + 3 = 2(x+2); x = -1।,6
সূচকীয় সমীকরণ,99,2^(x-2) = 8^(x-1) এর সমাধান কী?,x = 2/3,x = 3/2,x = 2,x = 1/2,D,8 = 2³; x - 2 = 3(x-1); x = 1/2।,7
সূচকীয় সমীকরণ,100,3^(x+4) = 9^(x+1) এর সমাধান কী?,x = 2,x = 3,x = 4,x = 5,A,9 = 3²; x + 4 = 2(x+1); x = 2।,7
সূচকীয় সমীকরণ,101,5^(2x+1) = 125^(x-1) এর সমাধান কী?,x = 2,x = 3,x = 4,x = 5,C,125 = 5³; 2x + 1 = 3(x-1); x = 4।,7
সূচকীয় সমীকরণ,102,4^(x-1) = 16^(x-1) এর সমাধান কী?,x = 1,x = 2,x = 3,x = 4,A,16 = 4²; x - 1 = 2(x-1); x = 1।,7
সূচকীয় সমীকরণ,114,3^(2x-1) - 5·3^(x-1) - 6 = 0 এর সমাধান কী?,x = 2,x = 3,x = 4,x = 5,A,3^(x-1) = a করে a² - 5a - 6 = 0; a = 3; x = 2।,8
সূচকীয় সমীকরণ,115,2^(2x) - 5·2^x - 6 = 0 এর সমাধান কী?,x = 2,x = 3,x = 1,x = 4,A,2^x = a করে a² - 5a - 6 = 0; a = 2; x = 2।,8
সূচকীয় সমীকরণ,116,5^(x+1) - 26·5^(x-1) = 0 এর সমাধান কী?,x = 2,x = 3,x = 4,x = 5,A,5^(x-1) = a করে a - 26 = 0; a = 5; x = 2।,8
সূচকীয় সমীকরণ,117,4^(x+1) - 17·4^x + 4 = 0 এর সমাধান কী?,x = 0,x = 1,x = 2,x = 3,A,4^x = a করে a² - 17a + 4 = 0; a = 1; x = 0।,8
সূচকীয় সমীকরণ,129,3^(2x-2) - 5·3^(x-2) - 66 = 0 এর সমাধান কী?,x = 3,x = 4,x = 5,x = 6,A,3^(x-2) = a করে a² - 5a - 594 = 0; a = 27; x = 3।,9
সূচকীয় সমীকরণ,130,2^(2x) - 7·2^x + 12 = 0 এর সমাধান কী?,x = 2,x = 1,x = 4,x = 3,A,2^x = a করে a² - 7a + 12 = 0; a = 4;2; x = 2|,9
সূচকীয় সমীকরণ,131,5^(x+2) - 26·5^x = 0 এর সমাধান কী?,x = 2,x = 3,x = 4,x = 1,D,5^x = a করে a - 26 = 0; a = 5; x = 1।,9
সূচকীয় সমীকরণ,132,4^(x+2) - 65·4^x + 4 = 0 এর সমাধান কী?,x = 0,x = 1,x = 2,x = 3,D,4^x = a করে a² - 65a + 4 = 0; a = 1; x = 3।,9
সূচকীয় সমীকরণ,144,a^(2x) - (a³+a)a^(x-1) + a² = 0 (a>0; a≠1) এর সমাধান কী?,x = 0;2,x = 1;3,x = 2;4,x = 1;2,A,a^x = p করে p² - (a²+1)p + a² = 0; p = 1;a²; x = 0;2।,10
সূচকীয় সমীকরণ,145,3^(2x-2) - 10·3^(x-2) + 3 = 0 এর সমাধান কী?,x = 2;3,x = 1;4,x = 3;4,x = 0;2,D,3^(x-2) = a করে a² - 10a + 3 = 0; a = 9;3; x = 0;2।,10
সূচকীয় সমীকরণ,146,2^(x+1) + 2^(x-1) = 10 এর সমাধান কী?,x = 2,x = 3,x = 4,x = 5,A,2^(x-1) = a করে 2a + a = 10; a = 2; x = 2।,10
সূচকীয় সমীকরণ,147,5^(2x) - 26·5^x + 25 = 0 এর সমাধান কী?,x = 1;2,x = 2;3,x = 1;3,x = 0;2,D,5^x = a করে a² - 26a + 25 = 0; a = 5;25; x = 0;2।,10
মূলক সমীকরণ,5,√(x - 4) + 2 = √(x + 12) এর সমাধান কী?,x = 7,x = 5,x = 13,x = 9,C,বর্গ করে x = 13 পাই; ,1
মূলক সমীকরণ,6,√(2x + 7) = 5 এর সমাধান কী?,x = 4,x = 9,x = 6,x = 8,B,বর্গ করে 2x + 7 = 25; x = 9। যাচাই: √(2·9+7) = 5।,1
মূলক সমীকরণ,7,√(x + 3) = 4 এর মূল কী?,x = 13,x = 16,x = 10,x = 7,A,বর্গ করে x + 3 = 16; x = 13। যাচাই: √(13+3) = 4।,1
মূলক সমীকরণ,8,√(x - 1) = 3 এর সমাধান কী?,x = 9,x = 10,x = 8,x = 7,B,বর্গ করে x - 1 = 9; x = 10। যাচাই: √(10-1) = 3।,1
মূলক সমীকরণ,20,√(x + 5) - 2 = 1 এর সমাধান কী?,x = 4,x = 6,x = 8,x = 2,A,√(x + 5) = 3; বর্গ করে x + 5 = 9; x = 4।,2
মূলক সমীকরণ,21,√(3x - 2) = 4 এর সমাধান কী?,x = 6,x = 4,x = 2,x = 8,A,বর্গ করে 3x - 2 = 16; x = 6। যাচাই: √(3·6-2) = 4।,2
মূলক সমীকরণ,22,√(x - 3) + 3 = 6 এর সমাধান কী?,x = 9,x = 12,x = 15,x = 6,B,√(x - 3) = 3; বর্গ করে x - 3 = 9; x = 12।,2
মূলক সমীকরণ,23,√(2x + 1) = 3 এর সমাধান কী?,x = 4,x = 5,x = 3,x = 6,A,বর্গ করে 2x + 1 = 9; x = 4। যাচাই: √(2·4+1) = 3।,2
মূলক সমীকরণ,35,√(2x + 8) - 2 = √(x + 5) এর সমাধান কী?,x = 9 + 4√10,x = 10 + 4√10,x = 9 - 4√10,x = 9 + 2√10,A,বর্গ করে x = 9 + 4√10। ,3
মূলক সমীকরণ,36,√(3x + 1) - √(x - 1) = 2 এর সমাধান কী?,x = 5,x = 3,x = 4,x = 6,A,বর্গ করে x = 5। যাচাই: √(3·5+1) - √(5-1) = 2।,3
মূলক সমীকরণ,37,√(x + 6) - √(x - 2) = 2 এর সমাধান কী?,x = 3,x = 8,x = 6,x = 12,A,বর্গ করে x = 3। যাচাই: √(3+6) - √(3-2) = 2।,3
মূলক সমীকরণ,38,√(4x - 3) = √(x + 6) এর সমাধান কী?,x = 3,x = 4,x = 5,x = 6,A,বর্গ করে 4x - 3 = x + 6; x = 3। যাচাই: √(4·3-3) = √(3+6)।,3
মূলক সমীকরণ,50,√(2x + 9) - √(x + 4) = 1 এর সমাধান কী?,"x = 7, -9",x = 8; 0,x = 0; -4,x = 10,C,বর্গ করে x = 0; -4। ,4
