Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
সূচক,1,২⁴ \times ২³ সরলীকরণ করুন।,২¹,২⁷,২⁶,২¹,B,"a^m \times a^n = a^(m+n) ব্যবহার করে, ২⁴ \times ২³ = ২^(৪+৩) = ২⁷।",২
লগারিদম,2,\(\log_{১০} ১০০\) কী?,১,২,৩,১০,B,"যেহেতু ১০² = ১০০, তাই \(\log_{১০} ১০০ = ২\)।",৭
লগারিদমিক পদ্ধতি,3,৪৫০০ কে বৈজ্ঞানিক সংখ্যাপ্রকাশে প্রকাশ করুন।,৪.৫ \times ১০³,৪৫ \times ১০²,০.৪৫ \times ১০⁴,৪.৫ \times ১০²,A,"৪৫০০ = ৪.৫ \times ১০০০ = ৪.৫ \times ১০³, যেখানে ১ \leq ৪.৫ < ১০।",১
সূচক,4,(৩²)³ কী?,৩⁵,৩⁶,৩⁸,৩⁹,B,"(a^m)^n = a^(m \times n) ব্যবহার করে, (৩²)³ = ৩^(২ \times ৩) = ৩⁶।",৯
লগারিদম,5,"যদি \(\log_{৪} x = ২\) হয়, তবে x কী?",১৬,৮,৪,৩২,A,"\(\log_{৪} x = ২\) মানে ৪² = x, তাই x = ১৬।",৪
লগারিদমিক পদ্ধতি,6,\(\log_{১০} ০.০০৭৮\) এর মান কী?,−৩,০,১,−২,A,"০.০০৭৮ = ৭.৮ \times ১০⁻³ (২টি শূন্য), মান = -(২+১) = −৩।",৬
সূচক,7,(\frac{৫}{২})² সরলীকরণ করুন।,২৫/৪,৫/৪,১০/২,২/৫,A,"(\frac{a}{b})^n = \frac{a^n}{b^n} ব্যবহার করে, (\frac{৫}{২})² = \frac{৫²}{২²} = \frac{২৫}{৪}।",৩
লগারিদম,8,\(\log_{২} (\frac{১}{১৬})\) কী?,৪,−৪,−২,২,B,"যেহেতু \frac{১}{১৬} = ২⁻⁴, তাই \(\log_{২} (\frac{১}{১৬}) = −৪\)।",৮
লগারিদমিক পদ্ধতি,9,০.০০০৫৬ কে বৈজ্ঞানিক সংখ্যাপ্রকাশে প্রকাশ করুন।,৫.৬ \times ১০⁻⁴,০.৫৬ \times ১০⁻³,৫.৬ \times ১০⁻³,০.০৫৬ \times ১০⁻⁴,A,"০.০০০৫৬ = ৫.৬ \times ১০⁻⁴, যেখানে ১ \leq ৫.৬ < ১০।",৫
সূচক,10,a \neq ০ হলে a⁰ কী?,০,a,১,অসংজ্ঞায়িত,C,"সংজ্ঞা অনুসারে, a⁰ = ১ যখন a \neq ০।",১
লগারিদম,11,\(\log_{৩} ২৭\) সরলীকরণ করুন।,২,৩,৪,১,B,"যেহেতু ৩³ = ২৭, তাই \(\log_{৩} ২৭ = ৩\)।",৩
লগারিদমিক পদ্ধতি,12,\(\log_{১০} ৫৬৭৮\) এর মান কী?,২,৩,৪,১,B,"৫৬৭৮ = ৫.৬৭৮ \times ১০³, মান = ৪-১ = ৩।",১০
সূচক,13,"৬	⁻² সরলীকরণ করুন।",১/৩৬,৩৬,১/৬,৬²,A,"a^(-n) = \frac{১}{a^n} ব্যবহার করে, ৬⁻² = \frac{১}{৬²} = \frac{১}{৩৬}।",৬
লগারিদম,14,\(\log_{১০} ১\) কী?,০,১,১০,অসংজ্ঞায়িত,A,"নিয়ম অনুসারে, \(\log_{a} ১ = ০\) যখন a > ০, a \neq ১।",২
লগারিদমিক পদ্ধতি,15,২৩.৪৫৬ কে বৈজ্ঞানিক সংখ্যাপ্রকাশে প্রকাশ করুন।,২.৩৪৫৬ \times ১০¹,২৩.৪৫৬ \times ১০⁰,০.২৩৪৫৬ \times ১০²,২.৩৪৫৬ \times ১০⁰,A,"২৩.৪৫৬ = ২.৩৪৫৬ \times ১০¹, যেখানে ১ \leq ২.৩৪৫৬ < ১০।",৪
সূচক,16,(৩ \times ২)² কী?,৩³ \times ২³,১৮²,৩৬,৩² \times ২²,D,"(ab)^n = a^n \times b^n ব্যবহার করে, (৩ \times ২)² = ৩² \times ২²।",৮
লগারিদম,17,"যদি \(\log_{x} ৯ = ২\) হয়, তবে x কী?",৯,৩,৬,২৭,B,"\(\log_{x} ৯ = ২\) মানে x² = ৯, তাই x = ৩ (x > ০)।",৫
লগারিদমিক পদ্ধতি,18,\(\log_{১০} ০.০০০৩৪\) এর মান কী?,০,−৪,−৩,−৫,B,"০.০০০৩৪ = ৩.৪ \times ১০⁻⁴ (৩টি শূন্য), মান = -(৩+১) = −৪।",৭
