Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
Introductory 'It',1,___ is important to be honest.,It,There,That,This,A,'It' is used to introduce statements about general truths.,3
Introductory 'It',2,___ is important to be honest.,It,There,That,This,A,'It' is used to introduce statements about general truths.,7
Introductory 'It',3,Which sentence uses 'it' as an introductory subject?,It is raining heavily.,There is raining heavily.,This raining is heavy.,Raining is it heavily.,A,'It' is used as a dummy subject in weather expressions.,1
Introductory 'It',4,Identify the part of speech of 'It' in the sentence: 'It is cold today.',Pronoun,Adverb,Conjunction,Noun,A,'It' is a pronoun used as a dummy subject.,1
Introductory 'It',5,It ___ time to leave now.,is,are,was,be,A,Present simple tense is appropriate here: 'It is time to leave.',5
Introductory 'It',6,Which sentence uses 'it' as an introductory subject?,It is raining heavily.,There is raining heavily.,This raining is heavy.,Raining is it heavily.,A,'It' is used as a dummy subject in weather expressions.,10
Introductory 'It',7,Identify the part of speech of 'It' in the sentence: 'It is cold today.',Pronoun,Adverb,Conjunction,Noun,A,'It' is a pronoun used as a dummy subject.,5
Introductory 'It',8,Identify the part of speech of 'It' in the sentence: 'It is cold today.',Pronoun,Adverb,Conjunction,Noun,A,'It' is a pronoun used as a dummy subject.,7
Introductory 'It',9,Transform: 'To finish this project is difficult.' → Begin with 'It'.,It is difficult to finish this project.,It to finish this project is difficult.,It is to finish this project difficult.,It finish this project is difficult.,A,Correct transformation uses 'It is difficult to...',1
Introductory 'It',10,There is difficult to learn Chinese. Identify the error.,There,is,difficult,learn,A,The sentence should begin with 'It' to introduce an adjective phrase.,9
Introductory 'It',11,Transform: 'To finish this project is difficult.' → Begin with 'It'.,It is difficult to finish this project.,It to finish this project is difficult.,It is to finish this project difficult.,It finish this project is difficult.,A,Correct transformation uses 'It is difficult to...',2
Introductory 'It',12,It ___ time to leave now.,is,are,was,be,A,Present simple tense is appropriate here: 'It is time to leave.',10
Introductory 'It',13,There is difficult to learn Chinese. Identify the error.,There,is,difficult,learn,A,The sentence should begin with 'It' to introduce an adjective phrase.,7
Introductory 'It',14,Transform: 'To finish this project is difficult.' → Begin with 'It'.,It is difficult to finish this project.,It to finish this project is difficult.,It is to finish this project difficult.,It finish this project is difficult.,A,Correct transformation uses 'It is difficult to...',9
Introductory 'It',15,___ is important to be honest.,It,There,That,This,A,'It' is used to introduce statements about general truths.,6
Introductory 'It',16,___ is important to be honest.,It,There,That,This,A,'It' is used to introduce statements about general truths.,2
Introductory 'It',17,Identify the part of speech of 'It' in the sentence: 'It is cold today.',Pronoun,Adverb,Conjunction,Noun,A,'It' is a pronoun used as a dummy subject.,8
Introductory 'It',18,It ___ time to leave now.,is,are,was,be,A,Present simple tense is appropriate here: 'It is time to leave.',5
Introductory 'It',19,There is difficult to learn Chinese. Identify the error.,There,is,difficult,learn,A,The sentence should begin with 'It' to introduce an adjective phrase.,1
Introductory 'It',20,It ___ time to leave now.,is,are,was,be,A,Present simple tense is appropriate here: 'It is time to leave.',9
Introductory 'It',21,It ___ time to leave now.,is,are,was,be,A,Present simple tense is appropriate here: 'It is time to leave.',7
Introductory 'It',22,There is difficult to learn Chinese. Identify the error.,There,is,difficult,learn,A,The sentence should begin with 'It' to introduce an adjective phrase.,6
Introductory 'It',23,Which sentence uses 'it' as an introductory subject?,It is raining heavily.,There is raining heavily.,This raining is heavy.,Raining is it heavily.,A,'It' is used as a dummy subject in weather expressions.,5
Introductory 'It',24,Which sentence uses 'it' as an introductory subject?,It is raining heavily.,There is raining heavily.,This raining is heavy.,Raining is it heavily.,A,'It' is used as a dummy subject in weather expressions.,8
Introductory 'It',25,___ is important to be honest.,It,There,That,This,A,'It' is used to introduce statements about general truths.,3
Introductory 'It',26,Which sentence uses 'it' as an introductory subject?,It is raining heavily.,There is raining heavily.,This raining is heavy.,Raining is it heavily.,A,'It' is used as a dummy subject in weather expressions.,4
Introductory 'It',27,Which sentence uses 'it' as an introductory subject?,It is raining heavily.,There is raining heavily.,This raining is heavy.,Raining is it heavily.,A,'It' is used as a dummy subject in weather expressions.,10
Introductory 'It',28,Identify the part of speech of 'It' in the sentence: 'It is cold today.',Pronoun,Adverb,Conjunction,Noun,A,'It' is a pronoun used as a dummy subject.,6
Introductory 'It',29,Which sentence uses 'it' as an introductory subject?,It is raining heavily.,There is raining heavily.,This raining is heavy.,Raining is it heavily.,A,'It' is used as a dummy subject in weather expressions.,2
Introductory 'It',30,Transform: 'To finish this project is difficult.' → Begin with 'It'.,It is difficult to finish this project.,It to finish this project is difficult.,It is to finish this project difficult.,It finish this project is difficult.,A,Correct transformation uses 'It is difficult to...',9
Introductory 'It',31,Which sentence uses 'it' as an introductory subject?,It is raining heavily.,There is raining heavily.,This raining is heavy.,Raining is it heavily.,A,'It' is used as a dummy subject in weather expressions.,8
Introductory 'It',32,Identify the part of speech of 'It' in the sentence: 'It is cold today.',Pronoun,Adverb,Conjunction,Noun,A,'It' is a pronoun used as a dummy subject.,7
Introductory 'It',33,Identify the part of speech of 'It' in the sentence: 'It is cold today.',Pronoun,Adverb,Conjunction,Noun,A,'It' is a pronoun used as a dummy subject.,1
Introductory 'It',34,Transform: 'To finish this project is difficult.' → Begin with 'It'.,It is difficult to finish this project.,It to finish this project is difficult.,It is to finish this project difficult.,It finish this project is difficult.,A,Correct transformation uses 'It is difficult to...',10
Introductory 'It',35,___ is important to be honest.,It,There,That,This,A,'It' is used to introduce statements about general truths.,1
Introductory 'It',36,Identify the part of speech of 'It' in the sentence: 'It is cold today.',Pronoun,Adverb,Conjunction,Noun,A,'It' is a pronoun used as a dummy subject.,2
Introductory 'It',37,Transform: 'To finish this project is difficult.' → Begin with 'It'.,It is difficult to finish this project.,It to finish this project is difficult.,It is to finish this project difficult.,It finish this project is difficult.,A,Correct transformation uses 'It is difficult to...',1
Introductory 'It',38,Transform: 'To finish this project is difficult.' → Begin with 'It'.,It is difficult to finish this project.,It to finish this project is difficult.,It is to finish this project difficult.,It finish this project is difficult.,A,Correct transformation uses 'It is difficult to...',5
Introductory 'It',39,There is difficult to learn Chinese. Identify the error.,There,is,difficult,learn,A,The sentence should begin with 'It' to introduce an adjective phrase.,8
Introductory 'It',40,Transform: 'To finish this project is difficult.' → Begin with 'It'.,It is difficult to finish this project.,It to finish this project is difficult.,It is to finish this project difficult.,It finish this project is difficult.,A,Correct transformation uses 'It is difficult to...',10
Introductory 'It',41,Transform: 'To finish this project is difficult.' → Begin with 'It'.,It is difficult to finish this project.,It to finish this project is difficult.,It is to finish this project difficult.,It finish this project is difficult.,A,Correct transformation uses 'It is difficult to...',10
Introductory 'It',42,It ___ time to leave now.,is,are,was,be,A,Present simple tense is appropriate here: 'It is time to leave.',7
Introductory 'It',43,___ is important to be honest.,It,There,That,This,A,'It' is used to introduce statements about general truths.,6
Introductory 'It',44,Which sentence uses 'it' as an introductory subject?,It is raining heavily.,There is raining heavily.,This raining is heavy.,Raining is it heavily.,A,'It' is used as a dummy subject in weather expressions.,4
Introductory 'It',45,It ___ time to leave now.,is,are,was,be,A,Present simple tense is appropriate here: 'It is time to leave.',6
Introductory 'It',46,There is difficult to learn Chinese. Identify the error.,There,is,difficult,learn,A,The sentence should begin with 'It' to introduce an adjective phrase.,3
Introductory 'It',47,It ___ time to leave now.,is,are,was,be,A,Present simple tense is appropriate here: 'It is time to leave.',10
Introductory 'It',48,There is difficult to learn Chinese. Identify the error.,There,is,difficult,learn,A,The sentence should begin with 'It' to introduce an adjective phrase.,3
Introductory 'It',49,Identify the part of speech of 'It' in the sentence: 'It is cold today.',Pronoun,Adverb,Conjunction,Noun,A,'It' is a pronoun used as a dummy subject.,4
Introductory 'It',50,It ___ time to leave now.,is,are,was,be,A,Present simple tense is appropriate here: 'It is time to leave.',8
Introductory 'It',51,___ is important to be honest.,It,There,That,This,A,'It' is used to introduce statements about general truths.,7
Introductory 'It',52,Which sentence uses 'it' as an introductory subject?,It is raining heavily.,There is raining heavily.,This raining is heavy.,Raining is it heavily.,A,'It' is used as a dummy subject in weather expressions.,9
Introductory 'It',53,___ is important to be honest.,It,There,That,This,A,'It' is used to introduce statements about general truths.,8
Introductory 'It',54,Transform: 'To finish this project is difficult.' → Begin with 'It'.,It is difficult to finish this project.,It to finish this project is difficult.,It is to finish this project difficult.,It finish this project is difficult.,A,Correct transformation uses 'It is difficult to...',5
Introductory 'It',55,There is difficult to learn Chinese. Identify the error.,There,is,difficult,learn,A,The sentence should begin with 'It' to introduce an adjective phrase.,1
Introductory 'It',56,Which sentence uses 'it' as an introductory subject?,It is raining heavily.,There is raining heavily.,This raining is heavy.,Raining is it heavily.,A,'It' is used as a dummy subject in weather expressions.,7
