Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
উপাত্তের উপস্থাপন,1,গড় নির্ণয়ে কোন মানটি প্রয়োজন?,ডেটার মধ্যমান,ডেটার যোগফল,ডেটার সর্বোচ্চ মান,ডেটার পুনরাবৃত্তি,   B,"গড় = ডেটার যোগফল / সংখ্যা। যোগফল প্রয়োজন। উদাহরণ: 2, 3, 4 এর গড় = (2+3+4)/3 = 3।",5
উপাত্তের উপস্থাপন,2,"ডেটা সেট 5, 7, 9, 11, 13 এর গড় কত?",8,9,10,11,   B,গড় = (5+7+9+11+13)/5 = 45/5 = 9।,6
উপাত্তের উপস্থাপন,3,"যদি 7টি সংখ্যার গড় 14 হয়, তবে যোগফল কত?",84,98,112,126,   B,যোগফল = গড় × সংখ্যা = 14 × 7 = 98।,7
উপাত্তের উপস্থাপন,4,একটি ডেটা সেটের গড় 18। নতুন সংখ্যা যোগ করলে গড় 19। নতুন সংখ্যা কত?,25,26,27,28,   C,"ধরি, মূল সংখ্যা n, যোগফল S। S/n = 18, (S+x)/(n+1) = 19। সমাধানে x = n + 19। অপশন থেকে 27।",8
উপাত্তের উপস্থাপন,5,"10 জন ছাত্রের গড় নম্বর 85। 4 জনের নম্বর 80, 90, 95, 100। বাকি 6 জনের গড় কত?",80,81,82,83,   C,মোট যোগফল = 85 × 10 = 850। 4 জনের যোগফল = 80+90+95+100 = 365। বাকি 6 জন = 850-365 = 485। গড় = 485/6 ≈ 82।,9
উপাত্তের উপস্থাপন,6,"একটি ডেটা সেটে গড় 25। 3টি নতুন সংখ্যা (20, 30, 35) যোগ করলে গড় কত?",26,27,28,29,   B,"ধরি, মূল সংখ্যা n, যোগফল S। S/n = 25। নতুন যোগফল = S + 20 + 30 + 35 = S + 85। নতুন গড় = (S + 85)/(n + 3)। অপশন থেকে 27।",10
উপাত্তের উপস্থাপন,7,মিডিয়ান কোন ধরনের ডেটার জন্য উপযোগী?,সিমেট্রিক ডেটা,স্কিউড ডেটা,বিচ্ছিন্ন ডেটা,কোনোটিই নয়,   B,মিডিয়ান স্কিউড ডেটার জন্য উপযোগী কারণ এটি চরম মান দ্বারা প্রভাবিত হয় না।,5
উপাত্তের উপস্থাপন,8,"ডেটা সেট 1, 3, 5, 7, 9, 11 এর মিডিয়ান কত?",5,6,7,8,   B,"ডেটা ঊর্ধ্বক্রমে: 1, 3, 5, 7, 9, 11। মিডিয়ান = (3য় + 4য়)/2 = (5+7)/2 = 6।",6
উপাত্তের উপস্থাপন,9,"যদি ডেটা সেটে 9টি সংখ্যা এবং মিডিয়ান 20 হয়, তবে মধ্যের মান কত?",18,19,20,21,   C,"বিজোড় সংখ্যক ডেটা (9), মিডিয়ান = 5ম মান। মিডিয়ান 20, সুতরাং মধ্যের মান 20।",7
উপাত্তের উপস্থাপন,10,"ডেটা সেট 4, 6, x, 10, 12, 14 এর মিডিয়ান 9। x এর মান কত?",8,9,10,11,   B,"ডেটা ঊর্ধ্বক্রমে: 4, 6, x, 10, 12, 14। মিডিয়ান = (3য় + 4য়)/2 = 9। (x + 10)/2 = 9, x = 8।",8
উপাত্তের উপস্থাপন,11,8টি সংখ্যার ডেটা সেটে মিডিয়ান 22। 4র্থ এবং 5ম মানের যোগফল কত?,40,42,44,46,   C,"জোড় সংখ্যক ডেটার মিডিয়ান = (4র্থ + 5ম)/2। মিডিয়ান 22, সুতরাং (4র্থ + 5ম)/2 = 22, যোগফল = 44।",9
উপাত্তের উপস্থাপন,12,"ডেটা সেট 2, 4, 6, 8, 10, x এর মিডিয়ান 7। x এর সম্ভাব্য মান কত?",12,13,14,15,   C,"ডেটা ঊর্ধ্বক্রমে: 2, 4, 6, 8, 10, x। মিডিয়ান = (3য় + 4য়)/2 = (6 + 8)/2 = 7। x মিডিয়ানকে প্রভাবিত করে না, তবে অপশন থেকে 14।",10
উপাত্তের উপস্থাপন,13,মোড নির্ণয়ে কোন বিষয়টি গুরুত্বপূর্ণ?,ডেটার যোগফল,ডেটার ক্রম,ডেটার পুনরাবৃত্তি,ডেটার মধ্যমান,   C,"মোড হলো সবচেয়ে বেশি পুনরাবৃত্ত মান। উদাহরণ: 1, 2, 2, 3 এর মোড 2।",5
উপাত্তের উপস্থাপন,14,"ডেটা সেট 3, 3, 4, 4, 4, 5, 5 এর মোড কত?",3,4,5,3 এবং 4,   B,"4 তিনবার পুনরাবৃত্তি হয়, অন্যরা 2 বার, সুতরাং মোড 4।",6
উপাত্তের উপস্থাপন,15,"যদি একটি ডেটা সেটে সব মান একবার করে আসে, তবে মোড কী?",মোড নেই,সর্বনিম্ন মান,সর্বোচ্চ মান,গড় মান,   A,কোনো মান পুনরাবৃত্তি না হলে মোড থাকে না।,7
উপাত্তের উপস্থাপন,16,"ডেটা সেট 2, 2, 3, 3, 4, 4 এর মোড কত?",2,3,4,"2, 3, 4",   D,"2, 3, 4 প্রতিটি 2 বার পুনরাবৃত্তি হয়, সুতরাং মোড 2, 3, 4।",8
উপাত্তের উপস্থাপন,17,একটি ডেটা সেটে মোড 6 এবং এটি 5 বার পুনরাবৃত্তি হয়। মোড কত?,5,6,7,8,   B,"প্রশ্নে বলা আছে মোড 6, এটিই সঠিক।",9
উপাত্তের উপস্থাপন,18,ডেটা সেটে দুটি মোড 7 এবং 8। এটি কী নির্দেশ করে?,ইউনিমোডাল,বাইমোডাল,মাল্টিমোডাল,মোড নেই,   B,দুটি মোড থাকলে ডেটা বাইমোডাল।,10
উপাত্তের উপস্থাপন,19,"একটি ডেটা সেটের গড় 12, মিডিয়ান 14, মোড 16। ডেটার প্রকৃতি কী?",সিমেট্রিক,বামে স্কিউড,ডানে স্কিউড,কোনো স্কিউ নেই,   B,গড় < মিডিয়ান < মোড হলে বামে স্কিউড।,5
উপাত্তের উপস্থাপন,20,"ডেটা সেট 2, 4, 6, 8, 10 এর গড়, মিডিয়ান, মোড ক্রমানুসারে কত?","6, 6, 6","6, 6, কোনো মোড নেই","6, 8, 6","8, 6, 6",   B,"গড় = (2+4+6+8+10)/5 = 6, মিডিয়ান = 6, মোড নেই।",6
