Subtopic ,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty 
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,1,"(1+y)⁴ এর প্রসারণে y² এর সহগ কত, প্যাসকেলের ত্রিভুজ ব্যবহার করে?",1,4,6,4,C,n=4 এর জন্য প্যাসকেলের ত্রিভুজ থেকে; y² এর সহগ হল 6 (সারি: 1;4;6;4;1)।,1
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,2,(1+y)⁵ এর প্রসারণে কতগুলি পদ রয়েছে?,4,5,6,7,C,(1+y)⁵ এর জন্য; পদের সংb্যা হল n+1=5+1=6।,1
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,3,(1+y)³ এর প্রসারণে সহগগুলির যোগফল কত?,4,6,8,10,C,(1+y)³ এর সহগগুলির যোগফল হল (1+1)³=2³=8।,2
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,4,প্যাসকেলের ত্রিভুজ থেকে (1+y)⁵ এর y³ এর সহগ কত?,1,5,10,5,C,n=5 এর জন্য প্যাসকেলের ত্রিভুজ সহগ দেয় 1;5;10;10;5;1; সুতরাং y³ এর সহগ 10।,2
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,5,(1+y)⁴ এর জন্য প্যাসকেলের ত্রিভুজের কোন সারি সংশ্লিষ্ট?,1;3;3;1,1;4;6;4;1,1;5;10;10;5;1,1;6;15;20;15;6;1,B,n=4 এর জন্য; প্যাসকেলের ত্রিভুজের সারি হল 1;4;6;4;1।,3
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,6,(1+y)⁶ এর y⁴ এর সহগ কত?,1,6,15,20,C,n=6 এর জন্য প্যাসকেলের ত্রিভুজ হল 1;6;15;20;15;6;1; সুতরাং y⁴ এর সহগ 15।,3
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,7,(1+y)⁶ এর মধ্যম পদের সহগ কত?,15,20,15,6,B,n=6 এর জন্য; প্যাসকেলের ত্রিভুজ দেয় 1;6;15;20;15;6;1; মধ্যম পদ হল 20।,4
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,8,যদি (1+y)ⁿ এর y² এর সহগ 10 হয়; তবে n এর মান কত?,3,4,5,6,C,y² এর জন্য; সহগ হল n(n-1)/2=10; সমাধান করলে n=5 পাওয়া যায়।,4
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,9,প্যাসকেলের ত্রিভুজ ব্যবহার করে (1+y)⁷ এর y⁵ এর সহগ কত?,1,7,21,35,C,n=7 এর জন্য প্যাসকেলের ত্রিভুজ হল 1;7;21;35;35;21;7;1; সুতরাং y⁵ এর সহগ 21।,5
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,10,(1+y)⁴ এর সহগগুলির যোগফল কত?,8,10,12,16,D,(1+y)⁴ এর সহগগুলির যোগফল হল (1+1)⁴=2⁴=16।,5
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,11,প্যাসকেলের ত্রিভুজে; n=5 এর সারির যোগফল কত?,16,32,64,128,B,n=5 এর সারির যোগফল হল 2⁵=32।,6
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,12,যদি সারি হয় 1;6;15;20;15;6;1 তবে (1+y)⁶ এর y³ এর সহগ কত?,6,15,20,6,C,n=6 সারিতে (1;6;15;20;15;6;1) y³ এর সহগ হল 20।,6
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,13,যদি (1+y)ⁿ এর y³ এর সহগ 35 হয়; তবে n এর মান কত?,5,6,7,8,C,y³ এর সহগ হল n(n-1)(n-2)/6=35; সমাধান করলে n=7 পাওয়া যায়।,7
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,14,(1+y)⁸ এর y⁴ এর সহগ কত?,8,28,56,70,D,n=8 এর জন্য y⁴ এর সহগ হল ⁸C₄ = 70।,7
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,15,(1+y)⁵ এ; y² এর সহগ এবং y³ এর সহগের অনুপাত কত?,1,2,2025-01-02 00:00:00,2025-03-02 00:00:00,A,সহগগুলি হল 10 (y²) এবং 10 (y³); অনুপাত হল 10/10=1।,8
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,16,(1+y)⁹ এর y⁶ এর সহগ কত?,1,9,36,84,D,n=9 এর জন্য y⁶ এর সহগ হল ⁹C₆ = 84।,8
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,17,যদি (1+y)ⁿ এর সহগগুলির যোগফল 128 হয়; তবে n এর মান কত?,6,7,8,9,B,সহগগুলির যোগফল হল 2ⁿ=128; সুতরাং n=7।,9
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,18,(1+y)⁸ এর y⁵ এর সহগ কত?,8,28,56,70,C,n=8 এর জন্য y⁵ এর সহগ হল ⁸C₅ = 56।,9
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,19,(1+y)⁷ এ; y² এবং y⁵ এর সহগগুলির গুণফল কত?,147,294,441,588,C,সহগগুলি হল 21 (y²) এবং 21 (y⁵); 21×21=441।,10
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,20,যদি (1+y)ⁿ এর y⁴ এর সহগ 70 হয়; তবে n এর মান কত?,6,7,8,9,C,y⁴ এর সহগ হল n(n-1)(n-2)(n-3)/24=70; সমাধান করলে n=8 পাওয়া যায়।,10
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,21,(1+y)⁷ এর y³ এর সহগ কত?,7,21,35,49,C,n=7 এর জন্য প্যাসকেলের ত্রিভুজ y³ এর সহগ হিসেবে 35 দেয়।,1
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,22,(1+y)⁶ এর প্রসারণে পদের সংb্যা কত?,5,6,7,8,C,(1+y)⁶ এর পদের সংb্যা হল n+1=6+1=7।,2
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,23,(1+y)⁴ এর y এর সহগ কত?,1,4,6,4,B,n=4 এর জন্য প্যাসকেলের ত্রিভুজ হল 1;4;6;4;1; y এর সহগ 4।,3
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,24,(1+y)⁵ এর y² এর সহগ কত?,5,10,15,20,B,n=5 এর জন্য প্যাসকেলের ত্রিভুজ হল 1;5;10;10;5;1; y² এর সহগ 10।,4
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,25,(1+y)⁵ এর সহগগুলির যোগফল কত?,16,32,64,128,B,(1+y)⁵ এর সহগগুলির যোগফল হল 2⁵=32।,5
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,26,⁵C₂ এর মান কত?,5,10,15,20,B,⁵C₂=5!/(2!×3!)=(5×4)/(1×2)=10।,1
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,27,⁴C₃ এর মান কত?,1,4,6,12,B,⁴C₃=4!/(3!×1!)=4।,1
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,28,⁶C₁ এর মান কত?,1,6,12,15,B,⁶C₁=6!/(1!×5!)=6।,2
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,29,³C₂ এর মান কত?,1,3,6,9,B,³C₂=3!/(2!×1!)=3।,2
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,30,⁷C₀ এর মান কত?,0,1,7,14,B,⁷C₀=7!/(0!×7!)=1; যেহেতু 0!=1।,3
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,31,⁵C₅ এর মান কত?,1,5,10,15,A,⁵C₅=5!/(5!×0!)=1; যেহেতু 0!=1।,3
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,32,⁶C₃ এর মান কত?,10,15,20,30,C,⁶C₃=6!/(3!×3!)=(6×5×4)/(1×2×3)=20।,4
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,33,⁴C₁ এর মান কত?,1,4,6,8,B,⁴C₁=4!/(1!×3!)=4।,4
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,34,⁸C₂ এর মান কত?,14,28,56,70,B,⁸C₂=8!/(2!×6!)=(8×7)/(1×2)=28।,5
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,35,⁷C₄ এর মান কত?,21,35,49,56,B,⁷C₄=⁷C₃=(7×6×5)/(1×2×3)=35।,5
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,36,⁵C₃ এর মান কত?,5,10,15,20,B,⁵C₃=⁵C₂=(5×4)/(1×2)=10।,6
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,37,⁶C₄ এর মান কত?,10,15,20,30,B,⁶C₄=⁶C₂=(6×5)/(1×2)=15।,6
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,38,যদি ⁿC₂=10 হয়; তবে n এর মান কত?,3,4,5,6,C,ⁿC₂=n(n-1)/2=10; সমাধান করলে n=5 পাওয়া যায়।,7
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,39,⁸C₃ এর মান কত?,28,56,70,84,B,⁸C₃=(8×7×6)/(1×2×3)=56।,7
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,40,⁷C₅ এর মান কত?,21,35,49,56,A,⁷C₅=⁷C₂=(7×6)/(1×2)=21।,8
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,41,⁹C₄ এর মান কত?,84,126,210,252,B,⁹C₄=(9×8×7×6)/(1×2×3×4)=126।,8
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,42,⁸C₅ এর মান কত?,56,70,84,120,A,⁸C₅=⁸C₃=(8×7×6)/(1×2×3)=56।,9
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,43,যদি ⁿC₃=56 হয়; তবে n এর মান কত?,6,7,8,9,C,ⁿC₃=n(n-1)(n-2)/6=56; সমাধান করলে n=8 পাওয়া যায়।,9
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,44,¹⁰C₃ এর মান কত?,90,120,150,180,B,¹⁰C₃=(10×9×8)/(1×2×3)=120।,10
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,45,যদি ⁿC₄=70 হয়; তবে n এর মান কত?,6,7,8,9,C,ⁿC₄=n(n-1)(n-2)(n-3)/24=70; সমাধান করলে n=8 পাওয়া যায়।,10
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,46,⁶C₅ এর মান কত?,5,6,12,15,B,⁶C₅=⁶C₁=6!/(1!×5!)=6।,1
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,47,⁵C₄ এর মান কত?,1,5,10,15,B,⁵C₄=⁵C₁=5!/(1!×4!)=5।,2
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,48,⁷C₃ এর মান কত?,21,35,49,56,B,⁷C₃=(7×6×5)/(1×2×3)=35।,3
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,49,⁴C₂ এর মান কত?,4,6,8,12,B,⁴C₂=(4×3)/(1×2)=6।,4
দ্বিপদী সহগ এবং প্যাসকেলের ত্রিভুজ,50,⁸C₁ এর মান কত?,1,8,28,56,B,⁸C₁=8!/(1!×7!)=8।,5
\( (1+y)^n \)-এর দ্বিপদী বিস্তৃতি,51,(1+y)³ এর প্রসারণ কী?,1+3y+3y²+y³,1+2y+3y²+y³,1+y+y²+y³,1+3y+2y²+y³,A,দ্বিপদ উপপাদ্য ব্যবহার করে; (1+y)³=1+3y+3y²+y³।,1
\( (1+y)^n \)-এর দ্বিপদী বিস্তৃতি,52,(1+y)⁴ এর y এর সহগ কত?,1,4,6,4,B,(1+y)⁴ এ; y এর সহগ হল ⁴C₁=4।,1
\( (1+y)^n \)-এর দ্বিপদী বিস্তৃতি,53,(1-y)² এর প্রসারণ কী?,1-2y+y²,1+y-y²,1-2y-y²,1+y+y²,A,(1-y)²=1-2y+y²।,2
\( (1+y)^n \)-এর দ্বিপদী বিস্তৃতি,54,(1+2y)³ এর y² এর সহগ কত?,6,12,18,24,B,"(1+2y)³ এ; y² পদ হল ³C₂ × (2y)² এর সহগ, যা 3 × 4 = 12।",2
\( (1+y)^n \)-এর দ্বিপদী বিস্তৃতি,55,(1+y)⁴ এর প্রসারণ করুন।,1+4y+6y²+4y³+y⁴,1+3y+3y²+3y³+y⁴,1+4y+4y²+4y³+y⁴,1+5y+10y²+5y³+y⁴,A,দ্বিপদ উপপাদ্য ব্যবহার করে; (1+y)⁴=1+4y+6y²+4y³+y⁴।,3
