Subtopic,QuestionNumber,Question,   Option A,   Option B,  Option C, Option D,CorrectAnswer,Explanation,Difficulty
অনুক্রম ও ধারা,1,"a₁ = 10, a₅ = 22, সাধারণ পার্থক্য d কত?",2,3,4,5,B,a₅ = a₁ + 4d ⇒ 22 = 10 + 4d ⇒ d = 3,1
অনুক্রম ও ধারা,2,"a₁ = 3, d = 2, a₆ কত?",12,13,14,15,B,a₆ = 3 + 5 × 2 = 13,1
অনুক্রম ও ধারা,3,"সমান্তর ধারার প্রথম তিনটি পদ 2, 5, 8 হলে সাধারণ পার্থক্য d কত?",2,3,4,5,B,d = 5 - 2 = 3,2
অনুক্রম ও ধারা,4,"সমান্তর ধারায় প্রথম পাঁচটি পদ হল 1, 4, 7, 10, 13, d কত?",2,3,4,5,B,d = 3,2
অনুক্রম ও ধারা,5,"a₁ = 7, d = 4, a₈ কত?",33,34,35,36,C,a₈ = 7 + 7 × 4 = 35,2
অনুক্রম ও ধারা,6,"সমান্তর ধারায় প্রথম পদ a₁ = 4, সাধারণ পার্থক্য d = 3, a₅ কত?",16,18,20,22,A,a₅ = a₁ + 4d = 4 + 4 × 3 = 16,3
অনুক্রম ও ধারা,7,"সমান্তর ধারায় a₁ = 7, d = -1, a₄ কত?",4,5,6,7,A,a₄ = 7 + 3 × (-1) = 4,3
অনুক্রম ও ধারা,8,"সমান্তর ধারার ৮ম পদ a₈ = 29, সাধারণ পার্থক্য d = 3, প্রথম পদ কত?",5,6,7,8,D,a₈ = a₁ + 7d ⇒ 29 = a₁ + 21 ⇒ a₁ = 8,4
অনুক্রম ও ধারা,9,"সমান্তর ধারার প্রথম পদ a₁=5, সাধারণ পার্থক্য d=7। a₁₅ কত?",105,110,115,120,A,a₁₅ = 5 + (15−1) × 7 = 5 + 98 = 105,5
অনুক্রম ও ধারা,10,"a₁=9, a₅=33। সাধারণ পার্থক্য d কত?",6,7,8,9,A,33 = 9 + 4d ⇒ d = 6,6
অনুক্রম ও ধারা,11,"a₁=10, a₂₀=67। সাধারণ পার্থক্য d কত?",3,4,5,6,A,70 = 10 + 19d ⇒ d = 3,6
অনুক্রম ও ধারা,12,"সমান্তর ধারায় a₁=4, a₆=24। সাধারণ পার্থক্য d কত?",3,4,5,6,B,24 = 4 + 5d ⇒ d = 4,7
অনুক্রম ও ধারা,13,"a₁=15, a₇=39। সাধারণ পার্থক্য d কত?",3,4,5,6,B,39 = 15 + 6d ⇒ d = 4,7
অনুক্রম ও ধারা,14,"a₁=4, a₈=39। সাধারণ পার্থক্য d কত?",5,6,7,8,A,40 = 4 + 7d ⇒ d = 5,7
অনুক্রম ও ধারা,15,"a₂ = 10, a₅ = 22, সাধারণ পার্থক্য d কত?",3,4,5,6,B,a₅ = a₂ + 3d ⇒ 22 = 10 + 3d ⇒ d = 4,8
অনুক্রম ও ধারা,16,"a₁=3, d=2। a₂₅ কত?",51,52,53,54,A,a₂₅ = 3 + 24 × 2 = 51,8
অনুক্রম ও ধারা,17,"a₁=7, a₁₀=43। সাধারণ পার্থক্য d কত?",3,4,5,6,B,43 = 7 + 9d ⇒ d = 4,8
অনুক্রম ও ধারা,18,"a₁ = 15, d = -2, a₇ কত?",3,7,9,11,A,a₇ = 15 + 6 × (-2) = 3,9
অনুক্রম ও ধারা,19,"a₁=6, a₁₂=50। সাধারণ পার্থক্য d কত?",3,4,5,6,B,50 = 6 + 11d ⇒ d = 4,9
অনুক্রম ও ধারা,20,"a₁ = 5, d = -1, a₆ কত?",0,1,2,3,A,a₆ = 5 + 5 × (-1) = 0,1
অনুক্রম ও ধারা,21,"Fill in the blank: a₁ = 3, d = 5, a₇ = ___,",32,33,34,35,B,a₇ = 3 + 6 × 5 = 33,1
অনুক্রম ও ধারা,22,"a₅ = 20, d = 4, প্রথম পদ কত?",4,5,6,7,A,a₅ = a₁ + 4d ⇒ 20 = a₁ + 16 ⇒ a₁ = 4,1
অনুক্রম ও ধারা,23,"a₁ = 5, d = -2, a₆ কত?",-5,-6,-7,-8,A,a₆ = 5 + 5 × (-2) = -5,1
অনুক্রম ও ধারা,24,"a₁ = 9, d = 1, a₁₀ কত?",18,19,20,21,A,a₁₀ = 9 + 9 × 1 = 18,1
অনুক্রম ও ধারা,25,"a₃ = 16, d = 2, প্রথম পদ কত?",12,13,14,15,A,a₃ = a₁ + 2d ⇒ 16 = a₁ + 4 ⇒ a₁ = 12,1
অনুক্রম ও ধারা,26,"একটি সমান্তর ধারার প্রথম 6টি পদের যোগফল 72 হলে, প্রথম পদ 8, সাধারণ পার্থক্য d কত?",1.6,2,2.5,3, A,"S₆ = 6/2 × (2×8 + 5d) = 72, তাই 3 × (16 + 5d) = 72, 16 + 5d = 24, 5d = 8, d = 1.6",1
