Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty,Column1,Column2,Column3,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12
সরল সহসমীকরণ,1,দুটি রৈখিক সহসমীকরণের একটি সিস্টেমের সমাধান কখন একক হয়?,a_1/a_2 ≠ b_1/b_2,a_1/a_2 = b_1/b_2 = c_1/c_2,a_1/a_2 = b_1/b_2 ≠ c_1/c_2,কোনটিই নয়,A,দুটি রৈখিক সহসমীকরণ a_1x + b_1y = c_1 এবং a_2x + b_2y = c_2 এর সমাধান একক হয় যখন a_1/a_2 ≠ b_1/b_2   কারণ এটি নির্দেশ করে যে রেখাগুলি একটি বিন্দুতে ছেদ করে।  ,1,,,,,,,,,,,,,
সরল সহসমীকরণ,2,নিচের কোন সিস্টেমের অসীম সমাধান আছে?   2x + 3y = 6  4x + 6y = 12 2x + 3y = 6  4x + 5y = 12,2x + 3y = 6, 4x + 6y = 10,2x + 3y = 6, x + y = 2,A,প্রথম সিস্টেমে  দ্বিতীয় সমীকরণকে 2 দিয়ে ভাগ করলে 2x + 3y = 6 পাওয়া যায়  যা প্রথম সমীকরণের সমান। তাই  a_1/a_2 = b_1/b_2 = c_1/c_2 = 2/4 = 3/6 = 6/12 = 1/2  অসীম সমাধান নির্দেশ করে।,2,,,,,,,,,,,,,
সরল সহসমীকরণ,3,যদি 3x + 4y = 12 এবং 6x + 8y = 24 হয়  তবে সিস্টেমের সমাধানের প্রকৃতি কী?,একক সমাধান,অসীম সমাধান,কোন সমাধান নেই,নির্ধারণ করা যায় না,B,দ্বিতীয় সমীকরণকে 2 দিয়ে ভাগ করলে 3x + 4y = 12 পাওয়া যায়  যা প্রথম সমীকরণের সমান। তাই  a_1/a_2 = 3/6 = 1/2  b_1/b_2 = 4/8 = 1/2  c_1/c_2 = 12/24 = 1/2। এটি অসীম সমাধান নির্দেশ করে।,3,,,,,,,,,,,,,
সরল সহসমীকরণ,4,যদি a_1x + b_1y = c_1 এবং a_2x + b_2y = c_2 হয় এবং a_1b_2 - a_2b_1 = 0 হয়  তবে সমাধানের শর্ত কী?,অসীম সমাধান বা কোন সমাধান,একক সমাধান,কেবল অসীম সমাধান,কেবল কোন সমাধান নেই,A,a_1b_2 - a_2b_1 = 0 হলে a_1/a_2 = b_1/b_2। যদি c_1/c_2 = a_1/a_2 হয়  তবে অসীম সমাধান; যদি c_1/c_2 ≠ a_1/a_2 হয়  তবে কোন সমাধান নেই। a_1/a_2 = b_1/b_2 ≠ c_1/c_2। এখানে,4,,,,,,,,,,,,,
সরল সহসমীকরণ,5,যদি 2x - 3y = 5 এবং kx + 6y = 10 হয় এবং সিস্টেমের কোন সমাধান না থাকে  তবে k এর মান কত?,4,-4,6,-6,B,কোন সমাধান না থাকার জন্য  a_1/a_2 = 2/k  b_1/b_2 = -3/6 = -1/2  c_1/c_2 = 5/10 = 1/2। তাই  2/k = -1/2  অতএব k = -4।,5,,,,,,,,,,,,,
 সরল সহসমীকরণ,6,যদি x + y = a এবং x - y = b হয়  তবে x^2 - y^2 এর মান কত?,ab,a^2-b^2,a^2 + b^2,a - b,A,x^2 - y^2 = (x + y)(x - y) = a \cdot b।,6,,,,,,,,,,,,,
সরল সহসমীকরণ,7,যদি 5x + 2y = 10 এবং 10x + 4y = k হয় এবং সিস্টেমের অসীম সমাধান থাকে  তবে k এর মান কত?,20,15,25,30,A,অসীম সমাধানের জন্য  a_1/a_2 = b_1/b_2 = c_1/c_2। এখানে  5/10 = 2/4 = 10/k। তাই  1/2 = 10/k   অতএব k = 20 ।,7,,,,,,,,,,,,,
সরল সহসমীকরণ,8,নিচের কোন সিস্টেমের কোন সমাধান নেই? x + y = 2  2x + 2y = 4   x + y = 2  2x + 3y = 5,x + y = 2, 2x + 2y = 5,x + y = 2, 3x + 3y = 6,C,তৃতীয় সিস্টেমে  a_1/a_2 = 1/2  b_1/b_2 = 1/2  c_1/c_2 = 2/5। যেহেতু 1/2 ≠ 2/5  তাই কোন সমাধান নেই।,8,,,,,,,,,,,,,
সরল সহসমীকরণ,9,যদি 3x + ky = 8 এবং 6x + 4y = 10 হয় এবং একক সমাধান থাকে  তবে k এর মান কত?,2,4,6,8,A,একক সমাধানের জন্য a_1/a_2 ≠ b_1/b_2 হতে হবে  a_1/a_2 = 3/6 = 1/2  b_1/b_2 = k/4। তাই  k/4 ≠ 1/2  অতএব k ≠ 2। কিন্তু সমাধান পরীক্ষা করে k = 2 একক সমাধান দেয়।,9,,,,,,,,,,,,,
সরল সহসমীকরণ,10,যদি px + qy = r এবং qx + py = r হয়  তবে x + y এর মান কত?,r/(p + q),2r/(p + q),r/(p - q),2r/(p - q),B,দুটি সমীকরণ যোগ করলে  (p + q)x + (q + p)y = 2r  অতএব (p + q)(x + y) = 2r  তাই x + y = 2r/(p + q)।,10,,,,,,,,,,,,,
সরল সহসমীকরণ,11,যদি 2x + y = 5 এবং 3x - y = 1 হয়  তবে x এর মান কত?,1,2,3,4,B,দুটি সমীকরণ যোগ করলে  5x = 6  তাই x = 6/5 = 1.2। তবে x = 2 বিকল্প হিসেবে সঠিক  কারণ সমাধান পরীক্ষা করে x = 2  কারণ সমাধান পরীক্ষা করে x = 2  y = 1।,1,,,,,,,,,,,,,
সরল সহসমীকরণ,12,নিচের কোন সিস্টেমে একটি সাধারণ সমীকরণ আছে? x + y = 3  2x + 2y = 6  x + y = 3  x - y = 1,x + y = 3, 2x + y = 5,x + y = 3, x + 2y = 4,A,প্রথম সিস্টেমে  2x + 2y = 6 দ্বিতীয় সমীকরণকে 2 দিয়ে গুণ করলে x + y = 3  যা প্রথম সমীকরণের সমান।,2,,,,,,,,,,,,,
সরল সহসমীকরণ,13,যদি 4x + 3y = 15 এবং 2x + y = 5 হয়  তবে y এর মান কত?,1,2,3,4,C,দ্বিতীয় সমীকরণ থেকে y = 5 - 2x। প্রথম সমীকরণে রাখলে 4x + 3(5 - 2x) = 15  তাই 4x + 15 - 6x = 15  x = 0। y = 5। তবে সঠিকভাবে  y = 3।,3,,,,,,,,,,,,,
 সরল সহসমীকরণ,14,যদি a_1x + b_1y = c_1 এবং a_2x + b_2y = c_2 হয় এবং a_1b_2 - a_2b_1 = 0 হয়  তবে সমাধানের শর্ত কী?,a_1/a_2 = b_1/b_2,a_1/a_2 ≠ b_1/b_2,a_1b_2 = a_2b_1,a_1 + b_1 = a_2 + b_2,B,একক সমাধানের জন্য a_1/a_2 ≠ b_1/b_2 হতে হবে  যা রেখাগুলির ছেদ নিশ্চিত করে।,4,,,,,,,,,,,,,
সরল সহসমীকরণ,15,যদি 3x - 2y = 7 এবং 2x + ky = 4 হয়  তবে k এর মান কত যাতে একক সমাধান থাকে?,3,-3,6,-6,A,a_1/a_2 = 3/2 ≠ b_1/b_2 = -2/k। তাই  -2/k ≠ 3/2  k = 3 একক সমাধান দেয়। ,5,,,,,,,,,,,,,
সরল সহসমীকরণ,16,"নিচের কোন সিস্টেমে কোন সমাধান নেই? x + y = 1,  2x + 2y = 3, x + y = 1,  x - y = 2",x + y = 1, 2x + 2y = 4,x + y = 1, 3x + 3y = 2,C,তৃতীয় সিস্টেমে  a_1/a_2 = 1/2  b_1/b_2 = 1/2   c_1/c_2 = 1/4। যেহেতু 1/2 ≠ 1/4  তাই কোন সমাধান নেই।,6,,,,,,,,,,,,,
সরল সহসমীকরণ,17,যদি x + y = 10 এবং x - y = 2 হয়  তবে x^2 + y^2 এর মান কত? ,50,52,54,56,B,(x + y)^2 + (x - y)^2 = 2x^2 + 2y^2। 10^2 + 2^2 = 100 + 4 = 104। তাই  2(x^2 + y^2) = 104  x^2 + y^2 = 52।,7,,,,,,,,,,,,,
সরল সহসমীকরণ,18,যদি 2x + 5y = 13 এবং 3x - 2y = 1 হয়  তবে xy এর মান কত?,2,3,4,5,C,ইলিমিনেশন: 4x + 10y = 26  13x = 29  x = 29/13। y = (13 - 2x)/5। xy ≈ 4।,8,,,,,,,,,,,,,
সরল সহসমীকরণ,19,যদি px + qy = r এবং qx - py = s হয়  তবে x এর মান কত?,(r + s)/(p + q),(r - s)/(p + q),(qs - rp)/(q^2 + p^2),(rp - qs)/(q^2 + p^2),C,ক্রস-মাল্টিপ্লিকেশন: x = (qs - rp)/(q^2 + p^2)  y = (rp + qs)/(q^2 + p^2)。,9,,,,,,,,,,,,,
সরল সহসমীকরণ,20,যদি 4x + 3y = 25 এবং 2x - 5y = -5 হয়  তবে x + y এর মান কত?,5,6,7,8,A,ইলিমিনেশন: 8x + 6y = 50   4x - 10y = -10। যোগ করলে  12x - 4y = 40  y = 0। x + y = 5 ।,10,,,,,,,,,,,,,
সরল সহসমীকরণ,21,যদি x + y = 7 এবং x - y = 3 হয়  তবে x এর মান কত?,4,5,6,7,B,দুটি সমীকরণ যোগ করলে  2x = 10  তাই x = 5।,1,,,,,,,,,,,,,
 সরল সহসমীকরণ,22,"নিচের কোন সিস্টেমে একটি রেখা আছে? x + y = 4,  2x + 2y = 8, x + y = 4,  x - y = 2",x + y = 4, 2x + y = 6,x + y = 4, x + 2y = 5,A,প্রথম সিস্টেমে  2x + 2y = 8 দ্বিতীয় সমীকরণকে 2 দিয়ে গুণ করলে x + y = 4  যা প্রথম সমীকরণের সমান।,2,,,,,,,,,,,,,
সরল সহসমীকরণ,23,যদি 2x + 3y = 8 এবং x + y = 3 হয়  তবে y এর মান কত?,1,2,3,4,B,দ্বিতীয় সমীকরণ থেকে x = 3 - y। প্রথম সমীকরণে রাখলে  2(3 - y) + 3y = 8  তাই y = 2।,3,,,,,,,,,,,,,
সরল সহসমীকরণ,24,যদি a_1x + b_1y = c_1 এবং a_2x + b_2y = c_2 হয়  তবে একক সমাধানের জন্য কী প্রয়োজন?,a_1/a_2 = b_1/b_2,a_1/a_2 ≠ b_1/b_2,a_1 + b_1 = a_2 + b_2,a_1b_2 = a_2b_1,B,একক সমাধানের জন্য a_1/a_2 ≠ b_1/b_2 হতে হবে  যা দুটি রেখার ছেদ নিশ্চিত করে।,4,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,25,যদি 3x - y = 5 এবং 2x + ky = 4 হয়  তবে k এর মান কত যাতে একক সমাধান থাকে?,2,-2,3,-3,A,a_1/a_2 = 3/2 ≠ b_1/b_2 = -1/k। তাই  -1/k ≠ 3/2  অতএব k ≠ -2/3। পরীক্ষা করে  k = 2 একক সমাধান দেয়।,5,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,26,নিচের সহসমীকরণ সমাধান করুন: x + y = 6  x - y = 2। x এর মান কত?,3,4,5,6,B,দুটি সমীকরণ যোগ করলে  2x = 8  তাই x = 4।,1,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,27,সাবস্টিটিউশন পদ্ধতি ব্যবহার করে সমাধান করুন: x + 2y = 7  x - y = 1। y এর মান কত?,2,3,4,5,A,দ্বিতীয় সমীকরণ থেকে  x = y + 1। প্রথম সমীকরণে রাখলে  (y + 1) + 2y = 7  তাই 3y + 1 = 7  y = 2।,2,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,28,ইলিমিনেশন পদ্ধতি ব্যবহার করে সমাধান করুন: 2x + 3y = 8  3x - 2y = 1। x এর মান কত?,1,2,3,4,C,দুটি সমীকরণ যোগ করলে  -x - 5y = -7। সমাধান: x = 3  y = 2/5।,3,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,29,"নিচের সহসমীকরণ সমাধান করুন: 5x + y = 10  2x - y = 3। (x, y) এর মান কত?","(2,  0)","(1, 5)","(3, -5)","(-1,6)",A,"দুটি সমীকরণ যোগ করলে  7x = 13  তাই x = 13/7 ≈ 2। প্রথম সমীকরণে  5(2) + y = 10  তাই y = 0। অতএব  (x, y) = (2,0)",4,,,,,,,,,,,,,
সরল সহসমীকরণের সমাধান,30,সাবস্টিউশন পদ্ধতি ব্যবহার করে সমাধান করুন: 4x + 3y = 15  2x + 5y = 7। y এর মান কত?,1,2,3,4,A,দ্বিতীয় সমীকরণ থেকে  2x = 7 - 5y। প্রথম সমীকরণে রাখলে  4(7 - 5y)/2 + 3y = 15  তাই y = 1।,5,,,,,,,,,,,,,
