Subtopic ,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty 
মূলদ ও অমূলদ সূচক,1,2⁵ × 2³ এর মান কত?,2⁸,2¹⁵,2²,2⁷,A,সূচকের নিয়ম অনুসারে; 2⁵ × 2³ = 2^{5+3} = 2⁸।,1
মূলদ ও অমূলদ সূচক,2,3⁴ ÷ 3² এর মান কত?,3²,3⁶,1/3²,3¹,A,সূচকের নিয়মে; 3⁴ ÷ 3² = 3^{4-2} = 3²।,1
মূলদ ও অমূলদ সূচক,3,(5²)³ এর মান কত?,5⁵,5⁶,5⁸,5¹²,B,সূচকের নিয়মে; (5²)³ = 5^{2×3} = 5⁶।,1
মূলদ ও অমূলদ সূচক,4,7⁰ এর মান কত?,0,1,7,1/7,B,যেকোনো অশূন্য সংখ্যার শূন্য ঘাতের মান 1।,1
মূলদ ও অমূলদ সূচক,5,2^{-2} এর মান কত?,1/4,4,-2,1/2,A,ঋণাত্মক সূচকের নিয়মে; 2^{-2} = 1/2² = 1/4।,2
মূলদ ও অমূলদ সূচক,6,√16 এর প্রধান মান কত?,4,-4,±4,2,A,প্রধান বর্গমূল সবসময় ধনাত্মক; √16 = 4।,2
মূলদ ও অমূলদ সূচক,7,(-8)^{1/3} এর মান কত?,-2,2,-4,4,A,ঘনমূল নেতিবাচক হতে পারে; (-8)^{1/3} = -2।,2
মূলদ ও অমূলদ সূচক,8,(2³ × 3²) ÷ 6² এর মান কত?,1,2,3,4,B,6 = 2 × 3; (2³ × 3²) ÷ (2² × 3²) = 2^{3-2} = 2।,2
মূলদ ও অমূলদ সূচক,9,3^{√2} এর আনুমানিক মান কত (√2 ≈ 1.414)?,4.728,5.2,6.1,7.8,B, 4.728 (ক্যালকুলেটর ব্যবহার করে)।,3
মূলদ ও অমূলদ সূচক,10,(4^{1/2} × 4^{1/3}) ÷ 4^{1/6} এর মান কত?,4^{1/3},4^{2/3},4^{1/2},4^{5/6},B,সূচকের নিয়মে; 4^{1/2 + 1/3 - 1/6} = 4^{2/3}।,3
মূলদ ও অমূলদ সূচক,11,√[5]{32} এর মান কত?,2,4,8,16,A,32 = 2⁵; √[5]{32} = 2।,3
