Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty 
বহুপদী ধারণা,1,কোনটি একটি বহুপদী রাশি?,2x³,7 - 3a²,x³ + x⁻²,√(n - 4),A,বহুপদীতে শুধুমাত্র অঋণাত্মক পূর্ণসংখ্যা ঘাত থাকে; x⁻² এবং √(n - 4) বহুপদী নয়।,1
বহুপদী ধারণা,2,বহুপদী P(x) = 3x² + 5x + 2 এর ডিগ্রি কত?,0,1,2,3,C,সর্বোচ্চ ঘাতের পদ হল 3x²; তাই ডিগ্রি 2।,1
বহুপদী ধারণা,3,বহুপদী P(x) = 4x³ - 2x + 5 এর ধ্রুবক পদ কোনটি?,4x³,-2x,5,0,C,ধ্রুবক পদ হল x-এর ঘাত 0 বিশিষ্ট পদ; এখানে 5।,1
বহুপদী ধারণা,4,বহুপদী P(x) = 2x⁴ - x² + 3 এর প্রধান সহগ কত?,2,-1,3,0,A,প্রধান সহগ হল সর্বোচ্চ ডিগ্রির পদের সহগ; এখানে 2।,1
বহুপদী ধারণা,5,P(x) = x³ + 2x² - x + 1 হলে P(1) এর মান কত?,3,2,1,0,A,P(1) = 1³ + 2(1)² - 1 + 1 = 3।,1
বহুপদী ধারণা,6,কোনটি দুই চলকের বহুপদী?,x² + 2xy + y²,x + √y,1/x + y,x/y + 2,A,বহুপদীতে অঋণাত্মক পূর্ণসংখ্যা ঘাত থাকে; শুধু a বহুপদী।,2
বহুপদী ধারণা,7,P(x) = 2x³ - 3x + 1 হলে P(-1) এর মান কত?,-4,2,0,1,B,P(-1) = 2(-1)³ - 3(-1) + 1 = 2।,2
বহুপদী ধারণা,8,বহুপদী 5x²y - 3xy² + 2 এর ডিগ্রি কত?,1,2,3,4,C,পদ 5x²y এর ডিগ্রি 2+1=3; এটিই সর্বোচ্চ।,2
বহুপদী ধারণা,9,"বহুপদী P(x, y) = x² + 2xy + y² এর ডিগ্রি কত?",1,2,3,4,B,প্রতিটি পদের ডিগ্রি 2 (x²; 2xy; y²); তাই ডিগ্রি 2।,2
বহুপদী ধারণা,10,P(x) = x⁴ - 2x² + 1 এর প্রধান পদ কোনটি?,x⁴,-2x²,1,0,A,প্রধান পদ হল সর্বোচ্চ ডিগ্রির পদ; এখানে x⁴।,2
বহুপদী ধারণা,11,বহুপদী P(x) = 3x⁵ - 2x³ + x - 1 এর ডিগ্রি কত?,3,4,5,6,C,সর্বোচ্চ ঘাতের পদ 3x⁵; তাই ডিগ্রি 5।,3
বহুপদী ধারণা,12,"P(x, y, z) = x³ + y³ + z³ - 3xyz এর ডিগ্রি কত?",2,3,4,5,B,প্রতিটি পদের ডিগ্রি 3; তাই বহুপদীর ডিগ্রি 3।,3
বহুপদী ধারণা,13,P(x) = 2x³ + x² - 5x + 2 হলে P(2) এর মান কত?,8,12,16,20,B,P(2) = 2(2³) + 2² - 5(2) + 2 = 12।,3
বহুপদী ধারণা,14,কোনটি তিন চলকের বহুপদী?,x² + y²,x + y + z,x³ + y²z + xyz,√x + y + z,C,শুধু c-তে অঋণাত্মক পূর্ণসংখ্যা ঘাত আছে।,3
বহুপদী ধারণা,15,বহুপদী 4x²y + 2xy²z - 3 এর ধ্রুবক পদ কত?,-3,0,2,4,A,ধ্রুবক পদ হল চলকবিহীন পদ; এখানে -3।,3
বহুপদী ধারণা,16,P(x) = x⁴ - 3x³ + 2x - 1 হলে P(-2) এর মান কত?,35,49,53,57,A,P(-2) = (-2)⁴ - 3(-2)³ + 2(-2) - 1 = 35।,4
বহুপদী ধারণা,17,বহুপদী 2x³y² + xy + 3 এর ডিগ্রি কত?,2,3,4,5,D,পদ 2x³y² এর ডিগ্রি 3+2=5; এটিই সর্বোচ্চ।,4
বহুপদী ধারণা,18,"P(x, y) = 3x²y - 2xy² + 5x এর প্রধান সহগ কত?",3,-2,5,0,A,প্রধান পদ 3x²y এর সহগ 3।,4
বহুপদী ধারণা,19,কোনটি বহুপদী নয়?,x² + 3x + 1,2x³ - x,1/x + 2,xy + y²,C,1/x-এ ঋণাত্মক ঘাত আছে; তাই বহুপদী নয়।,4
বহুপদী ধারণা,20,P(x) = 2x⁵ - x³ + 4x - 3 এর প্রধান পদ কোনটি?,2x⁵,-x³,4x,-3,A,প্রধান পদ হল সর্বোচ্চ ডিগ্রির পদ; এখানে 2x⁵।,4
বহুপদী ধারণা,21,"বহুপদী P(x, y, z) = x²yz + xy²z + xyz² এর ডিগ্রি কত?",3,4,5,6,B,প্রতিটি পদের ডিগ্রি 2+1+1=4; তাই ডিগ্রি 4।,5
বহুপদী ধারণা,22,P(x) = 3x⁴ - 2x² + 5 হলে P(1/2) এর মান কত?,45/16,47/16,49/16,51/16,C,P(1/2) = 3(1/16) - 2(1/4) + 5 = 49/16।,5
বহুপদী ধারণা,23,বহুপদী 5x²y³ + 2xy + 1 এর ধ্রুবক পদ কত?,0,1,2,5,B,ধ্রুবক পদ হল চলকবিহীন পদ; এখানে 1।,5
বহুপদী ধারণা,24,"P(x, y) = x³y + 2x²y² - xy এর প্রধান পদ কোনটি?",x³y,2x²y²,-xy,0,B,ডিগ্রি 2+2=4 সর্বোচ্চ; তাই প্রধান পদ 2x²y²।,5
বহুপদী ধারণা,25,কোনটি এক চলকের বহুপদী?,x² + y²,2x³ - 5x + 1,xy + yz,√x + 2,B,শুধু b-তে একটি চলক (x) আছে।,5
