Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
First Conditional,1,"If we _____ (not/take) a taxi, we will be late.",not take,did not take,do not take,will not take,C,Present simple + will + base verb,3
First Conditional,2,"Fill in the blank: If you _____ (study) hard, you will pass the exam.",was,had,study,be,C,Use present simple tense in the if-clause and will + base verb in main clause.,10
First Conditional,3,"Find the error and choose the correct sentence:
If it rains, we will went to the park.",No error,"If it rains, we will go to the park.","If it rains, we will went to the park.",Cannot say,B,"The if-clause should use present simple, not will + verb.",2
First Conditional,4,Fill in the blank: We will go to the beach if it _____ (be) sunny.,did,been,is,has,C,Use present simple tense in the if-clause and will + base verb in main clause.,4
First Conditional,5,"If she _____ (not/hurry), she will miss the bus.",did not hurry,does not hurry,not hurry,will not hurry,B,Present simple + will + base verb,8
First Conditional,6,They will be happy if you _____ (come) to the party.,will come,came,come,coming,C,Present simple + will + base verb,2
First Conditional,7,"Fill in the blank: If you _____ (study) hard, you will pass the exam.",study,had,will,be,A,Use present simple tense in the if-clause and will + base verb in main clause.,9
First Conditional,8,Fill in the blank: We will go to the beach if it _____ (be) sunny.,is,was,has,will,A,Use present simple tense in the if-clause and will + base verb in main clause.,1
First Conditional,9,"Find the error and choose the correct sentence:
If they will not come, the meeting will cancel.",Cannot say,No error,"If they do not come, the meeting will be cancelled.","If they will not come, the meeting will cancel.",C,"The if-clause should use present simple, not will + verb.",1
First Conditional,10,"Find the error and choose the correct sentence:
If you will be late, we will start.","If you will be late, we will start.",Cannot say,No error,"If you are late, we will start.",D,"The if-clause should use present simple, not will + verb.",7
First Conditional,11,Fill in the blank: They will succeed if they _____ (work) together.,had,be,work,been,C,Use present simple tense in the if-clause and will + base verb in main clause.,8
First Conditional,12,"Find the error and choose the correct sentence:
If you will be late, we will start.",No error,"If you are late, we will start.",Cannot say,"If you will be late, we will start.",B,"The if-clause should use present simple, not will + verb.",6
First Conditional,13,"If she _____ (not/hurry), she will miss the bus.",will not hurry,did not hurry,does not hurry,not hurry,C,Present simple + will + base verb,9
First Conditional,14,I will call you if I _____ (finish) my work early.,will finish,finish,finished,finishing,B,Present simple + will + base verb,2
First Conditional,15,"If we _____ (not/take) a taxi, we will be late.",will not take,did not take,not take,do not take,D,Present simple + will + base verb,4
First Conditional,16,"If we _____ (not/take) a taxi, we will be late.",will not take,not take,do not take,did not take,C,Present simple + will + base verb,2
First Conditional,17,"Fill in the blank: If you _____ (study) hard, you will pass the exam.",did,study,has,be,B,Use present simple tense in the if-clause and will + base verb in main clause.,10
First Conditional,18,Fill in the blank: They will succeed if they _____ (work) together.,work,was,been,will,A,Use present simple tense in the if-clause and will + base verb in main clause.,10
First Conditional,19,"Find the error and choose the correct sentence:
If it rains, we will went to the park.",Cannot say,"If it rains, we will went to the park.",No error,"If it rains, we will go to the park.",D,"The if-clause should use present simple, not will + verb.",9
First Conditional,20,"Find the error and choose the correct sentence:
If you will be late, we will start.","If you will be late, we will start.",No error,Cannot say,"If you are late, we will start.",D,"The if-clause should use present simple, not will + verb.",4
First Conditional,21,Fill in the blank: We will go to the beach if it _____ (be) sunny.,is,be,was,will,A,Use present simple tense in the if-clause and will + base verb in main clause.,2
First Conditional,22,They will be happy if you _____ (come) to the party.,coming,will come,come,came,C,Present simple + will + base verb,2
First Conditional,23,"Find the error and choose the correct sentence:
If they will not come, the meeting will cancel.",Cannot say,"If they do not come, the meeting will be cancelled.",No error,"If they will not come, the meeting will cancel.",B,"The if-clause should use present simple, not will + verb.",7
First Conditional,24,"Fill in the blank: If you _____ (study) hard, you will pass the exam.",study,has,are,had,A,Use present simple tense in the if-clause and will + base verb in main clause.,3
First Conditional,25,"Find the error and choose the correct sentence:
If she will study hard, she will pass.",Cannot say,No error,"If she studies hard, she will pass.","If she will study hard, she will pass.",C,"The if-clause should use present simple, not will + verb.",8
First Conditional,26,"Find the error and choose the correct sentence:
If I will see him, I will tell.",Cannot say,"If I will see him, I will tell.","If I see him, I will tell.",No error,C,"The if-clause should use present simple, not will + verb.",7
First Conditional,27,I will call you if I _____ (finish) my work early.,finishing,will finish,finish,finished,C,Present simple + will + base verb,7
First Conditional,28,"Fill in the blank: If he _____ (not/come) soon, we will start without him.",had,does not come,was,are,B,Use present simple tense in the if-clause and will + base verb in main clause.,9
First Conditional,29,"Fill in the blank: If you _____ (study) hard, you will pass the exam.",study,has,been,are,A,Use present simple tense in the if-clause and will + base verb in main clause.,6
First Conditional,30,"Fill in the blank: If you _____ (study) hard, you will pass the exam.",study,has,been,had,A,Use present simple tense in the if-clause and will + base verb in main clause.,2
First Conditional,31,I will call you if I _____ (finish) my work early.,finished,finishing,finish,will finish,C,Present simple + will + base verb,8
First Conditional,32,"Fill in the blank: If he _____ (not/come) soon, we will start without him.",did,be,does not come,been,C,Use present simple tense in the if-clause and will + base verb in main clause.,10
First Conditional,33,Fill in the blank: They will succeed if they _____ (work) together.,was,work,has,be,B,Use present simple tense in the if-clause and will + base verb in main clause.,4
First Conditional,34,"Find the error and choose the correct sentence:
If I will see him, I will tell.","If I see him, I will tell.",No error,Cannot say,"If I will see him, I will tell.",A,"The if-clause should use present simple, not will + verb.",9
First Conditional,35,"If we _____ (not/take) a taxi, we will be late.",not take,do not take,will not take,did not take,B,Present simple + will + base verb,2
First Conditional,36,Fill in the blank: We will go to the beach if it _____ (be) sunny.,been,has,are,is,D,Use present simple tense in the if-clause and will + base verb in main clause.,7
First Conditional,37,"Find the error and choose the correct sentence:
If you will be late, we will start.","If you are late, we will start.","If you will be late, we will start.",No error,Cannot say,A,"The if-clause should use present simple, not will + verb.",4
First Conditional,38,"Find the error and choose the correct sentence:
If it rains, we will went to the park.","If it rains, we will go to the park.",Cannot say,"If it rains, we will went to the park.",No error,A,"The if-clause should use present simple, not will + verb.",10
First Conditional,39,I will call you if I _____ (finish) my work early.,finished,finishing,will finish,finish,D,Present simple + will + base verb,5
First Conditional,40,"If it _____ (rain) tomorrow, we will cancel the picnic.",rain,will rain,rained,rains,D,Present simple + will + base verb,3
First Conditional,41,"Find the error and choose the correct sentence:
If she will study hard, she will pass.","If she will study hard, she will pass.","If she studies hard, she will pass.",No error,Cannot say,B,"The if-clause should use present simple, not will + verb.",5
First Conditional,42,"Fill in the blank: If I _____ (find) your book, I will call you.",be,was,been,find,D,Use present simple tense in the if-clause and will + base verb in main clause.,8
First Conditional,43,"Find the error and choose the correct sentence:
If you will be late, we will start.",No error,Cannot say,"If you are late, we will start.","If you will be late, we will start.",C,"The if-clause should use present simple, not will + verb.",1
First Conditional,44,I will call you if I _____ (finish) my work early.,finished,finish,finishing,will finish,B,Present simple + will + base verb,8
First Conditional,45,They will be happy if you _____ (come) to the party.,will come,come,came,coming,B,Present simple + will + base verb,9
First Conditional,46,"Find the error and choose the correct sentence:
If I will see him, I will tell.","If I will see him, I will tell.","If I see him, I will tell.",Cannot say,No error,B,"The if-clause should use present simple, not will + verb.",3
First Conditional,47,"Find the error and choose the correct sentence:
If they will not come, the meeting will cancel.","If they do not come, the meeting will be cancelled.",No error,"If they will not come, the meeting will cancel.",Cannot say,A,"The if-clause should use present simple, not will + verb.",7
First Conditional,48,They will be happy if you _____ (come) to the party.,will come,coming,come,came,C,Present simple + will + base verb,6
First Conditional,49,They will be happy if you _____ (come) to the party.,came,will come,come,coming,C,Present simple + will + base verb,9
First Conditional,50,"If it _____ (rain) tomorrow, we will cancel the picnic.",will rain,rains,rain,rained,B,Present simple + will + base verb,3
First Conditional,51,"Fill in the blank: If you _____ (study) hard, you will pass the exam.",been,will,had,study,D,Use present simple tense in the if-clause and will + base verb in main clause.,5
First Conditional,52,"If she _____ (not/hurry), she will miss the bus.",did not hurry,does not hurry,will not hurry,not hurry,B,Present simple + will + base verb,8
First Conditional,53,"Fill in the blank: If you _____ (study) hard, you will pass the exam.",had,was,did,study,D,Use present simple tense in the if-clause and will + base verb in main clause.,9
First Conditional,54,"If she _____ (not/hurry), she will miss the bus.",does not hurry,not hurry,will not hurry,did not hurry,A,Present simple + will + base verb,7
First Conditional,55,"Find the error and choose the correct sentence:
If they will not come, the meeting will cancel.",Cannot say,"If they do not come, the meeting will be cancelled.",No error,"If they will not come, the meeting will cancel.",B,"The if-clause should use present simple, not will + verb.",5
First Conditional,56,They will be happy if you _____ (come) to the party.,will come,came,come,coming,C,Present simple + will + base verb,5
First Conditional,57,"Fill in the blank: If he _____ (not/come) soon, we will start without him.",had,does not come,been,are,B,Use present simple tense in the if-clause and will + base verb in main clause.,5
First Conditional,58,I will call you if I _____ (finish) my work early.,finish,finished,will finish,finishing,A,Present simple + will + base verb,10
First Conditional,59,"Fill in the blank: If you _____ (study) hard, you will pass the exam.",has,are,study,had,C,Use present simple tense in the if-clause and will + base verb in main clause.,5
First Conditional,60,I will call you if I _____ (finish) my work early.,finishing,finished,finish,will finish,C,Present simple + will + base verb,6
First Conditional,61,"Fill in the blank: If he _____ (not/come) soon, we will start without him.",are,be,did,does not come,D,Use present simple tense in the if-clause and will + base verb in main clause.,1
First Conditional,62,"Find the error and choose the correct sentence:
If you will be late, we will start.","If you will be late, we will start.",No error,"If you are late, we will start.",Cannot say,C,"The if-clause should use present simple, not will + verb.",8
First Conditional,63,"Find the error and choose the correct sentence:
If she will study hard, she will pass.",Cannot say,No error,"If she studies hard, she will pass.","If she will study hard, she will pass.",C,"The if-clause should use present simple, not will + verb.",3
First Conditional,64,They will be happy if you _____ (come) to the party.,will come,coming,came,come,D,Present simple + will + base verb,1
First Conditional,65,Fill in the blank: We will go to the beach if it _____ (be) sunny.,has,be,did,is,D,Use present simple tense in the if-clause and will + base verb in main clause.,2
First Conditional,66,Fill in the blank: They will succeed if they _____ (work) together.,will,be,work,has,C,Use present simple tense in the if-clause and will + base verb in main clause.,1
First Conditional,67,"Find the error and choose the correct sentence:
If you will be late, we will start.",Cannot say,"If you will be late, we will start.",No error,"If you are late, we will start.",D,"The if-clause should use present simple, not will + verb.",9
First Conditional,68,They will be happy if you _____ (come) to the party.,will come,coming,came,come,D,Present simple + will + base verb,4
First Conditional,69,"Fill in the blank: If you _____ (study) hard, you will pass the exam.",be,study,been,did,B,Use present simple tense in the if-clause and will + base verb in main clause.,1
