Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
বীজগাণিতিক সূত্র,1,(2x + 3y)^2 এর মান কত?,4x^2 + 9y^2,4x^2 + 12xy + 9y^2,4x^2 + 6xy + 9y^2,16x^2 + 9y^2,B,"(a + b)^2 = a^2 + 2ab + b^2 সূত্র ব্যবহার করে, এখানে a = 2x এবং b = 3y। তাই, (2x + 3y)^2 = (2x)^2 + 2(2x)(3y) + (3y)^2 = 4x^2 + 12xy + 9y^2।",1
বীজগাণিতিক সূত্র,2,(5a - 2b)^2 এর মান কত?,25a^2 - 20ab + 4b^2,25a^2 + 20ab + 4b^2,25a^2 - 10ab + 4b^2,25a^2 + 4b^2,A,"(a - b)^2 = a^2 - 2ab + b^2 সূত্র ব্যবহার করে, এখানে a = 5a এবং b = 2b। তাই, (5a - 2b)^2 = (5a)^2 - 2(5a)(2b) + (2b)^2 = 25a^2 - 20ab + 4b^2।",1
বীজগাণিতিক সূত্র,3,(a + b)^2 - (a - b)^2 এর সরলীকৃত মান কত?,4ab,2ab,a^2 + b^2,2a^2 + 2b^2,A,(a + b)^2 - (a - b)^2 = (a^2 + 2ab + b^2) - (a^2 - 2ab + b^2) = 4ab।,2
বীজগাণিতিক সূত্র,4,(3x + y + 2z)^2 এর মান কত?,9x^2 + y^2 + 4z^2 + 6xy + 12xz + 4yz,9x^2 + y^2 + 4z^2,9x^2 + y^2 + 4z^2 + 6xy + 4yz,9x^2 + y^2 + 4z^2 + 12xz + 4yz,A,"(a + b + c)^2 = a^2 + b^2 + c^2 + 2ab + 2bc + 2ca সূত্র ব্যবহার করে, এখানে a = 3x, b = y, c = 2z। তাই, (3x + y + 2z)^2 = (3x)^2 + y^2 + (2z)^2 + 2(3x)(y) + 2(y)(2z) + 2(3x)(2z) = 9x^2 + y^2 + 4z^2 + 6xy + 4yz + 12xz।",3
বীজগাণিতিক সূত্র,5,"যদি a^2 + b^2 = 25 এবং ab = 12 হয়, তবে (a + b)^2 এর মান কত?",49,37,25,13,A,"(a + b)^2 = a^2 + b^2 + 2ab। দেওয়া আছে a^2 + b^2 = 25 এবং ab = 12। তাই, (a + b)^2 = 25 + 2(12) = 25 + 24 = 49।",2
বীজগাণিতিক সূত্র,6,"যদি (a + b + c)^2 = 36 এবং a^2 + b^2 + c^2 = 16 হয়, তবে ab + bc + ca এর মান কত?",10,20,36,16,A,"(a + b + c)^2 = a^2 + b^2 + c^2 + 2(ab + bc + ca)। দেওয়া আছে (a + b + c)^2 = 36 এবং a^2 + b^2 + c^2 = 16। তাই, 36 = 16 + 2(ab + bc + ca)। অতএব, 2(ab + bc + ca) = 36 - 16 = 20, তাই ab + bc + ca = 20/2 = 10।",3
বীজগাণিতিক সূত্র,7,"যদি (a + b)^2 = 49 এবং (a - b)^2 = 25 হয়, তবে ab এর মান কত?",6,12,24,10,A,"(a + b)^2 = 49 এবং (a - b)^2 = 25। তাই, (a + b)^2 - (a - b)^2 = 49 - 25 = 24। আমরা জানি, (a + b)^2 - (a - b)^2 = 4ab। অতএব, 4ab = 24, তাই ab = 24/4 = 6।",4
বীজগাণিতিক সূত্র,8,(2x + 3y)^3 এর মান কত?,8x^3 + 36x^2y + 54xy^2 + 27y^3,8x^3 + 12x^2y + 18xy^2 + 27y^3,8x^3 + 27y^3,8x^3 + 24x^2y + 54xy^2 + 27y^3,A,"(a + b)^3 = a^3 + 3a^2b + 3ab^2 + b^3 সূত্র ব্যবহার করে, এখানে a = 2x এবং b = 3y। তাই, (2x + 3y)^3 = (2x)^3 + 3(2x)^2(3y) + 3(2x)(3y)^2 + (3y)^3 = 8x^3 + 36x^2y + 54xy^2 + 27y^3।",3
বীজগাণিতিক সূত্র,9,(x - 2y)^3 এর মান কত?,x^3 - 6x^2y + 12xy^2 - 8y^3,x^3 - 2xy + 8y^3,x^3 - 8y^3,x^3 - 6x^2y + 12xy^2 - 2y^3,A,"(a - b)^3 = a^3 - 3a^2b + 3ab^2 - b^3 সূত্র ব্যবহার করে, এখানে a = x এবং b = 2y। তাই, (x - 2y)^3 = x^3 - 3x^2(2y) + 3x(2y)^2 - (2y)^3 = x^3 - 6x^2y + 12xy^2 - 8y^3।",3
বীজগাণিতিক সূত্র,10,"যদি x + y = 7 এবং xy = 12 হয়, তবে x^3 + y^3 এর মান কত?",217,91,49,343,B,"x^3 + y^3 = (x + y)^3 - 3xy(x + y)। দেওয়া আছে x + y = 7 এবং xy = 12। তাই, x^3 + y^3 = (7)^3 - 3(12)(7) = 343 - 252 = 91।",4
