Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
পিথাগোরাসের উপপাদ্য ও সম্প্রসারণ,1,সমকোণী ত্রিভুজে কর্ণের উপর বর্গের ক্ষেত্রফল কীসের সমান?,দুই বাহুর বর্গের যোগফল,দুই বাহুর বর্গের গুণফল,দুই বাহুর দৈর্ঘ্যের যোগ,দুই বাহুর দৈর্ঘ্যের গুণফল,A,পিথাগোরাসের উপপাদ্য: সমকোণী ত্রিভুজে কর্ণ² = বাহু₁² + বাহু₂²।,1
পিথাগোরাসের উপপাদ্য ও সম্প্রসারণ,2,সমকোণী ত্রিভুজে বাহু 3 সেমি; 4 সেমি হলে কর্ণ কত?,5 সেমি,6 সেমি,7 সেমি,8 সেমি,A,√(3² + 4²) = √(9 + 16) = √25 = 5 সেমি।,1
পিথাগোরাসের উপপাদ্য ও সম্প্রসারণ,3,ত্রিভুজের বাহু 6; 8; 10 সেমি হলে কোণ কী?,সমকোণ,সূক্ষ্মকোণ,স্থূলকোণ,সরলকোণ,A,10² = 6² + 8² (100 = 36 + 64); পিথাগোরাসের বিপরীত উপপাদ্য।,3
পিথাগোরাসের উপপাদ্য ও সম্প্রসারণ,4,স্থূলকোণী ত্রিভুজে স্থূলকোণের বিপরীত বাহুর বর্গ কীসের সমান?,বাহু² + বাহু² + 2×বাহু×প্রক্ষেপণ,বাহু² + বাহু² - 2×বাহু×প্রক্ষেপণ,বাহু² + বাহু×প্রক্ষেপণ,বাহু² - বাহু×প্রক্ষেপণ,A,উপপাদ্য 3: স্থূলকোণের বিপরীত বাহু² = বাহু₁² + বাহু₂² + 2×বাহু×প্রক্ষেপণ।,3
পিথাগোরাসের উপপাদ্য ও সম্প্রসারণ,5,ত্রিভুজে ∠C সূক্ষ্মকোণ; AC² = ?,BC² + AB² + 2×BC×CD,BC² + AB² - 2×BC×CD,BC² - AB² + 2×BC×CD,BC² - AB² - 2×BC×CD,B,উপপাদ্য 4: সূক্ষ্মকোণের বিপরীত বাহু² = বাহু₁² + বাহু₂² - 2×বাহু×প্রক্ষেপণ।,5
পিথাগোরাসের উপপাদ্য ও সম্প্রসারণ,6,ত্রিভুজে ∠B=60° হলে AC² = ?,AB² + BC² - AB×BC,AB² + BC² + AB×BC,AB² - BC² + AB×BC,AB² - BC² - AB×BC,A,∠B=60°; উপপাদ্য 4 প্রয়োগে AC² = AB² + BC² - AB×BC।,5
পিথাগোরাসের উপপাদ্য ও সম্প্রসারণ,7,ত্রিভুজে ∠B=120° হলে AC² = ?,AB² + BC² - AB×BC,AB² + BC² + AB×BC,AB² - BC² + AB×BC,AB² - BC² - AB×BC,B,∠B=120°; উপপাদ্য 3 প্রয়োগে AC² = AB² + BC² + AB×BC।,7
পিথাগোরাসের উপপাদ্য ও সম্প্রসারণ,8,অ্যাপোলোনিয়াসের উপপাদ্য অনুসারে AB² + AC² = ?,2(AD² + BD²),2(AD² + BC²),AD² + BD²,2(AB² + AC²),A,অ্যাপোলোনিয়াস: AB² + AC² = 2(মধ্যমা² + অর্ধবাহু²)।,7
পিথাগোরাসের উপপাদ্য ও সম্প্রসারণ,9,সমকোণী ত্রিভুজে ∠C=90°; D হল BC এর মধ্যবিন্দু। AB² = ?,AD² + 3BD²,AD² + 2BD²,2AD² + BD²,3AD² + BD²,A,উপপাদ্য প্রয়োগ: AB² = AD² + 3BD² যখন D মধ্যবিন্দু।,9
পিথাগোরাসের উপপাদ্য ও সম্প্রসারণ,10,ত্রিভুজে BC তিনভাগে বিভক্ত P; Q বিন্দুতে। AB² + AC² = ?,AP² + AQ² + 4PQ²,AP² + AQ² + 2PQ²,2AP² + 2AQ² + PQ²,AP² + AQ² + PQ²,A,অ্যাপোলোনিয়াস প্রয়োগ: AB² + AC² = AP² + AQ² + 4PQ²।,9
