Subtopic,Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Difficulty
একঘাত সমীকরণ,1,\(\frac{2x}{3} + 1 = 5\) সমীকরণটি সমাধান করুন।,x = 3,x = 6,x = 9,x = 12,B,১ বিয়োগ করুন: \(\frac{2x}{3} = 4\)। ৩ দ্বারা গুণ করুন: \(2x = 12\)। ২ দ্বারা ভাগ করুন: \(x = 6\)। যাচাই: \(\frac{2(6)}{3} + 1 = 4 + 1 = 5\)।,2
এক চলকবিশিষ্ট দ্বিঘাত সমীকরণ,2,\(x^2 - 5x + 6 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = 1 এবং 6,x = -2 এবং -3,x = 2 এবং 3,x = 4 এবং 1,C,"গুণক বিশ্লেষণ: \(x^2 - 5x + 6 = (x - 2)(x - 3) = 0\)। মূল: \(x = 2\) অথবা \(x = 3\)। যাচাই: \(x = 2\) এর জন্য, \(4 - 10 + 6 = 0\); \(x = 3\) এর জন্য, \(9 - 15 + 6 = 0\)।",4
একঘাত সমীকরণ,3,একটি সংখ্যা অপর একটি সংখ্যার চেয়ে ৪ বেশি। তাদের যোগফল ৩০। ছোট সংখ্যাটি খুঁজুন।,10,11,12,13,D,"ধরি, ছোট সংখ্যা \(y\)। বড় সংখ্যা: \(y + 4\)। যোগফল: \(y + (y + 4) = 30\)। সমাধান: \(2y + 4 = 30\), \(2y = 26\), \(y = 13\)। যাচাই: \(13 + 17 = 30\)।",3
এক চলকবিশিষ্ট দ্বিঘাত সমীকরণ,4,\((x + 1)(x - 4) = 0\) সমীকরণটি সমাধান করুন।,x = 1 এবং 4,x = -1 এবং -4,x = 1 এবং -4,x = -1 এবং 4,D,"প্রতিটি উৎপাদক শূন্য করুন: \(x + 1 = 0 \implies x = -1\), \(x - 4 = 0 \implies x = 4\)। যাচাই: \(x = -1\) এর জন্য, \((-1 + 1)(-1 - 4) = 0\); \(x = 4\) এর জন্য, \((4 + 1)(4 - 4) = 0\)।",1
একঘাত সমীকরণ,5,\(\frac{3x}{5} - 1 = 2\) সমীকরণটি সমাধান করুন।,x = 5,x = 6,x = 7,x = 8,A,১ যোগ করুন: \(\frac{3x}{5} = 3\)। ৫ দ্বারা গুণ করুন: \(3x = 15\)। ৩ দ্বারা ভাগ করুন: \(x = 5\)। যাচাই: \(\frac{3(5)}{5} - 1 = 3 - 1 = 2\)।,5
এক চলকবিশিষ্ট দ্বিঘাত সমীকরণ,6,\(x^2 - 6x + 8 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = -2 এবং -4,x = 1 এবং 8,x = 3 এবং 5,x = 2 এবং 4,D,"গুণক বিশ্লেষণ: \(x^2 - 6x + 8 = (x - 2)(x - 4) = 0\)। মূল: \(x = 2\) অথবা \(x = 4\)। যাচাই: \(x = 2\) এর জন্য, \(4 - 12 + 8 = 0\); \(x = 4\) এর জন্য, \(16 - 24 + 8 = 0\)।",7
একঘাত সমীকরণ,7,দুটি সংখ্যার যোগফল ২৪ এবং একটি সংখ্যা অপরটির চেয়ে ৮ বেশি। বড় সংখ্যাটি খুঁজুন।,16,18,20,22,A,"ধরি, ছোট সংখ্যা \(z\)। বড় সংখ্যা: \(z + 8\)। যোগফল: \(z + (z + 8) = 24\)। সমাধান: \(2z + 8 = 24\), \(2z = 16\), \(z = 8\)। বড় সংখ্যা: \(8 + 8 = 16\)। যাচাই: \(8 + 16 = 24\)।",2
এক চলকবিশিষ্ট দ্বিঘাত সমীকরণ,8,\(x^2 - 9 = 0\) সমীকরণটি সমাধান করুন।,x = -9 এবং 9,x = 0 এবং 9,x = -1 এবং 1,x = -3 এবং 3,D,"পুনর্বিন্যাস: \(x^2 - 9 = (x - 3)(x + 3) = 0\)। মূল: \(x = 3\) অথবা \(x = -3\)। যাচাই: \(x = 3\) এর জন্য, \(9 - 9 = 0\); \(x = -3\) এর জন্য, \(9 - 9 = 0\)।",6
একঘাত সমীকরণ,9,\(\frac{2x}{5} + 1 = 3\) সমীকরণটি সমাধান করুন।,x = 5,x = 6,x = 7,x = 8,A,১ বিয়োগ করুন: \(\frac{2x}{5} = 2\)। ৫ দ্বারা গুণ করুন: \(2x = 10\)। ২ দ্বারা ভাগ করুন: \(x = 5\)। যাচাই: \(\frac{2(5)}{5} + 1 = 2 + 1 = 3\)।,8
এক চলকবিশিষ্ট দ্বিঘাত সমীকরণ,10,\(x^2 - 8x + 12 = 0\) দ্বিঘাত সমীকরণটি সমাধান করুন।,x = -2 এবং -6,x = 3 এবং 5,x = 1 এবং 7,x = 2 এবং 6,D,"গুণক বিশ্লেষণ: \(x^2 - 8x + 12 = (x - 2)(x - 6) = 0\)। মূল: \(x = 2\) অথবা \(x = 6\)। যাচাই: \(x = 2\) এর জন্য, \(4 - 16 + 12 = 0\); \(x = 6\) এর জন্য, \(36 - 48 + 12 = 0\)।",10
